case_name,case_label,estimator,event_age,true_multiplier,estimated_multiplier_count,estimated_multiplier_mean,estimated_multiplier_median,estimated_multiplier_q05,estimated_multiplier_q25,estimated_multiplier_q75,estimated_multiplier_q95,error_count,error_mean,error_median,error_q05,error_q25,error_q75,error_q95,absolute_error_count,absolute_error_mean,absolute_error_median,absolute_error_q05,absolute_error_q25,absolute_error_q75,absolute_error_q95,squared_error_count,squared_error_mean,squared_error_median,squared_error_q05,squared_error_q25,squared_error_q75,squared_error_q95
dense_periodic,Dense periodic,nonparametric,0,1.004987562112089,50,1.0046474978099735,1.0047311042848075,1.0032226039994214,1.0040223568960371,1.0051913191254551,1.0062786354783533,50,-0.00034006430211547034,-0.0002564578272815643,-0.001764958112667625,-0.0009652052160517566,0.00020375701336622365,0.0012910733662642826,50,0.0007784887335328517,0.0004688468439475457,9.481087987943671e-05,0.0002372591558119086,0.0010841648307615137,0.0021364138232037072,50,1.1192031112375377e-06,2.2250503405191844e-07,9.055129128355615e-09,5.6356699170690804e-08,1.1754161156233543e-06,4.647532793975718e-06
dense_periodic,Dense periodic,nonparametric,1,1.0043421962948356,50,1.00547176583111,1.0053640567984576,1.0033692870894544,1.0045132942202095,1.0067816489830648,1.007655218654838,50,0.0011295695362744996,0.001021860503622185,-0.0009729092053811783,0.00017109792537389756,0.00243945268822926,0.003313022360002482,50,0.0015021368873194474,0.0010953246489993074,0.0001734138743845537,0.0006727529268564791,0.00243945268822926,0.003313022360002482,50,3.3551269234527084e-06,1.2009544436577902e-06,3.010555922669777e-08,4.525967258968713e-07,5.9510419165046574e-06,1.0977913535274944e-05
dense_periodic,Dense periodic,nonparametric,2,1.0037801807587006,50,1.0051964275040564,1.0050582246986943,1.002844872678591,1.0040394074378536,1.0061144063903682,1.0081455800382448,50,0.0014162467453557959,0.001278043939993867,-0.0009353080801096091,0.0002592266791530684,0.00233422563166763,0.0043653992795442235,50,0.001687164181545242,0.0014549064350460883,4.109609195487307e-05,0.0006234760946524642,0.00233422563166763,0.0043653992795442235,50,4.7279265984593945e-06,2.1174118795990787e-06,1.6893249015375334e-09,3.888422373290615e-07,5.449166777431879e-06,1.9060261297391226e-05
dense_periodic,Dense periodic,nonparametric,3,1.003290788506505,50,1.0041710829974004,1.0044021156759435,1.0011763511584775,1.002608395778715,1.0056018192823237,1.0068758987269997,50,0.0008802944908953969,0.001111327169438514,-0.0021144373480274205,-0.0006823927277899711,0.00231103077581879,0.003585110220494578,50,0.0018024958637147548,0.0014396572075041636,0.00033201336355371814,0.001091305223636374,0.0024978069290392257,0.003832295557742698,50,4.6219409866244284e-06,2.0731637300151596e-06,1.1035111481265234e-07,1.191022378530586e-06,6.239043065952523e-06,1.470091833975178e-05
dense_periodic,Dense periodic,nonparametric,4,1.0028646639539027,50,1.0040526112510448,1.004170386961718,1.001295841493805,1.0025199268603668,1.00554410059287,1.0067991268842038,50,0.001187947297142049,0.0013057230078151738,-0.001568822460097774,-0.0003447370935359406,0.002679436638967192,0.003934462930301029,50,0.001849035169652291,0.001670131067963876,0.00011847428647716598,0.0009234067794803846,0.002704256380997472,0.003934462930301029,50,4.89754752476419e-06,2.7893424096132448e-06,1.9012125052950275e-08,8.533156615833e-07,7.313100823112502e-06,1.553547205520324e-05
dense_periodic,Dense periodic,nonparametric,5,1.002493649798338,50,1.0030035841732632,1.0028497252409008,1.0005287168358235,1.0019410117452798,1.003835457011792,1.0061041094915324,50,0.0005099343749249851,0.00035607544256266443,-0.001964932962514609,-0.0005526380530583852,0.0013418072134538939,0.0036104596931943677,50,0.0013698694121465115,0.0011226710614474777,7.191090497584708e-05,0.000443762184268337,0.001939452834740174,0.0036104596931943677,50,3.1116710963741653e-06,1.2606616571897076e-06,5.311205031643349e-09,1.9910430183149883e-07,3.763851473103986e-06,1.3035444108869386e-05
dense_periodic,Dense periodic,nonparametric,6,1.0021706352139195,50,1.0025066156339812,1.0026481428446714,1.000230851964297,1.001363001150361,1.0034358675161927,1.0047481306957255,50,0.0003359804200618188,0.0004775076307518278,-0.001939783249622462,-0.0008076340635584933,0.001265232302273156,0.0025774954818061353,50,0.0012823601456142986,0.0010486219633748517,0.00020190969472283493,0.0006841052483390619,0.0016521765805009303,0.002646092941858563,50,2.5157408869031715e-06,1.0996088290841144e-06,4.1320908852812736e-08,4.6916553315490995e-07,2.7304633128090294e-06,7.002448568083555e-06
dense_periodic,Dense periodic,nonparametric,7,1.0018894228739348,50,1.0021834027947252,1.0022308544720733,0.9997267378856318,1.0011124289018662,1.0031124958840747,1.004286881829942,50,0.00029397992079033264,0.00034143159813848634,-0.0021626849883029263,-0.0007769939720684849,0.0012230730101398524,0.0023974589560072034,50,0.0012235588392549013,0.0009952105929453836,6.339874200858021e-05,0.0006085681716064273,0.001849098992701026,0.002408414671845971,50,2.33846514055524e-06,9.954777851120976e-07,4.178515225661603e-09,3.7054390022715697e-07,3.4199019075108137e-06,5.800466337900544e-06
dense_periodic,Dense periodic,nonparametric,8,1.001644612563797,50,1.001994409571628,1.00198236380356,0.9996959481647687,1.0009553086251586,1.0031287905248079,1.004831789750247,50,0.00034979700783087874,0.0003377512397629845,-0.001948664399028288,-0.0006893039386384192,0.001484177961010913,0.003187177186450095,50,0.0013374314172543888,0.0012254958943065386,9.414460701103743e-05,0.00037774063028195304,0.001711431653475981,0.003744102993005538,50,3.012976667752021e-06,1.5114696052755868e-06,8.869378970480286e-09,1.4363635505171255e-07,2.929081835415098e-06,1.4019123655079014e-05
dense_periodic,Dense periodic,nonparametric,9,1.0014314993890505,50,1.0014709910202235,1.0013637878727075,0.9994551674344309,1.0004130050413973,1.0025396936131135,1.0038286348562468,50,3.949163117295873e-05,-6.77115163428832e-05,-0.001976331954619703,-0.001018494347653276,0.0011081942240628861,0.002397135467196275,50,0.0012249672868471272,0.0011035288164219503,6.759482083743552e-05,0.0006389220701500387,0.0017625364905915486,0.002495832022440452,50,2.1700746158864633e-06,1.217862912787455e-06,4.570407970303184e-09,4.0893164769613185e-07,3.1065478978267065e-06,6.244928245957557e-06
