case_label,n,event_amplitude,event_decay_rate,event_period,response_horizon,event_period_steps,response_horizon_steps,training_count,testing_count,active_testing_count,event_free_testing_count,gc_level_F,gc_level_p_value,gc_level_partial_r_squared,gc_change_F,gc_change_p_value,gc_change_partial_r_squared,conditional_event_history_partial_r_squared,direct_tdmi_level_peak,direct_tdmi_level_lag,direct_tdmi_change_peak,direct_tdmi_change_lag,A_hat,lambda_hat,profile_converged,active_sigma_unaware_MAE,active_sigma_unaware_RMSE,active_sigma_parametric_MAE,active_sigma_parametric_RMSE,active_sigma_nonparametric_MAE,active_sigma_nonparametric_RMSE,active_sigma_parametric_MAE_gain_pct,active_sigma_parametric_RMSE_gain_pct,active_sigma_nonparametric_MAE_gain_pct,active_sigma_nonparametric_RMSE_gain_pct,active_state_unaware_MAE,active_state_unaware_RMSE,active_state_parametric_MAE,active_state_parametric_RMSE,active_state_nonparametric_MAE,active_state_nonparametric_RMSE,active_state_parametric_MAE_gain_pct,active_state_parametric_RMSE_gain_pct,active_state_nonparametric_MAE_gain_pct,active_state_nonparametric_RMSE_gain_pct,active_95_state_unaware_coverage,active_95_state_unaware_width,active_95_state_unaware_interval_score,active_95_sigma_unaware_coverage_valid,active_95_state_parametric_coverage,active_95_state_parametric_width,active_95_state_parametric_interval_score,active_95_sigma_parametric_coverage_valid,active_95_state_nonparametric_coverage,active_95_state_nonparametric_width,active_95_state_nonparametric_interval_score,active_95_sigma_nonparametric_coverage_valid,parametric_profile_MAE,parametric_profile_RMSE,nonparametric_profile_MAE,nonparametric_profile_RMSE,known_dgp_active_state_MAE,known_dgp_active_state_RMSE,known_dgp_active_95_state_coverage,known_dgp_active_sigma_MAE,known_dgp_active_sigma_RMSE,known_dgp_active_transformed_variance_sigma_MAE,known_dgp_active_transformed_variance_sigma_RMSE,market_seed,case_name,schedule_type,calendar_seed,number_of_events,minimum_gap_steps,mean_gap_steps,standard_deviation_gap_steps,train_event_count,test_event_count,split_i,paired_shock_group,pipeline_success,A_error,A_absolute_error,lambda_error,lambda_absolute_error,parametric_positive_MAE_gain,nonparametric_positive_MAE_gain,unaware_coverage_bias,unaware_absolute_coverage_error,parametric_coverage_bias,parametric_absolute_coverage_error,nonparametric_coverage_bias,nonparametric_absolute_coverage_error
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,,,,,,,,,,,,0.009304165468071918,33.37422056281519,True,0.0010751487823542954,0.0013088339611961996,0.0007615897149298115,0.0009335892971152709,0.0007427272306514123,0.0009572858550637773,29.164248945887405,28.67015031746093,30.918655832448284,26.859641219206097,0.0010751487823542954,0.0013088339611961996,0.0007615897149298115,0.0009335892971152709,0.0007427272306514123,0.0009572858550637773,29.164248945887405,28.67015031746093,30.918655832448284,26.859641219206097,0.8461538461538461,0.0037618923963386067,0.006605893657346473,0.8461538461538461,0.967032967032967,0.00377079210039023,0.004252367856037164,0.967032967032967,0.9230769230769231,0.0037725207583704477,0.004566093393211623,0.9230769230769231,0.00010960549426903148,0.00015362847121067757,0.0015284585502433313,0.001739098385292579,0.0007204577716026512,0.0008985814135022415,0.9230769230769231,0.0007204577716026512,0.0008985814135022415,,,20261001,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261001,True,-0.0006958345319280825,0.0006958345319280825,-1.6257794371848107,1.6257794371848107,True,True,-0.10384615384615381,0.10384615384615381,0.017032967032967083,0.017032967032967083,-0.026923076923076827,0.026923076923076827
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,,,,,,,,,,,,0.01129157088851878,53.99531637540123,True,0.0009959295267310216,0.0011950572556027358,0.0008138215585287226,0.0010093943330388314,0.000905201084422686,0.001115359166606288,18.28522634528561,15.53590187361057,9.109925940858199,6.668976622065815,0.0009959295267310216,0.0011950572556027358,0.0008138215585287226,0.0010093943330388314,0.000905201084422686,0.001115359166606288,18.28522634528561,15.53590187361057,9.109925940858199,6.668976622065815,0.8076923076923077,0.0034921303374575996,0.005421998063899004,0.8076923076923077,0.8846153846153846,0.0034994964245794735,0.004485652298344501,0.8846153846153846,0.8269230769230769,0.0034985241886034348,0.005448571765598668,0.8269230769230769,0.0004955155726881638,0.0005229158726836029,0.0015141655436506918,0.001775127246042818,0.0007696642360157188,0.0009896017130458967,0.9230769230769231,0.0007696642360157188,0.0009896017130458967,,,20261001,sparse_irregular,sparse irregular,not applicable,12,21,42.0,16.051054907275212,8,4,352,20261001,True,0.00129157088851878,0.00129157088851878,18.99531637540123,18.99531637540123,True,True,-0.14230769230769225,0.14230769230769225,-0.06538461538461537,0.06538461538461537,-0.12307692307692308,0.12307692307692308
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,,,,,,,,,,,,0.007038316410506746,24.143679631520786,True,0.0010791842780914602,0.0012615008654403273,0.0008037687323444736,0.0009820472723693604,0.0008664000946315879,0.0010651575553336837,25.520715167761665,22.15246938997728,19.71713152050192,15.564262814683827,0.0010791842780914602,0.0012615008654403273,0.0008037687323444736,0.0009820472723693604,0.0008664000946315879,0.0010651575553336837,25.520715167761665,22.15246938997728,19.71713152050192,15.564262814683827,0.8076923076923077,0.003529921082906118,0.005952309186799435,0.8076923076923077,0.9615384615384616,0.0035373613144374714,0.004219172527366143,0.9615384615384616,0.9038461538461539,0.003536926362287982,0.00474359702181385,0.9038461538461539,0.0004388057493272321,0.0006278174500694319,0.001337312902428923,0.0015747497353532233,0.0007223698584096627,0.0009140782689747434,0.9230769230769231,0.0007223698584096627,0.0009140782689747434,,,20261001,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261001,True,-0.0029616835894932542,0.0029616835894932542,-10.856320368479214,10.856320368479214,True,True,-0.14230769230769225,0.14230769230769225,0.011538461538461608,0.011538461538461608,-0.0461538461538461,0.0461538461538461
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,,,,,,,,,,,,0.007481517897199936,26.467438549269215,True,0.0009850315527349708,0.0012239428847666046,0.0007269292041228741,0.0009321362831115101,0.0007563621299197261,0.0009481153290522753,26.202444774024503,23.841521143426515,23.21442619582458,22.535982613839643,0.0009850315527349708,0.0012239428847666046,0.0007269292041228741,0.0009321362831115101,0.0007563621299197261,0.0009481153290522753,26.202444774024503,23.841521143426515,23.21442619582458,22.535982613839643,0.9010989010989011,0.0038600601857454704,0.006394714516348655,0.9010989010989011,0.945054945054945,0.0038683465182705245,0.004549080189676335,0.945054945054945,0.989010989010989,0.0038693184427965777,0.004423429917099244,0.989010989010989,0.000372827052067759,0.0005360985571559064,0.0008074453525737273,0.0009110132642982197,0.0007007204840784668,0.0008956771288384662,0.945054945054945,0.0007007204840784668,0.0008956771288384662,,,20261002,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261002,True,-0.0025184821028000643,0.0025184821028000643,-8.532561450730785,8.532561450730785,True,True,-0.04890109890109884,0.04890109890109884,-0.0049450549450549275,0.0049450549450549275,0.039010989010989094,0.039010989010989094
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,,,,,,,,,,,,0.0107281106644948,31.339858903339717,True,0.0009493048180172395,0.0012219002217484945,0.0007159486621632504,0.0009319370846379598,0.0007458886576556897,0.0009399873777061852,24.58179411133583,23.730508592232525,21.427907717398288,23.071674677241838,0.0009493048180172395,0.0012219002217484945,0.0007159486621632504,0.0009319370846379598,0.0007458886576556897,0.0009399873777061852,24.58179411133583,23.730508592232525,21.427907717398288,23.071674677241838,0.8846153846153846,0.0035680849640639667,0.007302328070993767,0.8846153846153846,0.9615384615384616,0.0035781578544280376,0.004671699114515814,0.9615384615384616,0.9615384615384616,0.0035801655031503276,0.004633916610447779,0.9615384615384616,0.00034846552768255445,0.0003512064396748847,0.0012557668489336584,0.0014685222958799498,0.0007055611825305813,0.0009201004164561072,0.9615384615384616,0.0007055611825305813,0.0009201004164561072,,,20261002,sparse_irregular,sparse irregular,not applicable,12,21,42.0,16.051054907275212,8,4,352,20261002,True,0.0007281106644948,0.0007281106644948,-3.6601410966602828,3.6601410966602828,True,True,-0.06538461538461537,0.06538461538461537,0.011538461538461608,0.011538461538461608,0.011538461538461608,0.011538461538461608
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,,,,,,,,,,,,0.008788469084962789,35.28616983693607,True,0.000917860213356764,0.001187523729410961,0.0007098882078916979,0.0009567588058203029,0.000720193999879704,0.0009300989932408538,22.6583528121868,19.432447358767536,21.535546546261376,21.677439346647475,0.000917860213356764,0.001187523729410961,0.0007098882078916979,0.0009567588058203029,0.000720193999879704,0.0009300989932408538,22.6583528121868,19.432447358767536,21.535546546261376,21.677439346647475,0.8846153846153846,0.003705668151675723,0.007087186360813685,0.8846153846153846,0.9230769230769231,0.0037136908299039407,0.005022298710049896,0.9230769230769231,0.9615384615384616,0.003716125775855309,0.004684692092329083,0.9615384615384616,0.0003096119272828063,0.0003430776717884559,0.001028285292488124,0.0013459912967319152,0.0007093716011207801,0.000943002143531314,0.9230769230769231,0.0007093716011207801,0.000943002143531314,,,20261002,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261002,True,-0.0012115309150372115,0.0012115309150372115,0.2861698369360681,0.2861698369360681,True,True,-0.06538461538461537,0.06538461538461537,-0.026923076923076827,0.026923076923076827,0.011538461538461608,0.011538461538461608
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,,,,,,,,,,,,0.009194504665498104,27.37419578637708,True,0.001219545876585503,0.001432104446731833,0.0007737971247912055,0.0009452236052544792,0.0008212613115861945,0.0009895135422271525,36.55038816926752,33.99757905845845,32.65843234322843,30.90493193528623,0.001219545876585503,0.001432104446731833,0.0007737971247912055,0.0009452236052544792,0.0008212613115861945,0.0009895135422271525,36.55038816926752,33.99757905845845,32.65843234322843,30.90493193528623,0.7032967032967034,0.003310444641251272,0.009271860123292851,0.7032967032967034,0.9230769230769231,0.0033190340775810555,0.004015887636449688,0.9230769230769231,0.945054945054945,0.003320325982812538,0.004247632491669677,0.945054945054945,0.0002300515419544859,0.00025166026401906823,0.0010565462227901412,0.0013406854409215908,0.0006661240495236556,0.0008446559746848846,0.978021978021978,0.0006661240495236556,0.0008446559746848846,,,20261003,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261003,True,-0.0008054953345018965,0.0008054953345018965,-7.625804213622921,7.625804213622921,True,True,-0.2467032967032966,0.2467032967032966,-0.026923076923076827,0.026923076923076827,-0.0049450549450549275,0.0049450549450549275
sparse_irregular,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,352,140,52,88,,,,,,,,,,,,0.013051101384599853,46.425424436550244,True,0.0008655377741381495,0.0010986073740979138,0.0007338600137394313,0.0009289165741027856,0.0007928973034023216,0.00096838304277159,15.213404236439597,15.445991351957232,8.392524613747677,11.853582489672732,0.0008655377741381495,0.0010986073740979138,0.0007338600137394313,0.0009289165741027856,0.0007928973034023216,0.00096838304277159,15.213404236439597,15.445991351957232,8.392524613747677,11.853582489672732,0.8269230769230769,0.0033831303544301083,0.006206713158956308,0.8269230769230769,0.9230769230769231,0.0033922855283684593,0.004383150776079681,0.9230769230769231,0.9038461538461539,0.0033929957956283807,0.004661351321746109,0.9038461538461539,0.00040273609698524216,0.000586415708133683,0.0015809896320095713,0.0018184625762767445,0.0007306206193436604,0.0009338923495290304,0.9615384615384616,0.0007306206193436604,0.0009338923495290304,,,20261003,sparse_irregular,sparse irregular,not applicable,12,21,42.0,16.051054907275212,8,4,352,20261003,True,0.0030511013845998525,0.0030511013845998525,11.425424436550244,11.425424436550244,True,True,-0.12307692307692308,0.12307692307692308,-0.026923076923076827,0.026923076923076827,-0.0461538461538461,0.0461538461538461
sparse_periodic,1,0.01,35.0,0.16666666666666666,0.047619047619047616,42,12,345,147,52,95,,,,,,,,,,,,0.009506430848338545,53.168254476188075,True,0.0009430727170402006,0.0011462813422164905,0.0007498068467028604,0.0009280426593167236,0.0007666922641164866,0.0009842991005707946,20.49320978597474,19.03884106477497,18.702741552875967,14.131106882755429,0.0009430727170402006,0.0011462813422164905,0.0007498068467028604,0.0009280426593167236,0.0007666922641164866,0.0009842991005707946,20.49320978597474,19.03884106477497,18.702741552875967,14.131106882755429,0.8269230769230769,0.0033869354448708977,0.005541132631339184,0.8269230769230769,0.9230769230769231,0.0033930181760998654,0.0038680440879184695,0.9230769230769231,0.8846153846153846,0.0033937403997432855,0.0050468910295864405,0.8846153846153846,0.0006786472207083343,0.0006976195544983543,0.0013484105324037543,0.0015863836327832225,0.0007191286062168417,0.0009068484270288313,0.9615384615384616,0.0007191286062168417,0.0009068484270288313,,,20261003,sparse_periodic,sparse periodic,not applicable,12,42,42.0,0.0,8,4,345,20261003,True,-0.0004935691516614552,0.0004935691516614552,18.168254476188075,18.168254476188075,True,True,-0.12307692307692308,0.12307692307692308,-0.026923076923076827,0.026923076923076827,-0.06538461538461537,0.06538461538461537
dense_periodic,1,0.01,35.0,0.08333333333333333,0.047619047619047616,21,12,345,147,91,56,,,,,,,,,,,,0.010520347672843698,34.76822447649935,True,0.0009835793575150163,0.0012474550520286747,0.0007557172678407555,0.0009508822568276967,0.0007791941070007704,0.0009727846616702043,23.16661974789178,23.774226952600518,20.77974176182582,22.01845989655399,0.0009835793575150163,0.0012474550520286747,0.0007557172678407555,0.0009508822568276967,0.0007791941070007704,0.0009727846616702043,23.16661974789178,23.774226952600518,20.77974176182582,22.01845989655399,0.8461538461538461,0.0033855236564785396,0.007606830090919171,0.8461538461538461,0.9230769230769231,0.003394370417873758,0.004705849958358996,0.9230769230769231,0.9120879120879121,0.0033980796779326914,0.005210089398775365,0.9120879120879121,0.00013852788529514,0.00015161764195286437,0.0014634747414969268,0.0019194925442106111,0.0007484745132210876,0.0009478163128496678,0.945054945054945,0.0007484745132210876,0.0009478163128496678,,,20261004,dense_periodic,dense periodic,not applicable,23,21,21.0,0.0,16,7,345,20261004,True,0.0005203476728436983,0.0005203476728436983,-0.23177552350065156,0.23177552350065156,True,True,-0.10384615384615381,0.10384615384615381,-0.026923076923076827,0.026923076923076827,-0.03791208791208789,0.03791208791208789
