market_seed,case_name,case_label,advantage_metric,left_metric,right_metric,parametric_advantage,interpretation
20261001,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0008091914250014001,Positive values favour the parametric estimator.
20261002,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.00044382219420970005,Positive values favour the parametric estimator.
20261003,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005811368412970001,Positive values favour the parametric estimator.
20261004,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0007156740936610999,Positive values favour the parametric estimator.
20261005,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0004954614310738001,Positive values favour the parametric estimator.
20261006,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0008597554543712999,Positive values favour the parametric estimator.
20261007,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0007382476871419001,Positive values favour the parametric estimator.
20261008,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005625160912688,Positive values favour the parametric estimator.
20261009,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0007450066682175001,Positive values favour the parametric estimator.
20261010,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0007840907891868373,Positive values favour the parametric estimator.
20261011,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0008046364415213001,Positive values favour the parametric estimator.
20261012,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0006949107291760999,Positive values favour the parametric estimator.
20261013,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005326766378414,Positive values favour the parametric estimator.
20261014,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0006925576103837999,Positive values favour the parametric estimator.
20261015,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005180661411657,Positive values favour the parametric estimator.
20261016,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005585204531220001,Positive values favour the parametric estimator.
20261017,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.00025739139871359994,Positive values favour the parametric estimator.
20261018,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005851464194538999,Positive values favour the parametric estimator.
20261019,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005006622041832,Positive values favour the parametric estimator.
20261020,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0004164893819540999,Positive values favour the parametric estimator.
20261021,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0005545545754605,Positive values favour the parametric estimator.
20261022,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0008055284607993,Positive values favour the parametric estimator.
20261023,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0014781957785580065,Positive values favour the parametric estimator.
20261024,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.000589989464285,Positive values favour the parametric estimator.
20261025,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0003884041145867,Positive values favour the parametric estimator.
20261026,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0007451847368219715,Positive values favour the parametric estimator.
20261027,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0006622877768316,Positive values favour the parametric estimator.
20261028,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.00032671562897180004,Positive values favour the parametric estimator.
20261029,dense_periodic,Dense periodic,profile_RMSE_advantage,nonparametric_profile_RMSE,parametric_profile_RMSE,0.0008576650409594028,Positive values favour the parametric estimator.
