event_id,central_bank,raw_naive_timestamp,local_timestamp,utc_timestamp,local_event_date,Country Code,Event,Actual,Previous,Consensus,original_row_number,duplicate_row_count,all_reported_times_jst,earliest_local_timestamp,latest_local_timestamp,consolidated_from_duplicates
BOJ_20150619,BoJ,2015-06-19 08:30:00,2015-06-19 08:30:00+09:00,2015-06-18 23:30:00+00:00,2015-06-19,JP,BoJ Interest Rate Decision,0%,0%,0%,88,1,08:30,2015-06-19 08:30:00+09:00,2015-06-19 08:30:00+09:00,False
BOJ_20150715,BoJ,2015-07-15 08:30:00,2015-07-15 08:30:00+09:00,2015-07-14 23:30:00+00:00,2015-07-15,JP,BoJ Interest Rate Decision,0%,0%,-,87,1,08:30,2015-07-15 08:30:00+09:00,2015-07-15 08:30:00+09:00,False
BOJ_20150807,BoJ,2015-08-07 09:30:00,2015-08-07 09:30:00+09:00,2015-08-07 00:30:00+00:00,2015-08-07,JP,BoJ Interest Rate Decision,0%,0%,0%,86,1,09:30,2015-08-07 09:30:00+09:00,2015-08-07 09:30:00+09:00,False
BOJ_20150915,BoJ,2015-09-15 09:30:00,2015-09-15 09:30:00+09:00,2015-09-15 00:30:00+00:00,2015-09-15,JP,BoJ Interest Rate Decision,0%,0%,0%,85,1,09:30,2015-09-15 09:30:00+09:00,2015-09-15 09:30:00+09:00,False
BOJ_20151007,BoJ,2015-10-07 09:30:00,2015-10-07 09:30:00+09:00,2015-10-07 00:30:00+00:00,2015-10-07,JP,BoJ Interest Rate Decision,0%,0%,-,84,1,09:30,2015-10-07 09:30:00+09:00,2015-10-07 09:30:00+09:00,False
BOJ_20151030,BoJ,2015-10-30 08:30:00,2015-10-30 08:30:00+09:00,2015-10-29 23:30:00+00:00,2015-10-30,JP,BoJ Interest Rate Decision,0%,0%,-,83,1,08:30,2015-10-30 08:30:00+09:00,2015-10-30 08:30:00+09:00,False
BOJ_20151119,BoJ,2015-11-19 08:47:00,2015-11-19 08:47:00+09:00,2015-11-18 23:47:00+00:00,2015-11-19,JP,BoJ Interest Rate Decision,0%,0%,0%,82,1,08:47,2015-11-19 08:47:00+09:00,2015-11-19 08:47:00+09:00,False
BOJ_20151218,BoJ,2015-12-18 09:30:00,2015-12-18 09:30:00+09:00,2015-12-18 00:30:00+00:00,2015-12-18,JP,BoJ Interest Rate Decision,0%,0%,-,81,1,09:30,2015-12-18 09:30:00+09:00,2015-12-18 09:30:00+09:00,False
BOJ_20160129,BoJ,2016-01-29 08:30:00,2016-01-29 08:30:00+09:00,2016-01-28 23:30:00+00:00,2016-01-29,JP,BoJ Interest Rate Decision,-0.10%,0%,0%,80,1,08:30,2016-01-29 08:30:00+09:00,2016-01-29 08:30:00+09:00,False
BOJ_20160315,BoJ,2016-03-15 07:30:00,2016-03-15 07:30:00+09:00,2016-03-14 22:30:00+00:00,2016-03-15,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%,79,1,07:30,2016-03-15 07:30:00+09:00,2016-03-15 07:30:00+09:00,False
BOJ_20160428,BoJ,2016-04-28 07:30:00,2016-04-28 07:30:00+09:00,2016-04-27 22:30:00+00:00,2016-04-28,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-,78,1,07:30,2016-04-28 07:30:00+09:00,2016-04-28 07:30:00+09:00,False
BOJ_20160616,BoJ,2016-06-16 08:30:00,2016-06-16 08:30:00+09:00,2016-06-15 23:30:00+00:00,2016-06-16,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%,77,1,08:30,2016-06-16 08:30:00+09:00,2016-06-16 08:30:00+09:00,False
BOJ_20160729,BoJ,2016-07-29 08:30:00,2016-07-29 08:30:00+09:00,2016-07-28 23:30:00+00:00,2016-07-29,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.20%,76,1,08:30,2016-07-29 08:30:00+09:00,2016-07-29 08:30:00+09:00,False
BOJ_20160921,BoJ,2016-09-21 08:30:00,2016-09-21 08:30:00+09:00,2016-09-20 23:30:00+00:00,2016-09-21,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%,75,1,08:30,2016-09-21 08:30:00+09:00,2016-09-21 08:30:00+09:00,False
BOJ_20161101,BoJ,2016-11-01 08:30:00,2016-11-01 08:30:00+09:00,2016-10-31 23:30:00+00:00,2016-11-01,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%,74,1,08:30,2016-11-01 08:30:00+09:00,2016-11-01 08:30:00+09:00,False
