event_id,central_bank,local_event_date,local_timestamp,utc_timestamp,aligned_market_date,calendar_day_shift,trading_observation_shift,same_date_data_existed,event_outside_panel,consolidated_from_duplicates,event_time_index,alignment_convention
FOMC_20210728,FOMC,2021-07-28,2021-07-28 19:00:00+01:00,2021-07-28 18:00:00+00:00,2021-07-29,1.0,1.0,True,False,False,6652.0,next_observation
FOMC_20210922,FOMC,2021-09-22,2021-09-22 19:00:00+01:00,2021-09-22 18:00:00+00:00,2021-09-23,1.0,1.0,True,False,False,6692.0,next_observation
FOMC_20211103,FOMC,2021-11-03,2021-11-03 18:00:00+00:00,2021-11-03 18:00:00+00:00,2021-11-04,1.0,1.0,True,False,False,6722.0,next_observation
FOMC_20211215,FOMC,2021-12-15,2021-12-15 19:00:00+00:00,2021-12-15 19:00:00+00:00,2021-12-16,1.0,1.0,True,False,False,6752.0,next_observation
FOMC_20220126,FOMC,2022-01-26,2022-01-26 19:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-27,1.0,1.0,True,False,False,6782.0,next_observation
FOMC_20220316,FOMC,2022-03-16,2022-03-16 18:00:00+00:00,2022-03-16 18:00:00+00:00,2022-03-17,1.0,1.0,True,False,False,6817.0,next_observation
FOMC_20220504,FOMC,2022-05-04,2022-05-04 19:00:00+01:00,2022-05-04 18:00:00+00:00,2022-05-05,1.0,1.0,True,False,False,6852.0,next_observation
FOMC_20220615,FOMC,2022-06-15,2022-06-15 19:00:00+01:00,2022-06-15 18:00:00+00:00,2022-06-16,1.0,1.0,True,False,False,6882.0,next_observation
FOMC_20220727,FOMC,2022-07-27,2022-07-27 19:00:00+01:00,2022-07-27 18:00:00+00:00,2022-07-28,1.0,1.0,True,False,False,6912.0,next_observation
FOMC_20220921,FOMC,2022-09-21,2022-09-21 19:00:00+01:00,2022-09-21 18:00:00+00:00,2022-09-22,1.0,1.0,True,False,False,6952.0,next_observation
FOMC_20221102,FOMC,2022-11-02,2022-11-02 18:00:00+00:00,2022-11-02 18:00:00+00:00,2022-11-03,1.0,1.0,True,False,False,6982.0,next_observation
FOMC_20221214,FOMC,2022-12-14,2022-12-14 19:00:00+00:00,2022-12-14 19:00:00+00:00,2022-12-15,1.0,1.0,True,False,False,7012.0,next_observation
FOMC_20230201,FOMC,2023-02-01,2023-02-01 19:00:00+00:00,2023-02-01 19:00:00+00:00,2023-02-02,1.0,1.0,True,False,False,7047.0,next_observation
FOMC_20230322,FOMC,2023-03-22,2023-03-22 18:00:00+00:00,2023-03-22 18:00:00+00:00,2023-03-23,1.0,1.0,True,False,False,7082.0,next_observation
FOMC_20230503,FOMC,2023-05-03,2023-05-03 19:00:00+01:00,2023-05-03 18:00:00+00:00,2023-05-04,1.0,1.0,True,False,False,7112.0,next_observation
FOMC_20230614,FOMC,2023-06-14,2023-06-14 19:00:00+01:00,2023-06-14 18:00:00+00:00,2023-06-15,1.0,1.0,True,False,False,7142.0,next_observation
FOMC_20230726,FOMC,2023-07-26,2023-07-26 19:00:00+01:00,2023-07-26 18:00:00+00:00,2023-07-27,1.0,1.0,True,False,False,7172.0,next_observation
FOMC_20230920,FOMC,2023-09-20,2023-09-20 19:00:00+01:00,2023-09-20 18:00:00+00:00,2023-09-21,1.0,1.0,True,False,False,7212.0,next_observation
FOMC_20231101,FOMC,2023-11-01,2023-11-01 18:00:00+00:00,2023-11-01 18:00:00+00:00,2023-11-02,1.0,1.0,True,False,False,7242.0,next_observation
FOMC_20231213,FOMC,2023-12-13,2023-12-13 19:00:00+00:00,2023-12-13 19:00:00+00:00,2023-12-14,1.0,1.0,True,False,False,7272.0,next_observation
FOMC_20240131,FOMC,2024-01-31,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,2024-02-01,1.0,1.0,True,False,False,7307.0,next_observation
FOMC_20240320,FOMC,2024-03-20,2024-03-20 18:00:00+00:00,2024-03-20 18:00:00+00:00,2024-03-21,1.0,1.0,True,False,False,7342.0,next_observation
FOMC_20240501,FOMC,2024-05-01,2024-05-01 19:00:00+01:00,2024-05-01 18:00:00+00:00,2024-05-02,1.0,1.0,True,False,False,7372.0,next_observation
FOMC_20240612,FOMC,2024-06-12,2024-06-12 19:00:00+01:00,2024-06-12 18:00:00+00:00,2024-06-13,1.0,1.0,True,False,False,7402.0,next_observation
FOMC_20240731,FOMC,2024-07-31,2024-07-31 19:00:00+01:00,2024-07-31 18:00:00+00:00,2024-08-01,1.0,1.0,True,False,False,7437.0,next_observation
FOMC_20240918,FOMC,2024-09-18,2024-09-18 19:00:00+01:00,2024-09-18 18:00:00+00:00,2024-09-19,1.0,1.0,True,False,False,7472.0,next_observation
FOMC_20241107,FOMC,2024-11-07,2024-11-07 19:00:00+00:00,2024-11-07 19:00:00+00:00,2024-11-08,1.0,1.0,True,False,False,7508.0,next_observation
FOMC_20241218,FOMC,2024-12-18,2024-12-18 19:00:00+00:00,2024-12-18 19:00:00+00:00,2024-12-19,1.0,1.0,True,False,False,7537.0,next_observation
FOMC_20250129,FOMC,2025-01-29,2025-01-29 19:00:00+00:00,2025-01-29 19:00:00+00:00,2025-01-30,1.0,1.0,True,False,False,7567.0,next_observation
FOMC_20250319,FOMC,2025-03-19,2025-03-19 18:00:00+00:00,2025-03-19 18:00:00+00:00,2025-03-20,1.0,1.0,True,False,False,7602.0,next_observation
FOMC_20250507,FOMC,2025-05-07,2025-05-07 19:00:00+01:00,2025-05-07 18:00:00+00:00,2025-05-08,1.0,1.0,True,False,False,7637.0,next_observation
FOMC_20250618,FOMC,2025-06-18,2025-06-18 19:00:00+01:00,2025-06-18 18:00:00+00:00,2025-06-19,1.0,1.0,True,False,False,7667.0,next_observation
FOMC_20250730,FOMC,2025-07-30,2025-07-30 19:00:00+01:00,2025-07-30 18:00:00+00:00,2025-07-31,1.0,1.0,True,False,False,7697.0,next_observation
FOMC_20250917,FOMC,2025-09-17,2025-09-17 19:00:00+01:00,2025-09-17 18:00:00+00:00,2025-09-18,1.0,1.0,True,False,False,7732.0,next_observation
FOMC_20251029,FOMC,2025-10-29,2025-10-29 18:00:00+00:00,2025-10-29 18:00:00+00:00,2025-10-30,1.0,1.0,True,False,False,7762.0,next_observation
FOMC_20251210,FOMC,2025-12-10,2025-12-10 19:00:00+00:00,2025-12-10 19:00:00+00:00,2025-12-11,1.0,1.0,True,False,False,7792.0,next_observation
FOMC_20260128,FOMC,2026-01-28,2026-01-28 19:00:00+00:00,2026-01-28 19:00:00+00:00,2026-01-29,1.0,1.0,True,False,False,7827.0,next_observation
FOMC_20260318,FOMC,2026-03-18,2026-03-18 18:00:00+00:00,2026-03-18 18:00:00+00:00,2026-03-19,1.0,1.0,True,False,False,7862.0,next_observation
FOMC_20260429,FOMC,2026-04-29,2026-04-29 19:00:00+01:00,2026-04-29 18:00:00+00:00,2026-04-30,1.0,1.0,True,False,False,7892.0,next_observation
FOMC_20260617,FOMC,2026-06-17,2026-06-17 19:00:00+01:00,2026-06-17 18:00:00+00:00,,,,False,True,False,,next_observation
BOJ_20150619,BoJ,2015-06-19,2015-06-19 08:30:00+09:00,2015-06-18 23:30:00+00:00,2015-06-22,3.0,1.0,True,False,False,5059.0,next_observation
BOJ_20150715,BoJ,2015-07-15,2015-07-15 08:30:00+09:00,2015-07-14 23:30:00+00:00,2015-07-16,1.0,1.0,True,False,False,5077.0,next_observation
BOJ_20150807,BoJ,2015-08-07,2015-08-07 09:30:00+09:00,2015-08-07 00:30:00+00:00,2015-08-10,3.0,1.0,True,False,False,5094.0,next_observation
BOJ_20150915,BoJ,2015-09-15,2015-09-15 09:30:00+09:00,2015-09-15 00:30:00+00:00,2015-09-16,1.0,1.0,True,False,False,5121.0,next_observation
BOJ_20151007,BoJ,2015-10-07,2015-10-07 09:30:00+09:00,2015-10-07 00:30:00+00:00,2015-10-08,1.0,1.0,True,False,False,5137.0,next_observation
BOJ_20151030,BoJ,2015-10-30,2015-10-30 08:30:00+09:00,2015-10-29 23:30:00+00:00,2015-11-02,3.0,1.0,True,False,False,5154.0,next_observation
BOJ_20151119,BoJ,2015-11-19,2015-11-19 08:47:00+09:00,2015-11-18 23:47:00+00:00,2015-11-20,1.0,1.0,True,False,False,5168.0,next_observation
BOJ_20151218,BoJ,2015-12-18,2015-12-18 09:30:00+09:00,2015-12-18 00:30:00+00:00,2015-12-21,3.0,1.0,True,False,False,5189.0,next_observation
BOJ_20160129,BoJ,2016-01-29,2016-01-29 08:30:00+09:00,2016-01-28 23:30:00+00:00,2016-02-01,3.0,1.0,True,False,False,5219.0,next_observation
BOJ_20160315,BoJ,2016-03-15,2016-03-15 07:30:00+09:00,2016-03-14 22:30:00+00:00,2016-03-16,1.0,1.0,True,False,False,5251.0,next_observation
BOJ_20160428,BoJ,2016-04-28,2016-04-28 07:30:00+09:00,2016-04-27 22:30:00+00:00,2016-04-29,1.0,1.0,True,False,False,5283.0,next_observation
BOJ_20160616,BoJ,2016-06-16,2016-06-16 08:30:00+09:00,2016-06-15 23:30:00+00:00,2016-06-17,1.0,1.0,True,False,False,5318.0,next_observation
BOJ_20160729,BoJ,2016-07-29,2016-07-29 08:30:00+09:00,2016-07-28 23:30:00+00:00,2016-08-01,3.0,1.0,True,False,False,5349.0,next_observation
BOJ_20160921,BoJ,2016-09-21,2016-09-21 08:30:00+09:00,2016-09-20 23:30:00+00:00,2016-09-22,1.0,1.0,True,False,False,5387.0,next_observation
BOJ_20161101,BoJ,2016-11-01,2016-11-01 08:30:00+09:00,2016-10-31 23:30:00+00:00,2016-11-02,1.0,1.0,True,False,False,5416.0,next_observation
BOJ_20161220,BoJ,2016-12-20,2016-12-20 08:30:00+09:00,2016-12-19 23:30:00+00:00,2016-12-21,1.0,1.0,True,False,False,5451.0,next_observation
BOJ_20170131,BoJ,2017-01-31,2017-01-31 08:30:00+09:00,2017-01-30 23:30:00+00:00,2017-02-01,1.0,1.0,True,False,False,5481.0,next_observation
BOJ_20170316,BoJ,2017-03-16,2017-03-16 08:30:00+09:00,2017-03-15 23:30:00+00:00,2017-03-17,1.0,1.0,True,False,False,5513.0,next_observation
BOJ_20170427,BoJ,2017-04-27,2017-04-27 08:50:00+09:00,2017-04-26 23:50:00+00:00,2017-04-28,1.0,1.0,True,False,False,5543.0,next_observation
BOJ_20170616,BoJ,2017-06-16,2017-06-16 08:30:00+09:00,2017-06-15 23:30:00+00:00,2017-06-19,3.0,1.0,True,False,False,5579.0,next_observation
BOJ_20170720,BoJ,2017-07-20,2017-07-20 08:30:00+09:00,2017-07-19 23:30:00+00:00,2017-07-21,1.0,1.0,True,False,False,5603.0,next_observation
BOJ_20170921,BoJ,2017-09-21,2017-09-21 08:30:00+09:00,2017-09-20 23:30:00+00:00,2017-09-22,1.0,1.0,True,False,False,5648.0,next_observation
BOJ_20171031,BoJ,2017-10-31,2017-10-31 08:30:00+09:00,2017-10-30 23:30:00+00:00,2017-11-01,1.0,1.0,True,False,False,5676.0,next_observation
BOJ_20171221,BoJ,2017-12-21,2017-12-21 08:30:00+09:00,2017-12-20 23:30:00+00:00,2017-12-22,1.0,1.0,True,False,False,5713.0,next_observation
BOJ_20180123,BoJ,2018-01-23,2018-01-23 08:30:00+09:00,2018-01-22 23:30:00+00:00,2018-01-24,1.0,1.0,True,False,False,5736.0,next_observation
BOJ_20180309,BoJ,2018-03-09,2018-03-09 08:30:00+09:00,2018-03-08 23:30:00+00:00,2018-03-12,3.0,1.0,True,False,False,5769.0,next_observation
BOJ_20180427,BoJ,2018-04-27,2018-04-27 08:30:00+09:00,2018-04-26 23:30:00+00:00,2018-04-30,3.0,1.0,True,False,False,5804.0,next_observation
BOJ_20180615,BoJ,2018-06-15,2018-06-15 08:30:00+09:00,2018-06-14 23:30:00+00:00,2018-06-18,3.0,1.0,True,False,False,5839.0,next_observation
BOJ_20180731,BoJ,2018-07-31,2018-07-31 09:30:00+09:00,2018-07-31 00:30:00+00:00,2018-08-01,1.0,1.0,True,False,False,5871.0,next_observation
