event_id,central_bank,local_event_date,local_timestamp,utc_timestamp,aligned_market_date,calendar_day_shift,trading_observation_shift,same_date_data_existed,event_outside_panel,consolidated_from_duplicates,event_time_index,alignment_convention
FOMC_20210728,FOMC,2021-07-28,2021-07-28 19:00:00+01:00,2021-07-28 18:00:00+00:00,2021-07-28,0.0,0.0,True,False,False,6651.0,same_date
FOMC_20210922,FOMC,2021-09-22,2021-09-22 19:00:00+01:00,2021-09-22 18:00:00+00:00,2021-09-22,0.0,0.0,True,False,False,6691.0,same_date
FOMC_20211103,FOMC,2021-11-03,2021-11-03 18:00:00+00:00,2021-11-03 18:00:00+00:00,2021-11-03,0.0,0.0,True,False,False,6721.0,same_date
FOMC_20211215,FOMC,2021-12-15,2021-12-15 19:00:00+00:00,2021-12-15 19:00:00+00:00,2021-12-15,0.0,0.0,True,False,False,6751.0,same_date
FOMC_20220126,FOMC,2022-01-26,2022-01-26 19:00:00+00:00,2022-01-26 19:00:00+00:00,2022-01-26,0.0,0.0,True,False,False,6781.0,same_date
FOMC_20220316,FOMC,2022-03-16,2022-03-16 18:00:00+00:00,2022-03-16 18:00:00+00:00,2022-03-16,0.0,0.0,True,False,False,6816.0,same_date
FOMC_20220504,FOMC,2022-05-04,2022-05-04 19:00:00+01:00,2022-05-04 18:00:00+00:00,2022-05-04,0.0,0.0,True,False,False,6851.0,same_date
FOMC_20220615,FOMC,2022-06-15,2022-06-15 19:00:00+01:00,2022-06-15 18:00:00+00:00,2022-06-15,0.0,0.0,True,False,False,6881.0,same_date
FOMC_20220727,FOMC,2022-07-27,2022-07-27 19:00:00+01:00,2022-07-27 18:00:00+00:00,2022-07-27,0.0,0.0,True,False,False,6911.0,same_date
FOMC_20220921,FOMC,2022-09-21,2022-09-21 19:00:00+01:00,2022-09-21 18:00:00+00:00,2022-09-21,0.0,0.0,True,False,False,6951.0,same_date
FOMC_20221102,FOMC,2022-11-02,2022-11-02 18:00:00+00:00,2022-11-02 18:00:00+00:00,2022-11-02,0.0,0.0,True,False,False,6981.0,same_date
FOMC_20221214,FOMC,2022-12-14,2022-12-14 19:00:00+00:00,2022-12-14 19:00:00+00:00,2022-12-14,0.0,0.0,True,False,False,7011.0,same_date
FOMC_20230201,FOMC,2023-02-01,2023-02-01 19:00:00+00:00,2023-02-01 19:00:00+00:00,2023-02-01,0.0,0.0,True,False,False,7046.0,same_date
FOMC_20230322,FOMC,2023-03-22,2023-03-22 18:00:00+00:00,2023-03-22 18:00:00+00:00,2023-03-22,0.0,0.0,True,False,False,7081.0,same_date
FOMC_20230503,FOMC,2023-05-03,2023-05-03 19:00:00+01:00,2023-05-03 18:00:00+00:00,2023-05-03,0.0,0.0,True,False,False,7111.0,same_date
FOMC_20230614,FOMC,2023-06-14,2023-06-14 19:00:00+01:00,2023-06-14 18:00:00+00:00,2023-06-14,0.0,0.0,True,False,False,7141.0,same_date
FOMC_20230726,FOMC,2023-07-26,2023-07-26 19:00:00+01:00,2023-07-26 18:00:00+00:00,2023-07-26,0.0,0.0,True,False,False,7171.0,same_date
FOMC_20230920,FOMC,2023-09-20,2023-09-20 19:00:00+01:00,2023-09-20 18:00:00+00:00,2023-09-20,0.0,0.0,True,False,False,7211.0,same_date
FOMC_20231101,FOMC,2023-11-01,2023-11-01 18:00:00+00:00,2023-11-01 18:00:00+00:00,2023-11-01,0.0,0.0,True,False,False,7241.0,same_date
FOMC_20231213,FOMC,2023-12-13,2023-12-13 19:00:00+00:00,2023-12-13 19:00:00+00:00,2023-12-13,0.0,0.0,True,False,False,7271.0,same_date
FOMC_20240131,FOMC,2024-01-31,2024-01-31 19:00:00+00:00,2024-01-31 19:00:00+00:00,2024-01-31,0.0,0.0,True,False,False,7306.0,same_date
FOMC_20240320,FOMC,2024-03-20,2024-03-20 18:00:00+00:00,2024-03-20 18:00:00+00:00,2024-03-20,0.0,0.0,True,False,False,7341.0,same_date
FOMC_20240501,FOMC,2024-05-01,2024-05-01 19:00:00+01:00,2024-05-01 18:00:00+00:00,2024-05-01,0.0,0.0,True,False,False,7371.0,same_date
FOMC_20240612,FOMC,2024-06-12,2024-06-12 19:00:00+01:00,2024-06-12 18:00:00+00:00,2024-06-12,0.0,0.0,True,False,False,7401.0,same_date
FOMC_20240731,FOMC,2024-07-31,2024-07-31 19:00:00+01:00,2024-07-31 18:00:00+00:00,2024-07-31,0.0,0.0,True,False,False,7436.0,same_date
FOMC_20240918,FOMC,2024-09-18,2024-09-18 19:00:00+01:00,2024-09-18 18:00:00+00:00,2024-09-18,0.0,0.0,True,False,False,7471.0,same_date
FOMC_20241107,FOMC,2024-11-07,2024-11-07 19:00:00+00:00,2024-11-07 19:00:00+00:00,2024-11-07,0.0,0.0,True,False,False,7507.0,same_date
FOMC_20241218,FOMC,2024-12-18,2024-12-18 19:00:00+00:00,2024-12-18 19:00:00+00:00,2024-12-18,0.0,0.0,True,False,False,7536.0,same_date
FOMC_20250129,FOMC,2025-01-29,2025-01-29 19:00:00+00:00,2025-01-29 19:00:00+00:00,2025-01-29,0.0,0.0,True,False,False,7566.0,same_date
FOMC_20250319,FOMC,2025-03-19,2025-03-19 18:00:00+00:00,2025-03-19 18:00:00+00:00,2025-03-19,0.0,0.0,True,False,False,7601.0,same_date
FOMC_20250507,FOMC,2025-05-07,2025-05-07 19:00:00+01:00,2025-05-07 18:00:00+00:00,2025-05-07,0.0,0.0,True,False,False,7636.0,same_date
FOMC_20250618,FOMC,2025-06-18,2025-06-18 19:00:00+01:00,2025-06-18 18:00:00+00:00,2025-06-18,0.0,0.0,True,False,False,7666.0,same_date
FOMC_20250730,FOMC,2025-07-30,2025-07-30 19:00:00+01:00,2025-07-30 18:00:00+00:00,2025-07-30,0.0,0.0,True,False,False,7696.0,same_date
FOMC_20250917,FOMC,2025-09-17,2025-09-17 19:00:00+01:00,2025-09-17 18:00:00+00:00,2025-09-17,0.0,0.0,True,False,False,7731.0,same_date
FOMC_20251029,FOMC,2025-10-29,2025-10-29 18:00:00+00:00,2025-10-29 18:00:00+00:00,2025-10-29,0.0,0.0,True,False,False,7761.0,same_date
FOMC_20251210,FOMC,2025-12-10,2025-12-10 19:00:00+00:00,2025-12-10 19:00:00+00:00,2025-12-10,0.0,0.0,True,False,False,7791.0,same_date
FOMC_20260128,FOMC,2026-01-28,2026-01-28 19:00:00+00:00,2026-01-28 19:00:00+00:00,2026-01-28,0.0,0.0,True,False,False,7826.0,same_date
FOMC_20260318,FOMC,2026-03-18,2026-03-18 18:00:00+00:00,2026-03-18 18:00:00+00:00,2026-03-18,0.0,0.0,True,False,False,7861.0,same_date
FOMC_20260429,FOMC,2026-04-29,2026-04-29 19:00:00+01:00,2026-04-29 18:00:00+00:00,2026-04-29,0.0,0.0,True,False,False,7891.0,same_date
FOMC_20260617,FOMC,2026-06-17,2026-06-17 19:00:00+01:00,2026-06-17 18:00:00+00:00,,,,False,True,False,,same_date
BOJ_20150619,BoJ,2015-06-19,2015-06-19 08:30:00+09:00,2015-06-18 23:30:00+00:00,2015-06-19,0.0,0.0,True,False,False,5058.0,same_date
BOJ_20150715,BoJ,2015-07-15,2015-07-15 08:30:00+09:00,2015-07-14 23:30:00+00:00,2015-07-15,0.0,0.0,True,False,False,5076.0,same_date
BOJ_20150807,BoJ,2015-08-07,2015-08-07 09:30:00+09:00,2015-08-07 00:30:00+00:00,2015-08-07,0.0,0.0,True,False,False,5093.0,same_date
BOJ_20150915,BoJ,2015-09-15,2015-09-15 09:30:00+09:00,2015-09-15 00:30:00+00:00,2015-09-15,0.0,0.0,True,False,False,5120.0,same_date
BOJ_20151007,BoJ,2015-10-07,2015-10-07 09:30:00+09:00,2015-10-07 00:30:00+00:00,2015-10-07,0.0,0.0,True,False,False,5136.0,same_date
BOJ_20151030,BoJ,2015-10-30,2015-10-30 08:30:00+09:00,2015-10-29 23:30:00+00:00,2015-10-30,0.0,0.0,True,False,False,5153.0,same_date
BOJ_20151119,BoJ,2015-11-19,2015-11-19 08:47:00+09:00,2015-11-18 23:47:00+00:00,2015-11-19,0.0,0.0,True,False,False,5167.0,same_date
BOJ_20151218,BoJ,2015-12-18,2015-12-18 09:30:00+09:00,2015-12-18 00:30:00+00:00,2015-12-18,0.0,0.0,True,False,False,5188.0,same_date
BOJ_20160129,BoJ,2016-01-29,2016-01-29 08:30:00+09:00,2016-01-28 23:30:00+00:00,2016-01-29,0.0,0.0,True,False,False,5218.0,same_date
BOJ_20160315,BoJ,2016-03-15,2016-03-15 07:30:00+09:00,2016-03-14 22:30:00+00:00,2016-03-15,0.0,0.0,True,False,False,5250.0,same_date
BOJ_20160428,BoJ,2016-04-28,2016-04-28 07:30:00+09:00,2016-04-27 22:30:00+00:00,2016-04-28,0.0,0.0,True,False,False,5282.0,same_date
BOJ_20160616,BoJ,2016-06-16,2016-06-16 08:30:00+09:00,2016-06-15 23:30:00+00:00,2016-06-16,0.0,0.0,True,False,False,5317.0,same_date
BOJ_20160729,BoJ,2016-07-29,2016-07-29 08:30:00+09:00,2016-07-28 23:30:00+00:00,2016-07-29,0.0,0.0,True,False,False,5348.0,same_date
BOJ_20160921,BoJ,2016-09-21,2016-09-21 08:30:00+09:00,2016-09-20 23:30:00+00:00,2016-09-21,0.0,0.0,True,False,False,5386.0,same_date
BOJ_20161101,BoJ,2016-11-01,2016-11-01 08:30:00+09:00,2016-10-31 23:30:00+00:00,2016-11-01,0.0,0.0,True,False,False,5415.0,same_date
BOJ_20161220,BoJ,2016-12-20,2016-12-20 08:30:00+09:00,2016-12-19 23:30:00+00:00,2016-12-20,0.0,0.0,True,False,False,5450.0,same_date
BOJ_20170131,BoJ,2017-01-31,2017-01-31 08:30:00+09:00,2017-01-30 23:30:00+00:00,2017-01-31,0.0,0.0,True,False,False,5480.0,same_date
BOJ_20170316,BoJ,2017-03-16,2017-03-16 08:30:00+09:00,2017-03-15 23:30:00+00:00,2017-03-16,0.0,0.0,True,False,False,5512.0,same_date
BOJ_20170427,BoJ,2017-04-27,2017-04-27 08:50:00+09:00,2017-04-26 23:50:00+00:00,2017-04-27,0.0,0.0,True,False,False,5542.0,same_date
BOJ_20170616,BoJ,2017-06-16,2017-06-16 08:30:00+09:00,2017-06-15 23:30:00+00:00,2017-06-16,0.0,0.0,True,False,False,5578.0,same_date
BOJ_20170720,BoJ,2017-07-20,2017-07-20 08:30:00+09:00,2017-07-19 23:30:00+00:00,2017-07-20,0.0,0.0,True,False,False,5602.0,same_date
BOJ_20170921,BoJ,2017-09-21,2017-09-21 08:30:00+09:00,2017-09-20 23:30:00+00:00,2017-09-21,0.0,0.0,True,False,False,5647.0,same_date
BOJ_20171031,BoJ,2017-10-31,2017-10-31 08:30:00+09:00,2017-10-30 23:30:00+00:00,2017-10-31,0.0,0.0,True,False,False,5675.0,same_date
BOJ_20171221,BoJ,2017-12-21,2017-12-21 08:30:00+09:00,2017-12-20 23:30:00+00:00,2017-12-21,0.0,0.0,True,False,False,5712.0,same_date
