alignment_convention,event_id,central_bank,local_event_date,aligned_market_date,event_time_index,complete_pre_window_flag,complete_post_window_flag,complete_window_flag,other_decision_in_full_window_flag,other_decision_ids_full_window,other_decision_count_full_window,other_decision_in_post_window_flag,other_decision_ids_post_window,other_decision_count_post_window,same_bank_decision_in_full_window_flag,other_bank_decision_in_full_window_flag,strict_clean_full_window_flag,clean_post_window_flag
same_date,FOMC_20210728,FOMC,2021-07-28,2021-07-28,6651,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
same_date,FOMC_20210922,FOMC,2021-09-22,2021-09-22,6691,True,True,True,True,BOJ_20210922,1,True,BOJ_20210922,1,False,True,False,False
same_date,FOMC_20211103,FOMC,2021-11-03,2021-11-03,6721,True,True,True,True,BOJ_20211028,1,False,,0,False,True,False,True
same_date,FOMC_20211215,FOMC,2021-12-15,2021-12-15,6751,True,True,True,True,BOJ_20211217,1,True,BOJ_20211217,1,False,True,False,False
same_date,FOMC_20220126,FOMC,2022-01-26,2022-01-26,6781,True,True,True,True,BOJ_20220118,1,False,,0,False,True,False,True
same_date,FOMC_20220316,FOMC,2022-03-16,2022-03-16,6816,True,True,True,True,BOJ_20220318,1,True,BOJ_20220318,1,False,True,False,False
same_date,FOMC_20220504,FOMC,2022-05-04,2022-05-04,6851,True,True,True,True,BOJ_20220428,1,False,,0,False,True,False,True
same_date,FOMC_20220615,FOMC,2022-06-15,2022-06-15,6881,True,True,True,True,BOJ_20220617,1,True,BOJ_20220617,1,False,True,False,False
same_date,FOMC_20220727,FOMC,2022-07-27,2022-07-27,6911,True,True,True,True,BOJ_20220721,1,False,,0,False,True,False,True
same_date,FOMC_20220921,FOMC,2022-09-21,2022-09-21,6951,True,True,True,True,BOJ_20220922,1,True,BOJ_20220922,1,False,True,False,False
same_date,FOMC_20221102,FOMC,2022-11-02,2022-11-02,6981,True,True,True,True,BOJ_20221028,1,False,,0,False,True,False,True
same_date,FOMC_20221214,FOMC,2022-12-14,2022-12-14,7011,True,True,True,True,BOJ_20221220,1,True,BOJ_20221220,1,False,True,False,False
same_date,FOMC_20230201,FOMC,2023-02-01,2023-02-01,7046,True,True,True,True,BOJ_20230118,1,False,,0,False,True,False,True
same_date,FOMC_20230322,FOMC,2023-03-22,2023-03-22,7081,True,True,True,True,BOJ_20230310,1,False,,0,False,True,False,True
same_date,FOMC_20230503,FOMC,2023-05-03,2023-05-03,7111,True,True,True,True,BOJ_20230428,1,False,,0,False,True,False,True
same_date,FOMC_20230614,FOMC,2023-06-14,2023-06-14,7141,True,True,True,True,BOJ_20230616,1,True,BOJ_20230616,1,False,True,False,False
same_date,FOMC_20230726,FOMC,2023-07-26,2023-07-26,7171,True,True,True,True,BOJ_20230728,1,True,BOJ_20230728,1,False,True,False,False
same_date,FOMC_20230920,FOMC,2023-09-20,2023-09-20,7211,True,True,True,True,BOJ_20230922,1,True,BOJ_20230922,1,False,True,False,False
same_date,FOMC_20231101,FOMC,2023-11-01,2023-11-01,7241,True,True,True,True,BOJ_20231031,1,False,,0,False,True,False,True
same_date,FOMC_20231213,FOMC,2023-12-13,2023-12-13,7271,True,True,True,True,BOJ_20231219,1,True,BOJ_20231219,1,False,True,False,False
same_date,FOMC_20240131,FOMC,2024-01-31,2024-01-31,7306,True,True,True,True,BOJ_20240123,1,False,,0,False,True,False,True
same_date,FOMC_20240320,FOMC,2024-03-20,2024-03-20,7341,True,True,True,True,BOJ_20240319,1,False,,0,False,True,False,True
same_date,FOMC_20240501,FOMC,2024-05-01,2024-05-01,7371,True,True,True,True,BOJ_20240426,1,False,,0,False,True,False,True
same_date,FOMC_20240612,FOMC,2024-06-12,2024-06-12,7401,True,True,True,True,BOJ_20240614,1,True,BOJ_20240614,1,False,True,False,False
same_date,FOMC_20240731,FOMC,2024-07-31,2024-07-31,7436,True,True,True,True,BOJ_20240731,1,True,BOJ_20240731,1,False,True,False,False
same_date,FOMC_20240918,FOMC,2024-09-18,2024-09-18,7471,True,True,True,True,BOJ_20240920,1,True,BOJ_20240920,1,False,True,False,False
same_date,FOMC_20241107,FOMC,2024-11-07,2024-11-07,7507,True,True,True,True,BOJ_20241031,1,False,,0,False,True,False,True
same_date,FOMC_20241218,FOMC,2024-12-18,2024-12-18,7536,True,True,True,True,BOJ_20241219,1,True,BOJ_20241219,1,False,True,False,False
same_date,FOMC_20250129,FOMC,2025-01-29,2025-01-29,7566,True,True,True,True,BOJ_20250124,1,False,,0,False,True,False,True
same_date,FOMC_20250319,FOMC,2025-03-19,2025-03-19,7601,True,True,True,True,BOJ_20250319,1,True,BOJ_20250319,1,False,True,False,False
same_date,FOMC_20250507,FOMC,2025-05-07,2025-05-07,7636,True,True,True,True,BOJ_20250501,1,False,,0,False,True,False,True
same_date,FOMC_20250618,FOMC,2025-06-18,2025-06-18,7666,True,True,True,True,BOJ_20250617,1,False,,0,False,True,False,True
same_date,FOMC_20250730,FOMC,2025-07-30,2025-07-30,7696,True,True,True,True,BOJ_20250731,1,True,BOJ_20250731,1,False,True,False,False
same_date,FOMC_20250917,FOMC,2025-09-17,2025-09-17,7731,True,True,True,True,BOJ_20250919,1,True,BOJ_20250919,1,False,True,False,False
same_date,FOMC_20251029,FOMC,2025-10-29,2025-10-29,7761,True,True,True,True,BOJ_20251030,1,True,BOJ_20251030,1,False,True,False,False
same_date,FOMC_20251210,FOMC,2025-12-10,2025-12-10,7791,True,True,True,True,BOJ_20251219,1,True,BOJ_20251219,1,False,True,False,False
same_date,FOMC_20260128,FOMC,2026-01-28,2026-01-28,7826,True,True,True,True,BOJ_20260123,1,False,,0,False,True,False,True
same_date,FOMC_20260318,FOMC,2026-03-18,2026-03-18,7861,True,True,True,True,BOJ_20260319,1,True,BOJ_20260319,1,False,True,False,False
same_date,FOMC_20260429,FOMC,2026-04-29,2026-04-29,7891,True,True,True,True,BOJ_20260428,1,False,,0,False,True,False,True
same_date,BOJ_20150619,BoJ,2015-06-19,2015-06-19,5058,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20150715,BoJ,2015-07-15,2015-07-15,5076,True,True,True,True,BOJ_20150619,1,False,,0,True,False,False,True
same_date,BOJ_20150807,BoJ,2015-08-07,2015-08-07,5093,True,True,True,True,BOJ_20150715,1,False,,0,True,False,False,True
same_date,BOJ_20150915,BoJ,2015-09-15,2015-09-15,5120,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20151007,BoJ,2015-10-07,2015-10-07,5136,True,True,True,True,BOJ_20150915,1,False,,0,True,False,False,True
same_date,BOJ_20151030,BoJ,2015-10-30,2015-10-30,5153,True,True,True,True,BOJ_20151007,1,False,,0,True,False,False,True
same_date,BOJ_20151119,BoJ,2015-11-19,2015-11-19,5167,True,True,True,True,BOJ_20151030,1,False,,0,True,False,False,True
same_date,BOJ_20151218,BoJ,2015-12-18,2015-12-18,5188,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160129,BoJ,2016-01-29,2016-01-29,5218,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160315,BoJ,2016-03-15,2016-03-15,5250,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160428,BoJ,2016-04-28,2016-04-28,5282,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160616,BoJ,2016-06-16,2016-06-16,5317,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160729,BoJ,2016-07-29,2016-07-29,5348,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20160921,BoJ,2016-09-21,2016-09-21,5386,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20161101,BoJ,2016-11-01,2016-11-01,5415,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20161220,BoJ,2016-12-20,2016-12-20,5450,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170131,BoJ,2017-01-31,2017-01-31,5480,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170316,BoJ,2017-03-16,2017-03-16,5512,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170427,BoJ,2017-04-27,2017-04-27,5542,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170616,BoJ,2017-06-16,2017-06-16,5578,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170720,BoJ,2017-07-20,2017-07-20,5602,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20170921,BoJ,2017-09-21,2017-09-21,5647,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20171031,BoJ,2017-10-31,2017-10-31,5675,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20171221,BoJ,2017-12-21,2017-12-21,5712,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180123,BoJ,2018-01-23,2018-01-23,5735,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180309,BoJ,2018-03-09,2018-03-09,5768,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180427,BoJ,2018-04-27,2018-04-27,5803,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180615,BoJ,2018-06-15,2018-06-15,5838,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180731,BoJ,2018-07-31,2018-07-31,5870,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20180919,BoJ,2018-09-19,2018-09-19,5906,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20181031,BoJ,2018-10-31,2018-10-31,5936,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20181220,BoJ,2018-12-20,2018-12-20,5972,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190123,BoJ,2019-01-23,2019-01-23,5996,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190315,BoJ,2019-03-15,2019-03-15,6033,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190425,BoJ,2019-04-25,2019-04-25,6062,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190620,BoJ,2019-06-20,2019-06-20,6102,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190730,BoJ,2019-07-30,2019-07-30,6130,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20190919,BoJ,2019-09-19,2019-09-19,6167,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20191031,BoJ,2019-10-31,2019-10-31,6197,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20210121,BoJ,2021-01-21,2021-01-21,6517,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20210319,BoJ,2021-03-19,2021-03-19,6558,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20210427,BoJ,2021-04-27,2021-04-27,6585,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20210618,BoJ,2021-06-18,2021-06-18,6623,True,True,True,False,,0,False,,0,False,False,True,True
same_date,BOJ_20210716,BoJ,2021-07-16,2021-07-16,6643,True,True,True,True,FOMC_20210728;BOJ_20210618,2,True,FOMC_20210728,1,True,True,False,False
same_date,BOJ_20210922,BoJ,2021-09-22,2021-09-22,6691,True,True,True,True,FOMC_20210922,1,True,FOMC_20210922,1,False,True,False,False
same_date,BOJ_20211028,BoJ,2021-10-28,2021-10-28,6717,True,True,True,True,FOMC_20211103,1,True,FOMC_20211103,1,False,True,False,False
same_date,BOJ_20211217,BoJ,2021-12-17,2021-12-17,6753,True,True,True,True,FOMC_20211215,1,False,,0,False,True,False,True
same_date,BOJ_20220118,BoJ,2022-01-18,2022-01-18,6775,True,True,True,True,FOMC_20220126,1,True,FOMC_20220126,1,False,True,False,False
same_date,BOJ_20220318,BoJ,2022-03-18,2022-03-18,6818,True,True,True,True,FOMC_20220316,1,False,,0,False,True,False,True
same_date,BOJ_20220428,BoJ,2022-04-28,2022-04-28,6847,True,True,True,True,FOMC_20220504,1,True,FOMC_20220504,1,False,True,False,False
same_date,BOJ_20220617,BoJ,2022-06-17,2022-06-17,6883,True,True,True,True,FOMC_20220615,1,False,,0,False,True,False,True
same_date,BOJ_20220721,BoJ,2022-07-21,2022-07-21,6907,True,True,True,True,FOMC_20220727,1,True,FOMC_20220727,1,False,True,False,False
same_date,BOJ_20220922,BoJ,2022-09-22,2022-09-22,6952,True,True,True,True,FOMC_20220921,1,False,,0,False,True,False,True
same_date,BOJ_20221028,BoJ,2022-10-28,2022-10-28,6978,True,True,True,True,FOMC_20221102,1,True,FOMC_20221102,1,False,True,False,False
same_date,BOJ_20221220,BoJ,2022-12-20,2022-12-20,7015,True,True,True,True,FOMC_20221214,1,False,,0,False,True,False,True
same_date,BOJ_20230118,BoJ,2023-01-18,2023-01-18,7036,True,True,True,True,FOMC_20230201,1,True,FOMC_20230201,1,False,True,False,False
same_date,BOJ_20230310,BoJ,2023-03-10,2023-03-10,7073,True,True,True,True,FOMC_20230322,1,True,FOMC_20230322,1,False,True,False,False
same_date,BOJ_20230428,BoJ,2023-04-28,2023-04-28,7108,True,True,True,True,FOMC_20230503,1,True,FOMC_20230503,1,False,True,False,False
same_date,BOJ_20230616,BoJ,2023-06-16,2023-06-16,7143,True,True,True,True,FOMC_20230614,1,False,,0,False,True,False,True
same_date,BOJ_20230728,BoJ,2023-07-28,2023-07-28,7173,True,True,True,True,FOMC_20230726,1,False,,0,False,True,False,True
same_date,BOJ_20230922,BoJ,2023-09-22,2023-09-22,7213,True,True,True,True,FOMC_20230920,1,False,,0,False,True,False,True
same_date,BOJ_20231031,BoJ,2023-10-31,2023-10-31,7240,True,True,True,True,FOMC_20231101,1,True,FOMC_20231101,1,False,True,False,False
same_date,BOJ_20231219,BoJ,2023-12-19,2023-12-19,7275,True,True,True,True,FOMC_20231213,1,False,,0,False,True,False,True
same_date,BOJ_20240123,BoJ,2024-01-23,2024-01-23,7300,True,True,True,True,FOMC_20240131,1,True,FOMC_20240131,1,False,True,False,False
same_date,BOJ_20240319,BoJ,2024-03-19,2024-03-19,7340,True,True,True,True,FOMC_20240320,1,True,FOMC_20240320,1,False,True,False,False
same_date,BOJ_20240426,BoJ,2024-04-26,2024-04-26,7368,True,True,True,True,FOMC_20240501,1,True,FOMC_20240501,1,False,True,False,False
same_date,BOJ_20240614,BoJ,2024-06-14,2024-06-14,7403,True,True,True,True,FOMC_20240612,1,False,,0,False,True,False,True
same_date,BOJ_20240731,BoJ,2024-07-31,2024-07-31,7436,True,True,True,True,FOMC_20240731,1,True,FOMC_20240731,1,False,True,False,False
same_date,BOJ_20240920,BoJ,2024-09-20,2024-09-20,7473,True,True,True,True,FOMC_20240918,1,False,,0,False,True,False,True
same_date,BOJ_20241031,BoJ,2024-10-31,2024-10-31,7502,True,True,True,True,FOMC_20241107,1,True,FOMC_20241107,1,False,True,False,False
same_date,BOJ_20241219,BoJ,2024-12-19,2024-12-19,7537,True,True,True,True,FOMC_20241218,1,False,,0,False,True,False,True
same_date,BOJ_20250124,BoJ,2025-01-24,2025-01-24,7563,True,True,True,True,FOMC_20250129,1,True,FOMC_20250129,1,False,True,False,False
same_date,BOJ_20250319,BoJ,2025-03-19,2025-03-19,7601,True,True,True,True,FOMC_20250319,1,True,FOMC_20250319,1,False,True,False,False
