alignment_convention,event_id,central_bank,event_date,aligned_date,market_date,event_time_index,event_age,spot_log_return,atm_1m_iv,atm_1m_div,data_availability,other_event_occurs_on_this_market_date_flag,other_event_ids_on_this_market_date,complete_pre_window_flag,complete_post_window_flag,complete_window_flag,other_decision_in_full_window_flag,other_decision_ids_full_window,other_decision_count_full_window,other_decision_in_post_window_flag,other_decision_ids_post_window,other_decision_count_post_window,same_bank_decision_in_full_window_flag,other_bank_decision_in_full_window_flag,strict_clean_full_window_flag,clean_post_window_flag
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-01,6652,-20,0.003862742855383014,5.5525,0.11249999999999982,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-02,6652,-19,-0.004402918425573912,5.0025,-0.5499999999999998,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-05,6652,-18,-0.0006756300506989868,5.14,0.1374999999999993,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-06,6652,-17,-0.0030233997895780427,5.315,0.1750000000000007,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-07,6652,-16,0.00022594274706942496,5.32,0.004999999999999893,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-08,6652,-15,-0.008485201895665963,5.73,0.41000000000000014,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-09,6652,-14,0.003775048260037806,5.2425,-0.4875000000000007,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-12,6652,-13,0.002086073950457347,5.2625,0.020000000000000462,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-13,6652,-12,0.002398136938101586,5.1625,-0.10000000000000053,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
next_observation,FOMC_20210728,FOMC,2021-07-28,2021-07-29,2021-07-14,6652,-11,-0.006074361379234752,5.1525,-0.009999999999999787,True,False,,True,True,True,True,BOJ_20210716,1,False,,0,False,True,False,True
