filename,extension,expected role,included,exclusion reason,load status,warning
25B - all currencies diff tenors.xlsx,.xlsx,bf,True,,loaded,
25R - all currencies diff tenors.xlsx,.xlsx,rr,True,,loaded,
ATM_Volatility_-_all_currencies_diff_tenors.xlsx,.xlsx,atm,True,,loaded,
boj_monetary_policy_meetings_2015_2026.csv,.csv,boj,True,,loaded,
calendar_events.xlsx,.xlsx,fomc,True,,loaded,
Currency Daily BidAskLast.xlsx,.xlsx,spot,True,,loaded,
Currency Hourly BidAskLast.xlsx,.xlsx,not used,False,hourly excluded,located,
daily_mid.csv,.csv,mid,False,secondary reconciliation source,loaded,
EUR_PLN Historical Data 2006_2026.csv,.csv,not used,False,other pair,located,
EUR_PLN Historical Data.csv,.csv,not used,False,other pair,located,
hourly_mid.csv,.csv,not used,False,hourly excluded,located,
imp vol daily 5 years.xlsx,.xlsx,conflict,False,secondary reconciliation source,loaded,
imp vol diff tenors.xlsx,.xlsx,short,False,secondary reconciliation source,loaded,
mxn pln daily.xlsx,.xlsx,not used,False,other pair,located,
mxn pln hourly.xlsx,.xlsx,not used,False,other pair/hourly,located,
mxn pln hourly1.xlsx,.xlsx,not used,False,other pair/hourly,located,
