alignment,bank,sample,outcome,horizon,lag,coefficient,hac_standard_error,lower_interval,upper_interval,individual_hac_p_value
same_date,BoJ,all_usable_in_panel,atm_1m_div,1,1,-0.2519625211573253,0.09402602906375691,-0.43625353812228884,-0.06767150419236176,0.007368589507134557
same_date,BoJ,all_usable_in_panel,atm_1m_div,2,1,-0.2585461768830743,0.09494526748350289,-0.44463890115073995,-0.07245345261540864,0.006467099629619263
same_date,BoJ,all_usable_in_panel,atm_1m_div,2,2,-0.08852584684495307,0.052099275682160426,-0.1906404271819875,0.013588733492081367,0.08928599810504065
same_date,BoJ,all_usable_in_panel,atm_1m_div,5,1,-0.24423385973472192,0.09217233972302194,-0.4248916455918449,-0.06357607387759892,0.00805508279053213
same_date,BoJ,all_usable_in_panel,atm_1m_div,5,2,-0.07694065410372747,0.05532230296437811,-0.18537236791390854,0.03149105970645362,0.1642948825023518
same_date,BoJ,all_usable_in_panel,atm_1m_div,5,3,0.09518004046026672,0.05245720566377159,-0.0076360826407256,0.19799616356125904,0.06961121980042537
same_date,BoJ,all_usable_in_panel,atm_1m_div,5,4,0.07415121856866727,0.05292938143128048,-0.029590369036642472,0.17789280617397701,0.16123014611028907
same_date,BoJ,all_usable_in_panel,atm_1m_div,5,5,-0.08653746280062385,0.052652566535990285,-0.18973649321116481,0.016661567609917105,0.10026786589867756
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,1,-0.2389729141813018,0.09218641261265234,-0.4196582829021004,-0.058287545460503215,0.009534237794862649
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,2,-0.07255406780285854,0.05907513232396021,-0.18834132715782054,0.043233191552103464,0.2193846665761856
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,3,0.0974850326449153,0.05270992649401914,-0.00582642328336222,0.20079648857319282,0.06439105726465769
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,4,0.07221075829771266,0.05334516526231108,-0.032345765616417055,0.17676728221184237,0.17584761620292388
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,5,-0.10339780206140639,0.05443341847738204,-0.21008730227707517,0.003291698154262404,0.057495089880832004
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,6,-0.08391317114774088,0.04439310199226198,-0.17092365105257434,0.00309730875709259,0.05872721218063682
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,7,0.03572209307840746,0.0707769960181956,-0.10300081911725592,0.17444500527407084,0.6137601998381395
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,8,0.021815692635714864,0.04718179274367115,-0.07066062114188058,0.11429200641331032,0.6438122536477033
same_date,BoJ,all_usable_in_panel,atm_1m_div,10,9,0.040506083462253165,0.055766732874157246,-0.06879671297109503,0.14980887989560138,0.4676251464777741
