record_type,alignment,bank,sample,channel,event_time,estimand,native_estimate,native_lower,native_upper,standardised_estimate,standardised_lower,standardised_upper,event_count
profile,same_date,BoJ,all_complete,ATM,-20.0,time_-20,-0.04627551020408159,-0.13156505102040816,0.048146683673469436,-0.08028626803498846,-0.22826041039153702,0.08353268355889513,98
profile,same_date,BoJ,all_complete,ATM,-19.0,time_-19,-0.014489795918367441,-0.10328188775510205,0.07775637755102036,-0.02513925041007375,-0.17919018692384586,0.1349043876979309,98
profile,same_date,BoJ,all_complete,ATM,-18.0,time_-18,0.0112500000000001,-0.06074617346938756,0.0846160714285714,0.019518326462750972,-0.105392324012302,0.14680569832340418,98
profile,same_date,BoJ,all_complete,ATM,-17.0,time_-17,0.026530612244897965,-0.05415688775510201,0.11217729591836734,0.046029613426895315,-0.09396016136983397,0.19462338519495967,98
profile,same_date,BoJ,all_complete,ATM,-16.0,time_-16,0.023239795918367254,-0.07012372448979606,0.13401275510204072,0.04032017099221294,-0.1216620219889629,0.23250708482260474,98
profile,same_date,BoJ,all_complete,ATM,-15.0,time_-15,-0.05145408163265302,-0.1433469387755102,0.04957780612244901,-0.089270894501969,-0.2487015420850097,0.08601562712932667,98
profile,same_date,BoJ,all_complete,ATM,-14.0,time_-14,0.00209183673469386,-0.09597576530612245,0.09611096938775499,0.003629257981735946,-0.16651433953397776,0.16674891352548,98
profile,same_date,BoJ,all_complete,ATM,-13.0,time_-13,0.03380102040816324,-0.04834693877551027,0.12101913265306119,0.05864349787561176,-0.08388011862178087,0.20996363905434606,98
profile,same_date,BoJ,all_complete,ATM,-12.0,time_-12,0.010076530612244968,-0.06963647959183665,0.09251530612244899,0.017482401253484398,-0.1208166704346801,0.1605105731288255,98
profile,same_date,BoJ,all_complete,ATM,-11.0,time_-11,-0.01581632653061225,-0.08371683673469382,0.0582806122448979,-0.027440731081418365,-0.14524555998369446,0.10111466811065857,98
profile,same_date,BoJ,all_complete,ATM,-10.0,time_-10,-0.13387755102040808,-0.23087117346938774,-0.037344387755101995,-0.2322725108311023,-0.40055279418790046,-0.06479110682272303,98
profile,same_date,BoJ,all_complete,ATM,-9.0,time_-9,-0.0029591836734694245,-0.06865051020408167,0.06339668367346948,-0.005134072266846078,-0.11910605066645963,0.10999085943062407,98
profile,same_date,BoJ,all_complete,ATM,-8.0,time_-8,-0.0201530612244898,-0.11066581632653066,0.07856122448979597,-0.03496480250696856,-0.19200102500693714,0.13630076683602582,98
profile,same_date,BoJ,all_complete,ATM,-7.0,time_-7,0.022168367346938733,-0.06485459183673478,0.11536224489795915,0.038461282757665326,-0.11252027520691932,0.20014915176837106,98
profile,same_date,BoJ,all_complete,ATM,-6.0,time_-6,0.00948979591836728,-0.06939540816326538,0.09466964285714281,0.016464438648850898,-0.12039842058190714,0.16424826625757669,98
profile,same_date,BoJ,all_complete,ATM,-5.0,time_-5,0.06548469387755111,-0.09170663265306112,0.30210841836734703,0.11361347852580808,-0.1591075551041786,0.5241467321634825,98
profile,same_date,BoJ,all_complete,ATM,-4.0,time_-4,-0.020025510204081665,-0.16016964285714289,0.10328954081632653,-0.03474350628857007,-0.27788830032959255,0.17920346469694975,98
profile,same_date,BoJ,all_complete,ATM,-3.0,time_-3,0.017627551020408146,-0.0747538265306123,0.11681887755102027,0.03058313738267752,-0.12969507471682956,0.20267635458248215,98
profile,same_date,BoJ,all_complete,ATM,-2.0,time_-2,-0.02678571428571426,-0.10674107142857138,0.04984183673469389,-0.04647220586369233,-0.18519174036681402,0.0864737103014116,98
profile,same_date,BoJ,all_complete,ATM,-1.0,time_-1,-0.09076530612244896,-0.19640561224489803,0.0040408163265307105,-0.15747438901239755,-0.3407563430144325,0.007010664198865763,98
profile,same_date,BoJ,all_complete,ATM,0.0,time_+0,-0.27584183673469403,-0.4621288265306123,-0.07781250000000012,-0.4785752019086723,-0.8017761159175487,-0.13500175803402656,98
profile,same_date,BoJ,all_complete,ATM,1.0,time_+1,-0.04071428571428566,-0.141360969387755,0.05064795918367355,-0.07063775291281232,-0.24525595996454433,0.08787230240169046,98
