alignment,bank,sample,matching_category,event_count,share_of_events
same_date,BoJ,all_complete,exact year and weekday match,91,0.9285714285714286
same_date,BoJ,all_complete,year-only fallback,7,0.07142857142857142
same_date,BoJ,all_complete,weekday-only fallback,0,0.0
same_date,BoJ,all_complete,unrestricted fallback,0,0.0
same_date,BoJ,all_complete,no eligible match,0,0.0
same_date,BoJ,common_period,exact year and weekday match,36,0.9473684210526315
same_date,BoJ,common_period,year-only fallback,2,0.05263157894736842
same_date,BoJ,common_period,weekday-only fallback,0,0.0
same_date,BoJ,common_period,unrestricted fallback,0,0.0
same_date,BoJ,common_period,no eligible match,0,0.0
same_date,BoJ,post_window_clean,exact year and weekday match,71,0.9342105263157895
same_date,BoJ,post_window_clean,year-only fallback,5,0.06578947368421052
same_date,BoJ,post_window_clean,weekday-only fallback,0,0.0
same_date,BoJ,post_window_clean,unrestricted fallback,0,0.0
same_date,BoJ,post_window_clean,no eligible match,0,0.0
same_date,BoJ,strict_full_window_clean,exact year and weekday match,45,0.9782608695652174
same_date,BoJ,strict_full_window_clean,year-only fallback,1,0.021739130434782608
same_date,BoJ,strict_full_window_clean,weekday-only fallback,0,0.0
same_date,BoJ,strict_full_window_clean,unrestricted fallback,0,0.0
same_date,BoJ,strict_full_window_clean,no eligible match,0,0.0
same_date,FOMC,all_complete,exact year and weekday match,21,0.5384615384615384
same_date,FOMC,all_complete,year-only fallback,18,0.46153846153846156
same_date,FOMC,all_complete,weekday-only fallback,0,0.0
same_date,FOMC,all_complete,unrestricted fallback,0,0.0
same_date,FOMC,all_complete,no eligible match,0,0.0
same_date,FOMC,common_period,exact year and weekday match,21,0.5384615384615384
same_date,FOMC,common_period,year-only fallback,18,0.46153846153846156
same_date,FOMC,common_period,weekday-only fallback,0,0.0
same_date,FOMC,common_period,unrestricted fallback,0,0.0
same_date,FOMC,common_period,no eligible match,0,0.0
same_date,FOMC,post_window_clean,exact year and weekday match,11,0.5789473684210527
same_date,FOMC,post_window_clean,year-only fallback,8,0.42105263157894735
same_date,FOMC,post_window_clean,weekday-only fallback,0,0.0
same_date,FOMC,post_window_clean,unrestricted fallback,0,0.0
same_date,FOMC,post_window_clean,no eligible match,0,0.0
next_observation,BoJ,all_complete,exact year and weekday match,96,0.9795918367346939
next_observation,BoJ,all_complete,year-only fallback,2,0.02040816326530612
next_observation,BoJ,all_complete,weekday-only fallback,0,0.0
next_observation,BoJ,all_complete,unrestricted fallback,0,0.0
next_observation,BoJ,all_complete,no eligible match,0,0.0
next_observation,BoJ,common_period,exact year and weekday match,36,0.9473684210526315
next_observation,BoJ,common_period,year-only fallback,2,0.05263157894736842
next_observation,BoJ,common_period,weekday-only fallback,0,0.0
next_observation,BoJ,common_period,unrestricted fallback,0,0.0
next_observation,BoJ,common_period,no eligible match,0,0.0
next_observation,BoJ,post_window_clean,exact year and weekday match,76,1.0
next_observation,BoJ,post_window_clean,year-only fallback,0,0.0
next_observation,BoJ,post_window_clean,weekday-only fallback,0,0.0
next_observation,BoJ,post_window_clean,unrestricted fallback,0,0.0
next_observation,BoJ,post_window_clean,no eligible match,0,0.0
next_observation,BoJ,strict_full_window_clean,exact year and weekday match,46,1.0
next_observation,BoJ,strict_full_window_clean,year-only fallback,0,0.0
next_observation,BoJ,strict_full_window_clean,weekday-only fallback,0,0.0
next_observation,BoJ,strict_full_window_clean,unrestricted fallback,0,0.0
next_observation,BoJ,strict_full_window_clean,no eligible match,0,0.0
next_observation,FOMC,all_complete,exact year and weekday match,21,0.5384615384615384
next_observation,FOMC,all_complete,year-only fallback,18,0.46153846153846156
next_observation,FOMC,all_complete,weekday-only fallback,0,0.0
next_observation,FOMC,all_complete,unrestricted fallback,0,0.0
next_observation,FOMC,all_complete,no eligible match,0,0.0
next_observation,FOMC,common_period,exact year and weekday match,21,0.5384615384615384
next_observation,FOMC,common_period,year-only fallback,18,0.46153846153846156
next_observation,FOMC,common_period,weekday-only fallback,0,0.0
next_observation,FOMC,common_period,unrestricted fallback,0,0.0
next_observation,FOMC,common_period,no eligible match,0,0.0
next_observation,FOMC,post_window_clean,exact year and weekday match,11,0.5789473684210527
next_observation,FOMC,post_window_clean,year-only fallback,8,0.42105263157894735
next_observation,FOMC,post_window_clean,weekday-only fallback,0,0.0
next_observation,FOMC,post_window_clean,unrestricted fallback,0,0.0
next_observation,FOMC,post_window_clean,no eligible match,0,0.0
