source,target,lag,n_obs,TDMI,null_mean,TDMI_excess,p_value,alignment,q_value_BH,significant
r2,rv,1,5690,0.043498131612123576,0.007917560502395176,0.0355805711097284,0.000999000999000999,sameday,0.000999000999000999,True
r2,iv_var,1,5259,0.04845167367666675,0.00941346958955922,0.03903820408710753,0.000999000999000999,sameday,0.000999000999000999,True
rv,r2,1,5690,0.09467168930329581,0.008432580044589173,0.08623910925870663,0.000999000999000999,sameday,0.000999000999000999,True
rv,iv_var,1,5259,0.15777961998319212,0.015479707720327628,0.14229991226286448,0.000999000999000999,sameday,0.000999000999000999,True
iv_var,r2,1,5376,0.09228502955495,0.010190233214417492,0.0820947963405325,0.000999000999000999,sameday,0.000999000999000999,True
iv_var,rv,1,5376,0.1745704506505967,0.014359311990368464,0.16021113866022824,0.000999000999000999,sameday,0.000999000999000999,True
r2,rv,5,5610,0.02761946451897685,0.007905923787385253,0.019713540731591598,0.000999000999000999,sameday,0.001998001998001998,True
r2,iv_var,5,5255,0.0371679399383389,0.00922149584518839,0.02794644409315051,0.001998001998001998,sameday,0.002997002997002997,True
rv,r2,5,5610,0.044718374058777086,0.008497193954215951,0.036221180104561136,0.000999000999000999,sameday,0.001998001998001998,True
rv,iv_var,5,5255,0.11448387652591928,0.014821593502237216,0.09966228302368206,0.000999000999000999,sameday,0.001998001998001998,True
iv_var,r2,5,5368,0.046810118691479274,0.010415267330928117,0.03639485136055116,0.002997002997002997,sameday,0.0035964035964035964,True
iv_var,rv,5,5368,0.08608865489718552,0.01351776730488574,0.07257088759229978,0.003996003996003996,sameday,0.003996003996003996,True
r2,rv,1,5690,0.043498131612123576,0.007837753317036565,0.03566037829508701,0.000999000999000999,nextday,0.0014985014985014985,True
r2,iv_var,1,5261,0.06843102428145417,0.009351256943362696,0.05907976733809148,0.000999000999000999,nextday,0.0014985014985014985,True
rv,r2,1,5690,0.09467168930329581,0.008389062107464653,0.08628262719583116,0.000999000999000999,nextday,0.0014985014985014985,True
rv,iv_var,1,5261,0.19798003158672864,0.01485602372826181,0.18312400785846683,0.000999000999000999,nextday,0.0014985014985014985,True
iv_var,r2,1,5375,0.06969567337758037,0.01011434442837939,0.05958132894920098,0.001998001998001998,nextday,0.0023976023976023976,True
iv_var,rv,1,5375,0.10878990232255464,0.013578533730446589,0.09521136859210805,0.002997002997002997,nextday,0.002997002997002997,True
r2,rv,5,5610,0.02761946451897685,0.007884636560686258,0.019734827958290593,0.000999000999000999,nextday,0.001998001998001998,True
r2,iv_var,5,5254,0.04101292218632728,0.009324579714909569,0.03168834247141771,0.000999000999000999,nextday,0.001998001998001998,True
rv,r2,5,5610,0.044718374058777086,0.00866947200657376,0.036048902052203326,0.003996003996003996,nextday,0.003996003996003996,True
rv,iv_var,5,5254,0.12896555567497406,0.015516058865333329,0.11344949680964073,0.001998001998001998,nextday,0.002997002997002997,True
iv_var,r2,5,5367,0.05412527529717022,0.010073379693946536,0.04405189560322369,0.000999000999000999,nextday,0.001998001998001998,True
iv_var,rv,5,5367,0.10437295237753755,0.014536077633555623,0.08983687474398193,0.003996003996003996,nextday,0.003996003996003996,True
