source,target,direction,timing,lag_order,n,wald_chi2,df,p_raw,partial_R2,q_holm_all24,reject_holm_5pct
r2,rv,r2 -> rv,advance,1,4297,2.9461387940967976,1,0.0860830047628102,0.0024154205929124892,1.0,False
r2,iv,r2 -> iv,advance,1,4170,3.3943709958423987,1,0.06541931022129421,0.006703103434997009,1.0,False
rv,r2,rv -> r2,advance,1,4297,0.21953673822644074,1,0.6393931274955951,0.0003785665924556647,1.0,False
rv,iv,rv -> iv,advance,1,4170,1.7292015201713893,1,0.18851290292913384,0.031756977236726894,1.0,False
iv,r2,iv -> r2,advance,1,4297,24.711756621840557,1,6.657681300681137e-07,0.2509154720819962,1.1318058211157932e-05,True
iv,rv,iv -> rv,advance,1,4297,71.10296652581637,1,3.390598915657232e-17,0.21075396635822752,7.459317614445911e-16,True
r2,rv,r2 -> rv,advance,5,3738,2.766471064935097,5,0.7359347135665173,0.002577483503579404,1.0,False
r2,iv,r2 -> iv,advance,5,3765,0.2838320211141487,5,0.9979361493819051,0.0003534801439647473,1.0,False
rv,r2,rv -> r2,advance,5,3738,3.034630806583182,5,0.6946466235481404,0.003375893767966475,1.0,False
rv,iv,rv -> iv,advance,5,3765,5.801866203330564,5,0.32597811929349724,0.029728023394950627,1.0,False
iv,r2,iv -> r2,advance,5,3738,72.97280656585964,5,2.4628941281898163e-14,0.27058304766335944,4.679498843560651e-13,True
iv,rv,iv -> rv,advance,5,3738,79.69073890808986,5,9.73981710319495e-16,0.1701479370529334,2.0453615916709396e-14,True
r2,rv,r2 -> rv,same_label,1,4296,0.7791809502692081,1,0.3773917513935833,0.0008132030442255137,1.0,False
r2,iv,r2 -> iv,same_label,1,4170,3.3943709958423987,1,0.06541931022129421,0.006703103434997009,1.0,False
rv,r2,rv -> r2,same_label,1,4296,3.148552191494075,1,0.07599436287825251,0.006432374698214973,1.0,False
rv,iv,rv -> iv,same_label,1,4170,1.7292015201713893,1,0.18851290292913384,0.031756977236726894,1.0,False
iv,r2,iv -> r2,same_label,1,4296,46.27628567496402,1,1.0269946881121968e-11,0.11654418955336172,1.8485904386019543e-10,True
iv,rv,iv -> rv,same_label,1,4296,60.02085231512046,1,9.385771055281832e-15,0.21838783114022498,1.8771542110563662e-13,True
r2,rv,r2 -> rv,same_label,5,3738,2.8876229569929914,5,0.7173059729911361,0.0032038091529209066,1.0,False
r2,iv,r2 -> iv,same_label,5,3765,0.2838320211141487,5,0.9979361493819051,0.0003534801439647473,1.0,False
rv,r2,rv -> r2,same_label,5,3738,2.6027550795206054,5,0.7609466227146464,0.004078003307178437,1.0,False
rv,iv,rv -> iv,same_label,5,3765,5.801866203330564,5,0.32597811929349724,0.029728023394950627,1.0,False
iv,r2,iv -> r2,same_label,5,3738,134.72828069479507,5,2.3592099114526878e-27,0.281015563651773,5.662103787486451e-26,True
iv,rv,iv -> rv,same_label,5,3738,123.88705198955851,5,4.710855310370207e-25,0.24522768302117418,1.0834967213851477e-23,True
