era,direction,n,wald_chi2,p_raw,q_BH_within_era
pre_GFC_to_outage,r2 -> rv,1003,4.076802529664694,0.5384121486806231,0.5384121486806231
pre_GFC_to_outage,r2 -> iv,990,4.223367285640398,0.5177251279216304,0.5384121486806231
pre_GFC_to_outage,rv -> r2,1003,4.497203061143452,0.48025774615396677,0.5384121486806231
pre_GFC_to_outage,rv -> iv,990,12.066565222267224,0.03388697979725962,0.06777395959451923
pre_GFC_to_outage,iv -> r2,1003,19.733664840967645,0.0014019986198203578,0.004205995859461074
pre_GFC_to_outage,iv -> rv,1003,35.22590797637506,1.3562512041445399e-06,8.13750722486724e-06
post_outage_Abenomics,r2 -> rv,1184,4.018660602900153,0.5467324196181177,0.5467324196181177
post_outage_Abenomics,r2 -> iv,1210,19.75055158003725,0.001391824860124523,0.00417547458037357
post_outage_Abenomics,rv -> r2,1184,7.075014319042897,0.21512091531373057,0.25814509837647664
post_outage_Abenomics,rv -> iv,1210,8.609286287246682,0.12570049619917725,0.1885507442987659
post_outage_Abenomics,iv -> r2,1184,13.676848679963644,0.017797802383401045,0.03559560476680209
post_outage_Abenomics,iv -> rv,1184,38.81783863541932,2.583997981369377e-07,1.5503987888216263e-06
recent_training,r2 -> rv,1551,10.184594369740262,0.07017064952457372,0.14034129904914744
recent_training,r2 -> iv,1564,2.9945910759687058,0.700819784891311,0.700819784891311
recent_training,rv -> r2,1551,5.38963035254179,0.37020012540614444,0.4442401504873733
recent_training,rv -> iv,1564,5.686537456770213,0.33792449395108376,0.4442401504873733
recent_training,iv -> r2,1551,60.84829345235354,8.116769898527987e-12,4.870061939116792e-11
recent_training,iv -> rv,1551,34.98836478547836,1.5127168315216468e-06,4.538150494564941e-06
