equation,target,model,term,coef,se_classical
Eq 2,rv,Step-1 restricted,const,1.426462339978591e-05,1.0973184255657717e-06
Eq 2,rv,Step-1 restricted,rv,0.22849988587900757,0.016445477478128197
Eq 2,rv,Step-1 restricted,iv,0.0010367256302545322,5.330067071927743e-05
Eq 2,rv,Unrestricted,const,1.4246884709807557e-05,1.0992538235415049e-06
Eq 2,rv,Unrestricted,r2,-0.0036629085843475815,0.013048385513667956
Eq 2,rv,Unrestricted,rv,0.23087956716734898,0.01850334215655066
Eq 2,rv,Unrestricted,iv,0.0010412006663563698,5.5639013564686924e-05
Eq 2,rv,AR(1),const,2.1398287340898197e-05,1.0786543394604232e-06
Eq 2,rv,AR(1),rv,0.41325084423231756,0.014001951083001942
Eq 3,iv,Step-1 restricted,const,0.003222783053440457,0.0002756636346731534
Eq 3,iv,Step-1 restricted,r2,-20.352594983879623,3.207373752708437
Eq 3,iv,Step-1 restricted,rv,94.68324062923698,4.636092761097033
Eq 3,iv,Step-1 restricted,iv,0.5553373963351844,0.013727881151018872
Eq 3,iv,Unrestricted,const,0.003222783053440457,0.0002756636346731534
Eq 3,iv,Unrestricted,r2,-20.352594983879623,3.207373752708437
Eq 3,iv,Unrestricted,rv,94.68324062923698,4.636092761097033
Eq 3,iv,Unrestricted,iv,0.5553373963351844,0.013727881151018872
Eq 3,iv,AR(1),const,0.004235709495729316,0.00028472193142913086
Eq 3,iv,AR(1),iv,0.6836552605502217,0.011258437075631334
