event,event_datetime_utc,model_day,panel_row,ccy,surprise,surprise_z,relevance
FOMC Rate Decision (Upper Bound),2003-05-06 19:13:00+00:00,2003-05-06,1,USD,0.0,0.0827485307864699,98.0
CPI MoM,2003-05-16 13:30:00+00:00,2003-05-16,9,USD,-0.002,-1.6758799301503844,97.4
CPI YoY,2003-05-16 13:30:02+00:00,2003-05-16,9,USD,,,96.0
Tokyo CPI Ex-Fresh Food YoY,2003-05-30 00:30:05+00:00,2003-05-30,19,JPY,0.0,-0.0104051714017993,91.1
Natl CPI YoY,2003-05-30 00:30:08+00:00,2003-05-30,19,JPY,0.0,-0.0348656134963743,95.6
Change in Nonfarm Payrolls,2003-06-06 13:30:03+00:00,2003-06-06,24,USD,13000.0,0.3216107677346975,99.3
CPI MoM,2003-06-17 13:30:00+00:00,2003-06-17,31,USD,0.001,1.0982386056519808,97.4
CPI YoY,2003-06-17 13:30:02+00:00,2003-06-17,31,USD,0.0,,96.0
FOMC Rate Decision (Upper Bound),2003-06-25 19:15:00+00:00,2003-06-25,37,USD,0.0,0.0819117398687137,98.0
Tokyo CPI Ex-Fresh Food YoY,2003-06-27 00:30:05+00:00,2003-06-27,39,JPY,0.0,-0.0101670968004438,91.1
Natl CPI YoY,2003-06-27 00:30:08+00:00,2003-06-27,39,JPY,0.001,0.8601899440976626,95.6
Change in Nonfarm Payrolls,2003-07-03 13:30:03+00:00,2003-07-03,43,USD,-30000.0,-0.0762534441821041,99.3
CPI MoM,2003-07-16 13:30:00+00:00,2003-07-16,52,USD,0.0,0.1728211647312054,97.4
CPI YoY,2003-07-16 13:30:02+00:00,2003-07-16,52,USD,,,96.0
Tokyo CPI Ex-Fresh Food YoY,2003-07-25 00:30:05+00:00,2003-07-25,59,JPY,0.0,-0.0099445961383687,91.1
Natl CPI YoY,2003-07-25 00:30:08+00:00,2003-07-25,59,JPY,-0.001,-0.974260343129063,95.6
Change in Nonfarm Payrolls,2003-08-01 13:30:03+00:00,2003-08-01,64,USD,-54000.0,-0.2979906468647395,99.3
FOMC Rate Decision (Upper Bound),2003-08-12 19:15:00+00:00,2003-08-12,71,USD,0.0,0.0810998224908889,98.0
CPI MoM,2003-08-15 13:30:00+00:00,2003-08-15,74,USD,0.0,0.1717189336382972,97.4
CPI YoY,2003-08-15 13:30:02+00:00,2003-08-15,74,USD,,,96.0
Tokyo CPI Ex-Fresh Food YoY,2003-08-29 00:30:05+00:00,2003-08-29,84,JPY,0.001,0.736694305386408,91.1
Natl CPI YoY,2003-08-29 00:30:08+00:00,2003-08-29,84,JPY,0.002,1.7735448299105454,95.6
Change in Nonfarm Payrolls,2003-09-05 13:30:03+00:00,2003-09-05,89,USD,-113000.0,-0.8455104112782654,99.3
CPI MoM,2003-09-16 13:30:00+00:00,2003-09-16,96,USD,-0.001,-0.7508051427970515,97.4
CPI YoY,2003-09-16 13:30:02+00:00,2003-09-16,96,USD,,,96.0
FOMC Rate Decision (Upper Bound),2003-09-16 19:19:00+00:00,2003-09-16,96,USD,0.0,0.0803115707754045,98.0
Tokyo CPI Ex-Fresh Food YoY,2003-09-26 00:30:05+00:00,2003-09-26,104,JPY,0.0,-0.040860164663259,91.1
Natl CPI YoY,2003-09-26 00:30:08+00:00,2003-09-26,104,JPY,0.0,-0.100959509291896,95.6
Change in Nonfarm Payrolls,2003-10-03 13:30:03+00:00,2003-10-03,109,USD,82000.0,0.983462785988164,99.3
CPI MoM,2003-10-16 13:30:00+00:00,2003-10-16,118,USD,0.001,1.1042613211536252,97.4
CPI YoY,2003-10-16 13:30:02+00:00,2003-10-16,118,USD,,,96.0
FOMC Rate Decision (Upper Bound),2003-10-28 19:15:00+00:00,2003-10-28,126,USD,0.0,0.0795458573674181,98.0
Tokyo CPI Ex-Fresh Food YoY,2003-10-30 23:30:06+00:00,2003-10-31,129,JPY,0.001,0.7304708849385275,91.1
Natl CPI YoY,2003-10-30 23:30:08+00:00,2003-10-31,129,JPY,0.001,0.784806780668154,95.6
Change in Nonfarm Payrolls,2003-11-07 13:30:03+00:00,2003-11-07,134,USD,61000.0,0.77540608554224,99.3
CPI MoM,2003-11-18 13:30:00+00:00,2003-11-18,141,USD,-0.001,-0.7560474537558103,97.4
CPI YoY,2003-11-18 13:30:02+00:00,2003-11-18,141,USD,,,96.0
Tokyo CPI Ex-Fresh Food YoY,2003-11-27 23:30:06+00:00,2003-11-28,149,JPY,-0.001,-0.8469911172144141,91.1
Natl CPI YoY,2003-11-27 23:30:08+00:00,2003-11-28,149,JPY,0.0,-0.130236002325599,95.6
Change in Nonfarm Payrolls,2003-12-05 13:30:03+00:00,2003-12-05,154,USD,-93000.0,-0.6735014429924484,99.3
FOMC Rate Decision (Upper Bound),2003-12-09 19:15:00+00:00,2003-12-09,156,USD,0.0,0.0788016286646452,98.0
CPI MoM,2003-12-16 13:30:00+00:00,2003-12-16,161,USD,-0.003,-2.5995161722298867,97.4
CPI YoY,2003-12-16 13:30:02+00:00,2003-12-16,161,USD,-0.003,,96.0
Tokyo CPI Ex-Fresh Food YoY,2003-12-25 23:30:05+00:00,2003-12-26,169,JPY,0.001,0.7451312643557185,91.1
Natl CPI YoY,2003-12-25 23:30:08+00:00,2003-12-26,169,JPY,-0.001,-1.0362931035590468,95.6
Change in Nonfarm Payrolls,2004-01-09 13:30:03+00:00,2004-01-09,179,USD,-149000.0,-1.1934651056796337,99.3
CPI MoM,2004-01-15 13:30:01+00:00,2004-01-15,183,USD,0.0,0.2001664124542521,97.4
CPI YoY,2004-01-15 13:30:03+00:00,2004-01-15,183,USD,0.001,,96.0
FOMC Rate Decision (Upper Bound),2004-01-28 19:15:00+00:00,2004-01-28,192,USD,0.0,0.0780778987298667,98.0
Tokyo CPI Ex-Fresh Food YoY,2004-01-29 23:30:06+00:00,2004-01-30,194,JPY,-0.002,-1.6441562368155844,91.1
