equation,event,short,target,offset,n_raw,omega_raw,omega_cal_raw,p_wilcoxon_raw,p_mannwhitney_raw,ci_lo_raw,ci_hi_raw,n_wd,omega_wd,omega_cal_wd,p_wilcoxon_wd,p_mannwhitney_wd,ci_lo_wd,ci_hi_wd,flips,q_wilcoxon_raw,q_wilcoxon_wd,q_mannwhitney_raw,q_mannwhitney_wd,omega_cal_off0_wd,verdict
Eq 2,FOMC Rate Decision (Upper Bound),FOMC,rv,0,163,0.9802225149691851,1.3937612424018488,0.01367919478699123,2.142416764620418e-08,0.8701586976279155,1.1828812269783058,163,0.9533347100867616,1.324677108704666,0.04732283859323146,2.553896726274618e-07,0.8288684928685879,1.1315848201504104,False,0.015959060584823104,0.06022906730047641,2.999383470468585e-08,4.469319270980582e-07,1.324677108704666,event effect confirmed - amplification
Eq 2,BOJ Target Rate,BOJ,rv,0,206,1.0613962066321059,1.5091806942250032,0.0002660353273514246,1.7190916687164898e-15,0.953206305004064,1.291534841227118,206,1.1132116505719671,1.5468292248813817,0.0006943024308085509,3.122771660968028e-14,0.9184879130685344,1.251767112007968,False,0.00033859041662908583,0.001080026003479968,3.0084104202538572e-15,8.743760650710479e-14,1.5468292248813817,event effect confirmed - amplification
Eq 2,Change in Nonfarm Payrolls,NFP,rv,1,234,0.440306495811847,0.6260641020468872,3.433562318254716e-26,3.1714899304735404e-22,0.3895929022457218,0.47045100003127505,234,0.5199560851518359,0.722489086198956,6.996784574255394e-18,1.092512771169369e-10,0.4814993805414245,0.5853853064494522,False,9.613974491113205e-26,3.2651661346525175e-17,6.342979860947081e-22,2.185025542338738e-10,1.648912589988597,event effect confirmed - damping
Eq 2,CPI MoM,US CPI MoM,rv,0,249,0.9409812807632107,1.3379648181154509,0.5526725670634327,6.853161657233593e-08,0.8358447493252348,1.0659383904543174,249,0.8696546458952916,1.2084020331026362,0.8704764713982638,3.253806193463432e-06,0.7932260544222054,1.0204519533672862,False,0.5943508832968092,0.9230855495960602,8.722205745570028e-08,5.061476300943116e-06,1.2084020331026362,event effect confirmed - amplification
Eq 2,CPI YoY,US CPI YoY,rv,0,250,0.9408587086624326,1.3377905349900834,0.5943508832968092,9.584252533970245e-08,0.8257703902982119,1.0650665370809607,250,0.8652227688075038,1.2022438537510727,0.9230855495960602,4.645439322436601e-06,0.8015821158649068,1.0125208609464118,False,0.5943508832968092,0.9230855495960602,1.118162795629862e-07,6.503615051411242e-06,1.2022438537510727,event effect confirmed - amplification
Eq 2,Natl CPI YoY,JP Natl CPI YoY,rv,1,243,0.5967245185336773,0.848472151600485,8.026665616181104e-16,1.860211355606409e-05,0.5089490861142792,0.6764539685976353,243,0.6743272094300189,0.9369907637448219,3.962054192439358e-07,0.13468185110484807,0.5998626232899009,0.7544498024279891,True,1.4046664828316934e-15,7.924108384878716e-07,2.003304536806902e-05,0.1714132650425339,1.1760161455520681,weekday-confounded - not a genuine event effect
Eq 2,Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,rv,1,241,0.600311680893071,0.8535726749922404,8.809832599110069e-14,0.0012101275425693261,0.5298809987928428,0.6697345664004878,241,0.6954296448586307,0.9663130079203816,2.1368275500399166e-05,0.6392377613594052,0.6161957158048035,0.7814872113026391,True,1.3704184043060106e-13,3.7394482125698544e-05,0.0012101275425693261,0.6884098968485902,1.1928485324068614,weekday-confounded - not a genuine event effect
Eq 3,FOMC Rate Decision (Upper Bound),FOMC,iv,-1,162,1.3357755287993731,1.4303866307508264,1.8431328889178646e-09,3.200227735454186e-15,1.1667990961439365,1.4594889764147845,152,1.2769552195288965,1.366794866333682,4.4439785959753265e-10,1.2909438170647257e-13,1.1816931834570232,1.3879044874216033,False,2.5803860444850103e-09,1.0369283390609096e-09,4.978132032928733e-15,3.012202239817693e-13,0.9492166014851338,event effect confirmed - amplification
Eq 3,BOJ Target Rate,BOJ,iv,0,207,1.6168362203022364,1.7313544557241047,1.2507489809560957e-26,5.494534879393012e-50,1.4286004594998472,1.875342223492671,204,1.3819161053438194,1.4791402310760717,5.376657424521165e-23,6.155975821835016e-38,1.2624299624512618,1.5777020289077488,False,4.3776214333463354e-26,3.763660197164816e-22,1.9230872077875543e-49,8.618366150569023e-37,1.4791402310760717,event effect confirmed - amplification
Eq 3,Change in Nonfarm Payrolls,NFP,iv,1,234,0.2794747252640344,0.299269526976397,1.0627834948221398e-39,2.925674053218463e-87,0.2636090089193843,0.2938980159956687,234,0.6502391920048733,0.6959864965735477,3.605481960115822e-23,1.452584271425425e-36,0.6170500653262709,0.6967003661974157,False,1.4878968927509958e-38,3.763660197164816e-22,4.095943674505849e-86,1.0168089899977975e-35,1.702168935152247,partly weekday-confounded - residual effect confirmed
