event,short,equation,target,offset,n_raw,omega_raw,omega_cal_raw,p_wilcoxon_raw,p_mannwhitney_raw,ci_lo_raw,ci_hi_raw,n_wd,omega_wd,omega_cal_wd,p_wilcoxon_wd,p_mannwhitney_wd,ci_lo_wd,ci_hi_wd
FOMC Rate Decision (Upper Bound),FOMC,Eq 2,rv,-1,169,0.8371058477522472,1.1902661574976197,0.559777416208513,0.0017057331294912056,0.7640899394513841,1.0650555009623106,169,0.8088834969177594,1.1239593404486663,0.08129216428881468,0.023386270707109094,0.7469816124671005,0.9131473743325227
FOMC Rate Decision (Upper Bound),FOMC,Eq 2,rv,0,163,0.9802225149691851,1.3937612424018488,0.01367919478699123,2.142416764620418e-08,0.8701586976279155,1.1828812269783058,163,0.9533347100867616,1.324677108704666,0.04732283859323146,2.553896726274618e-07,0.8288684928685879,1.1315848201504104
FOMC Rate Decision (Upper Bound),FOMC,Eq 2,rv,1,171,0.9448398445013132,1.3434512423786942,0.5002937284823811,1.466730488486597e-07,0.8087250222013139,1.0636514573144968,171,0.9010912104140212,1.252083750503326,0.7812952254310787,2.987007002627101e-05,0.7823250269557995,1.0111911333850399
FOMC Rate Decision (Upper Bound),FOMC,Eq 3,iv,-1,162,1.3357755287993731,1.4303866307508264,1.8431328889178646e-09,3.200227735454186e-15,1.1667990961439365,1.4594889764147845,152,1.2769552195288965,1.366794866333682,4.4439785959753265e-10,1.2909438170647257e-13,1.1816931834570232,1.3879044874216033
FOMC Rate Decision (Upper Bound),FOMC,Eq 3,iv,0,162,1.004496449422704,1.0756435201222438,0.43926440690889423,0.004939977531950851,0.9150224213987678,1.092571567317568,162,0.8868244413159837,0.9492166014851338,0.0003715929792934944,0.035041210916772134,0.8469971311415443,0.9309579157337237
FOMC Rate Decision (Upper Bound),FOMC,Eq 3,iv,1,168,1.1940539942903818,1.2786271592823233,1.89867669202687e-11,1.1957732752389615e-16,1.1170398541308328,1.3168549835196341,168,1.090523363344619,1.167246675405156,8.745191895368077e-05,1.717999618686114e-07,1.0281433101989936,1.1530071513736166
BOJ Target Rate,BOJ,Eq 2,rv,-1,203,0.6796693350051078,0.9664099347982609,1.230164782825213e-06,0.6277983135625125,0.6159892798159448,0.7462303098370472,203,0.6805354994921424,0.9456173034506355,1.535459531321301e-06,0.4514507630125174,0.5960665306912086,0.7843068586450419
BOJ Target Rate,BOJ,Eq 2,rv,0,206,1.0613962066321059,1.5091806942250032,0.0002660353273514246,1.7190916687164898e-15,0.953206305004064,1.291534841227118,206,1.1132116505719671,1.5468292248813817,0.0006943024308085509,3.122771660968028e-14,0.9184879130685344,1.251767112007968
BOJ Target Rate,BOJ,Eq 2,rv,1,203,0.5171279949663118,0.7352952474955973,6.749360881316781e-14,6.075974912013292e-08,0.4484466343913297,0.6047515250686423,203,0.5417197557674784,0.7527301295186798,1.0713103446693746e-13,2.5404950134082333e-08,0.4299670285682851,0.6146396205518657
BOJ Target Rate,BOJ,Eq 3,iv,-1,206,0.997303723958042,1.067941344029408,0.3702723913866942,0.39156423343407565,0.8807575962498844,1.0467122940687252,205,0.9674332270534458,1.0354965844026254,0.46848352853009734,0.39261412390398376,0.9021260784939692,1.0249275109046867
BOJ Target Rate,BOJ,Eq 3,iv,0,207,1.6168362203022364,1.7313544557241047,1.2507489809560957e-26,5.494534879393012e-50,1.4286004594998472,1.875342223492671,204,1.3819161053438194,1.4791402310760717,5.376657424521165e-23,6.155975821835016e-38,1.2624299624512618,1.5777020289077488
BOJ Target Rate,BOJ,Eq 3,iv,1,209,0.6629243856103335,0.7098783874473472,1.8442987775047236e-11,5.681296744728227e-09,0.5990953179305003,0.7563083680135166,209,0.6913413622193179,0.7399803926672586,6.177419699780927e-12,1.6251343774823904e-16,0.6413759781063992,0.7491231728503536
Change in Nonfarm Payrolls,NFP,Eq 2,rv,-1,250,0.7369607012161836,1.0478715259470406,2.2845515145513335e-06,0.5002551334060712,0.6706929258065166,0.8401122604167347,250,0.7082725619659225,0.9841584908562465,3.860751419908234e-08,0.4667925932972593,0.6309748907132805,0.7988074957657546
Change in Nonfarm Payrolls,NFP,Eq 2,rv,0,252,1.086225014806221,1.5444843421209093,6.473918739637907e-05,1.0268700238756539e-18,0.968154797019618,1.1827310079136006,252,1.1866783200264819,1.648912589988597,2.4902991765062196e-08,1.2082849030800439e-24,1.0552705696417037,1.321548449518894
Change in Nonfarm Payrolls,NFP,Eq 2,rv,1,234,0.440306495811847,0.6260641020468872,3.433562318254716e-26,3.1714899304735404e-22,0.3895929022457218,0.47045100003127505,234,0.5199560851518359,0.722489086198956,6.996784574255394e-18,1.092512771169369e-10,0.4814993805414245,0.5853853064494522
Change in Nonfarm Payrolls,NFP,Eq 3,iv,-1,247,1.0637618100086608,1.1391065628424342,0.01238918018707909,3.4815593784983972e-06,1.0062098858588138,1.1019199215537852,247,0.9358568091653208,1.0016986209293106,0.001897417636072926,0.5122742597961616,0.8767894649750488,0.9784814675741635
Change in Nonfarm Payrolls,NFP,Eq 3,iv,0,245,1.7888313527117392,1.9155317614529341,9.047304235045621e-38,1.0632380317322115e-74,1.6641114265763866,1.8687739318700831,245,1.5902850967629814,1.702168935152247,1.6595559308573433e-35,4.8142695972196905e-62,1.4957824774624529,1.6649029856817086
Change in Nonfarm Payrolls,NFP,Eq 3,iv,1,234,0.2794747252640344,0.299269526976397,1.0627834948221398e-39,2.925674053218463e-87,0.2636090089193843,0.2938980159956687,234,0.6502391920048733,0.6959864965735477,3.605481960115822e-23,1.452584271425425e-36,0.6170500653262709,0.6967003661974157
CPI MoM,US CPI MoM,Eq 2,rv,-1,251,0.7061629360803345,1.0040807225902224,6.606666087941502e-05,0.7178989183024277,0.635655887127543,0.8058908838029745,251,0.6919180492558785,0.9614335775788907,6.997292764587732e-06,0.8143791424192275,0.6316232525683521,0.7528081864617332
CPI MoM,US CPI MoM,Eq 2,rv,0,249,0.9409812807632107,1.3379648181154509,0.5526725670634327,6.853161657233593e-08,0.8358447493252348,1.0659383904543174,249,0.8696546458952916,1.2084020331026362,0.8704764713982638,3.253806193463432e-06,0.7932260544222054,1.0204519533672862
CPI MoM,US CPI MoM,Eq 2,rv,1,259,0.6655933949490401,0.9463956019290188,3.9448933783920734e-08,0.6487876069547238,0.6033278194503301,0.736210691813562,259,0.6863650517987727,0.953717579684034,9.666401179326279e-07,0.994662668729577,0.642464617765082,0.7794719198661249
CPI MoM,US CPI MoM,Eq 3,iv,-1,241,1.0159581852200414,1.087917074545303,0.8734934296727113,0.037764781206430904,0.9164274432752411,1.0492132313611742,236,0.9300775997471056,0.9955128176658273,0.6157067312749704,0.41646322139895264,0.8919960867556804,0.9762155675394512
CPI MoM,US CPI MoM,Eq 3,iv,0,245,1.2608068946201323,1.3501080736552191,3.273079452263729e-20,1.4268889228416801e-29,1.1994168124572469,1.3135061437878317,241,1.1450433619636875,1.2256024055712882,8.385156145937955e-12,2.6142721404109036e-17,1.1017264556972175,1.2022885566116253
CPI MoM,US CPI MoM,Eq 3,iv,1,248,0.8213825626290553,0.8795599342746436,6.846910773934418e-08,0.014069241544270276,0.7311386496380934,0.8914091254910442,248,0.8334373673534619,0.892073502412739,4.271237600367944e-07,6.739895604528241e-06,0.7790316342295893,0.8656469359781894
CPI YoY,US CPI YoY,Eq 2,rv,-1,252,0.7028448242286824,0.9993627574076613,5.430598101559928e-05,0.7435720614956989,0.6353490430864522,0.799565973791609,252,0.6895102832465131,0.9580879399114725,5.612406363052983e-06,0.7766401887072059,0.6290151948303159,0.7580542221074762
CPI YoY,US CPI YoY,Eq 2,rv,0,250,0.9408587086624326,1.3377905349900834,0.5943508832968092,9.584252533970245e-08,0.8257703902982119,1.0650665370809607,250,0.8652227688075038,1.2022438537510727,0.9230855495960602,4.645439322436601e-06,0.8015821158649068,1.0125208609464118
CPI YoY,US CPI YoY,Eq 2,rv,1,260,0.6673354717100134,0.948872630393122,4.4602320213787735e-08,0.6958235530597262,0.6044757203175417,0.7242980246836257,260,0.6896716763564426,0.9583121987745602,1.222185346751615e-06,0.939226667755451,0.6430451906858503,0.7795303304992139
CPI YoY,US CPI YoY,Eq 3,iv,-1,242,1.0140289302189474,1.085851173125957,0.9258172550816974,0.04337174314909764,0.9161315543166081,1.0665716769957476,237,0.9299414914746871,0.9953671335532116,0.5633952966729987,0.47821087949633423,0.890818709241812,0.9762155675394512
CPI YoY,US CPI YoY,Eq 3,iv,0,246,1.2613399760840012,1.3506789125294005,2.0416175055057693e-20,8.031372363099336e-30,1.204629935195972,1.314107775973251,242,1.1451960282498415,1.225765812629724,5.853951458143783e-12,1.6998941410011293e-17,1.1017264556972175,1.1992054069176457
CPI YoY,US CPI YoY,Eq 3,iv,1,249,0.8226970351635977,0.8809675090500168,1.4939405160951405e-07,0.018841974795043286,0.7349718491693499,0.8897951018413363,249,0.8366248379026305,0.895485226110302,8.803764848238744e-07,1.1023721114624823e-05,0.7846334607270917,0.8674855844825995
Natl CPI YoY,JP Natl CPI YoY,Eq 2,rv,-1,251,0.7017181038877057,0.9977606934698334,1.8852785112448115e-07,0.46622493856071523,0.6501880119076335,0.8141612210797531,251,0.6825333746473299,0.9483933898095238,2.840182917036685e-10,0.3500051609400989,0.61532179229252,0.7588454491714732
Natl CPI YoY,JP Natl CPI YoY,Eq 2,rv,0,244,0.7565360322611616,1.0757053466367579,0.0020338116543050745,0.09131496900244142,0.6475574993218279,0.8837868804134207,244,0.8463473882126145,1.1760161455520681,0.05282817866326448,0.0012748334001953228,0.7417957206990593,0.9307662065620065
Natl CPI YoY,JP Natl CPI YoY,Eq 2,rv,1,243,0.5967245185336773,0.848472151600485,8.026665616181104e-16,1.860211355606409e-05,0.5089490861142792,0.6764539685976353,243,0.6743272094300189,0.9369907637448219,3.962054192439358e-07,0.13468185110484807,0.5998626232899009,0.7544498024279891
Natl CPI YoY,JP Natl CPI YoY,Eq 3,iv,-1,247,1.026047130806489,1.0987206059576489,0.10331622347768116,0.00012024915191887268,0.9850098990922138,1.0620700678858381,246,0.9135385473612383,0.9778101672131615,0.0007100382183047993,0.3582047684237014,0.8876952077537944,0.9410159940759313
Natl CPI YoY,JP Natl CPI YoY,Eq 3,iv,0,242,1.118811503837117,1.1980553490579786,8.254426032234489e-07,1.518752847367586e-11,1.0623512075014911,1.1775560921920323,241,1.0219344576697338,1.0938322261510436,0.29843590632844297,0.0044384226393174575,0.9686473123962772,1.0662757917799097
Natl CPI YoY,JP Natl CPI YoY,Eq 3,iv,1,236,0.3864869718786334,0.4138613005071749,4.6671788847656064e-38,2.944166566279232e-59,0.36512558907189785,0.4089400774924757,236,0.9327725855344573,0.9983974080435177,0.042875452064508664,0.5206228357780583,0.8816135586876268,0.9857833249954329
Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,Eq 2,rv,-1,250,0.7288819738628582,1.03638452488244,1.6894566395897519e-07,0.40853717844107396,0.6661376023228848,0.7831269561684947,250,0.6797531889514812,0.944530267749378,1.8157858742445073e-09,0.5917213336159052,0.6381709575545662,0.7747249065970593
Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,Eq 2,rv,0,243,0.7758516187252176,1.103169841051793,0.005364753289460686,0.011324065685751178,0.6666391246051723,0.8885764326447637,243,0.8584612071476863,1.1928485324068614,0.0963310814944874,5.558678842178839e-05,0.7675016981084112,0.9240639483739082
Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,Eq 2,rv,1,241,0.600311680893071,0.8535726749922404,8.809832599110069e-14,0.0012101275425693261,0.5298809987928428,0.6697345664004878,241,0.6954296448586307,0.9663130079203816,2.1368275500399166e-05,0.6392377613594052,0.6161957158048035,0.7814872113026391
Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,Eq 3,iv,-1,245,1.0295001065164056,1.102418151080527,0.1250026664922521,0.00025441172611223475,0.984739277370454,1.0676098108465641,244,0.9186844977117322,0.9833181587338492,0.00039045621612102436,0.4910135441974326,0.8874796174958817,0.9470998779926537
Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI exFF YoY,Eq 3,iv,0,242,1.1302107774935153,1.2102620172345082,1.268483508105739e-07,2.3927099297701375e-12,1.074889083873439,1.1902336207507442,241,1.0219344576697338,1.0938322261510436,0.08917610074310951,0.0004834768420264404,0.9920966946054312,1.0682440388182666
