target,hypothesis,variant,n,omega_pdf
rv,BOJ,lag_mask,122,1.1330671336504639
rv,FOMC,lag_mask,102,1.4212294203955056
rv,JP national CPI,lag_mask,152,0.8456572502607848
rv,NFP,lag_mask,150,0.9381572325384314
rv,Tokyo CPI,lag_mask,149,0.867244927365845
rv,US CPI,lag_mask,156,1.1018093792371282
rv,BOJ,recursive,123,1.1443350746203544
rv,FOMC,recursive,102,1.2898709765495027
rv,JP national CPI,recursive,152,0.8718566546290661
rv,NFP,recursive,151,0.9622438410952402
rv,Tokyo CPI,recursive,149,0.86888626092559
rv,US CPI,recursive,156,1.0787041573231932
iv,BOJ,lag_mask,127,0.6709810005480569
iv,FOMC,lag_mask,109,1.0856108401368596
iv,JP national CPI,lag_mask,162,0.9014331591079024
iv,NFP,lag_mask,161,0.7144308519849207
iv,Tokyo CPI,lag_mask,162,0.8992504920019462
iv,US CPI,lag_mask,161,0.7892416692444345
iv,BOJ,recursive,127,0.7064103940976064
iv,FOMC,recursive,109,1.0434919564450582
iv,JP national CPI,recursive,162,0.8992504920019462
iv,NFP,recursive,161,0.716068623595896
iv,Tokyo CPI,recursive,162,0.9004862784673868
iv,US CPI,recursive,161,0.7892416692444345
