model_day,event_day,lag_contaminated,rv_mask,iv_mask,rv_recursive,iv_recursive
2003-05-05,False,False,,,,
2003-05-06,True,True,,,,
2003-05-07,False,True,,,,
2003-05-08,False,True,,,,
2003-05-09,False,True,,,,
2003-05-12,False,True,,,,
2003-05-13,False,True,,,,
2003-05-14,False,False,,,,
2003-05-15,False,False,,,,
2003-05-16,True,True,,,,
2003-05-19,False,True,,,,
2003-05-20,False,True,,,,
2003-05-21,False,True,,,,
2003-05-22,False,True,,,,
2003-05-23,False,True,,,,
2003-05-26,False,False,,,,
2003-05-27,False,False,,,,
2003-05-28,False,False,,,,
2003-05-29,False,False,,,,
2003-05-30,True,True,,,,
2003-06-02,False,True,,,,
2003-06-03,False,True,,,,
2003-06-04,False,True,,,,
2003-06-05,False,True,,,,
2003-06-06,True,True,,,,
2003-06-09,False,True,,,,
2003-06-10,False,True,,,,
2003-06-11,False,True,,,,
2003-06-12,False,True,,,,
2003-06-13,False,True,,,,
2003-06-16,False,False,,,,
2003-06-17,True,True,,,,
2003-06-18,False,True,,,,
2003-06-19,False,True,,,,
2003-06-20,False,True,,,,
2003-06-23,False,True,,,,
2003-06-24,False,True,,,,
2003-06-25,True,True,,,,
2003-06-26,False,True,,,,
2003-06-27,True,True,,,,
2003-06-30,False,True,,,,
2003-07-01,False,True,,,,
2003-07-02,False,True,,,,
2003-07-03,True,True,,,,
2003-07-04,False,True,,,,
2003-07-07,False,True,,,,
2003-07-08,False,True,,,,
2003-07-09,False,True,,,,
2003-07-10,False,True,,,,
2003-07-11,False,False,,,,
2003-07-14,False,False,,,,
2003-07-15,False,False,,,,
2003-07-16,True,True,,,,
2003-07-17,False,True,,,,
2003-07-18,False,True,,,,
2003-07-21,False,True,,,,
2003-07-22,False,True,,,,
2003-07-23,False,True,,,,
2003-07-24,False,False,,,,
2003-07-25,True,True,,,,
2003-07-28,False,True,,,,
2003-07-29,False,True,,,,
2003-07-30,False,True,,,,
2003-07-31,False,True,,,,
2003-08-01,True,True,,,,
2003-08-04,False,True,,,,
2003-08-05,False,True,,,,
2003-08-06,False,True,,,,
2003-08-07,False,True,,,,
2003-08-08,False,True,,,,
2003-08-11,False,False,,,,
2003-08-12,True,True,,,,
2003-08-13,False,True,,,,
2003-08-14,False,True,,,,
2003-08-15,True,True,,,,
2003-08-18,False,True,,,,
2003-08-19,False,True,,,,
2003-08-20,False,True,,,,
2003-08-21,False,True,,,,
2003-08-22,False,True,,,,
2003-08-25,False,False,,,,
2003-08-26,False,False,,,,
2003-08-27,False,False,,,,
2003-08-28,False,False,,,,
2003-08-29,True,True,,,,
2003-09-01,False,True,,,,
2003-09-02,False,True,,,,
2003-09-03,False,True,,,,
2003-09-04,False,True,,,,
2003-09-05,True,True,,,,
2003-09-08,False,True,,,,
2003-09-09,False,True,,,,
2003-09-10,False,True,,,,
2003-09-11,False,True,,,,
2003-09-12,False,True,,,,
2003-09-15,False,False,,,,
2003-09-16,True,True,,,,
2003-09-17,False,True,,,,
2003-09-18,False,True,,,,
2003-09-19,False,True,,,,
2003-09-22,False,True,,,,
2003-09-23,False,True,,,,
2003-09-24,False,False,,,,
2003-09-25,False,False,,,,
2003-09-26,True,True,,,,
2003-09-29,False,True,,,,
2003-09-30,False,True,,,,
2003-10-01,False,True,,,,
2003-10-02,False,True,,,,
2003-10-03,True,True,,,,
2003-10-06,False,True,,,,
2003-10-07,False,True,,,,
2003-10-08,False,True,,,,
2003-10-09,False,True,,,,
2003-10-10,False,True,,,,
2003-10-13,False,False,,,,
2003-10-14,False,False,,,,
2003-10-15,False,False,,,,
2003-10-16,True,True,,,,
2003-10-17,False,True,,,,
2003-10-20,False,True,,,,
2003-10-21,False,True,,,,
2003-10-22,False,True,,,,
2003-10-23,False,True,,,,
2003-10-24,False,False,,,,
2003-10-27,False,False,,,,
2003-10-28,True,True,,,,
2003-10-29,False,True,,,,
2003-10-30,False,True,,,,
2003-10-31,True,True,,,,
2003-11-03,False,True,,,,
2003-11-04,False,True,,,,
2003-11-05,False,True,,,,
2003-11-06,False,True,,,,
2003-11-07,True,True,,,,
2003-11-10,False,True,,,,
2003-11-11,False,True,,,,
2003-11-12,False,True,,,,
2003-11-13,False,True,,,,
2003-11-14,False,True,,,,
2003-11-17,False,False,,,,
2003-11-18,True,True,,,,
2003-11-19,False,True,,,,
2003-11-20,False,True,,,,
2003-11-21,False,True,,,,
2003-11-24,False,True,,,,
2003-11-25,False,True,,,,
2003-11-26,False,False,,,,
2003-11-27,False,False,,,,
2003-11-28,True,True,,,,
2003-12-01,False,True,,,,
2003-12-02,False,True,,,,
2003-12-03,False,True,,,,
2003-12-04,False,True,,,,
2003-12-05,True,True,,,,
2003-12-08,False,True,,,,
2003-12-09,True,True,,,,
2003-12-10,False,True,,,,
2003-12-11,False,True,,,,
2003-12-12,False,True,,,,
2003-12-15,False,True,,,,
2003-12-16,True,True,,,,
2003-12-17,False,True,,,,
2003-12-18,False,True,,,,
2003-12-19,False,True,,,,
2003-12-22,False,True,,,,
2003-12-23,False,True,,,,
2003-12-24,False,False,,,,
2003-12-25,False,False,,,,
2003-12-26,True,True,,,,
2003-12-29,False,True,,,,
2003-12-30,False,True,,,,
2003-12-31,False,True,,,,
2004-01-01,False,True,,,,
2004-01-02,False,True,,,,
2004-01-05,False,False,,,,
2004-01-06,False,False,,,,
2004-01-07,False,False,,,,
2004-01-08,False,False,,,,
2004-01-09,True,True,,,,
2004-01-12,False,True,,,,
2004-01-13,False,True,,,,
2004-01-14,False,True,,,,
2004-01-15,True,True,,,,
2004-01-16,False,True,,,,
2004-01-19,False,True,,,,
2004-01-20,False,True,,,,
2004-01-21,False,True,,,,
2004-01-22,False,True,,,,
2004-01-23,False,False,,,,
2004-01-26,False,False,,,,
2004-01-27,False,False,,,,
2004-01-28,True,True,,,,
2004-01-29,False,True,,,,
2004-01-30,True,True,,,,
2004-02-02,False,True,,,,
2004-02-03,False,True,,,,
2004-02-04,False,True,,,,
2004-02-05,False,True,,,,
2004-02-06,True,True,,,,
2004-02-09,False,True,,,,
2004-02-10,False,True,,,,
2004-02-11,False,True,,,,
2004-02-12,False,True,,,,
2004-02-13,False,True,,,,
2004-02-16,False,False,,,,
2004-02-17,False,False,,,,
2004-02-18,False,False,,,,
2004-02-19,False,False,,,,
2004-02-20,True,True,,,,
2004-02-23,False,True,,,,
2004-02-24,False,True,,,,
2004-02-25,False,True,,,,
2004-02-26,False,True,,,,
2004-02-27,True,True,,,,
2004-03-01,False,True,,,,
2004-03-02,False,True,,,,
2004-03-03,False,True,,,,
2004-03-04,False,True,,,,
2004-03-05,True,True,,,,
2004-03-08,False,True,,,,
2004-03-09,False,True,,,,
2004-03-10,False,True,,,,
2004-03-11,False,True,,,,
2004-03-12,False,True,,,,
