"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","4.1876","4.1640","4.2023","4.1455","","0.64%"
"02/27/2025","4.1611","4.1388","4.1695","4.1263","","0.60%"
"02/26/2025","4.1363","4.1419","4.1500","4.1309","","-0.03%"
"02/25/2025","4.1377","4.1434","4.1507","4.1302","","-0.08%"
"02/24/2025","4.1411","4.1602","4.1761","4.1353","","-0.30%"
"02/21/2025","4.1534","4.1610","4.1741","4.1536","","-0.12%"
"02/20/2025","4.1584","4.1756","4.1830","4.1548","","-0.35%"
"02/19/2025","4.1731","4.1488","4.1853","4.1461","","0.65%"
"02/18/2025","4.1462","4.1587","4.1696","4.1463","","-0.21%"
"02/17/2025","4.1550","4.1673","4.1746","4.1552","","-0.10%"
"02/14/2025","4.1593","4.1692","4.1757","4.1568","","-0.19%"
"02/13/2025","4.1673","4.1630","4.1863","4.1556","","0.18%"
"02/12/2025","4.1599","4.1725","4.1811","4.1558","","-0.25%"
"02/11/2025","4.1704","4.1832","4.1922","4.1691","","-0.25%"
"02/10/2025","4.1809","4.1948","4.1991","4.1718","","-0.15%"
"02/07/2025","4.1873","4.1893","4.2102","4.1754","","0.04%"
"02/06/2025","4.1855","4.2006","4.2125","4.1869","","-0.26%"
"02/05/2025","4.1964","4.2109","4.2174","4.1922","","-0.28%"
"02/04/2025","4.2081","4.2274","4.2429","4.2065","","-0.41%"
"02/03/2025","4.2255","4.2139","4.2402","4.1648","","0.47%"
"01/31/2025","4.2059","4.2026","4.2285","4.1983","","0.12%"
"01/30/2025","4.2008","4.2031","4.2119","4.1970","","0.01%"
"01/29/2025","4.2004","4.2015","4.2202","4.1968","","0.04%"
"01/28/2025","4.1988","4.2131","4.2206","4.1989","","-0.30%"
"01/27/2025","4.2116","4.2138","4.2273","4.2066","","0.02%"
"01/24/2025","4.2107","4.2150","4.2242","4.2076","","-0.05%"
"01/23/2025","4.2126","4.2232","4.2326","4.2084","","-0.20%"
"01/22/2025","4.2210","4.2501","4.2577","4.2199","","-0.56%"
"01/21/2025","4.2448","4.2523","4.2631","4.2460","","-0.08%"
"01/20/2025","4.2484","4.2620","4.2687","4.2438","","-0.22%"
"01/17/2025","4.2579","4.2631","4.2729","4.2535","","-0.03%"
"01/16/2025","4.2591","4.2574","4.2767","4.2522","","0.08%"
"01/15/2025","4.2559","4.2637","4.2765","4.2522","","-0.10%"
"01/14/2025","4.2601","4.2707","4.2803","4.2612","","-0.15%"
"01/13/2025","4.2666","4.2658","4.2793","4.2609","","0.15%"
"01/10/2025","4.2603","4.2614","4.2860","4.2567","","0.01%"
"01/09/2025","4.2599","4.2746","4.2875","4.2586","","-0.30%"
"01/08/2025","4.2728","4.2622","4.2817","4.2568","","0.30%"
"01/07/2025","4.2599","4.2540","4.2704","4.2459","","0.18%"
"01/06/2025","4.2521","4.2709","4.2775","4.2367","","-0.31%"
