"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2012","4.0778","4.0878","4.1038","4.0697","","-0.31%"
"08/24/2012","4.0906","4.0962","4.1251","4.0772","","-0.11%"
"08/23/2012","4.0952","4.0746","4.1117","4.0592","","0.46%"
"08/22/2012","4.0765","4.0816","4.0992","4.0617","","0.18%"
"08/21/2012","4.0690","4.0665","4.0919","4.0543","","0.16%"
"08/20/2012","4.0623","4.0733","4.0878","4.0556","","-0.05%"
"08/17/2012","4.0645","4.0554","4.0940","4.0463","","0.32%"
"08/16/2012","4.0517","4.0803","4.0990","4.0444","","-0.51%"
"08/15/2012","4.0725","4.0760","4.1001","4.0674","","-0.16%"
"08/14/2012","4.0789","4.0855","4.1052","4.0710","","-0.10%"
"08/13/2012","4.0830","4.0781","4.1135","4.0675","","0.37%"
"08/10/2012","4.0678","4.0567","4.1062","4.0482","","0.48%"
"08/09/2012","4.0485","4.0690","4.0863","4.0476","","-0.21%"
"08/08/2012","4.0570","4.0749","4.1108","4.0531","","-0.35%"
"08/07/2012","4.0714","4.0397","4.0895","4.0298","","0.93%"
"08/06/2012","4.0340","4.0671","4.0795","4.0215","","-0.78%"
"08/03/2012","4.0656","4.1145","4.1255","4.0508","","-1.22%"
"08/02/2012","4.1157","4.1066","4.1392","4.0938","","0.28%"
"08/01/2012","4.1042","4.1152","4.1281","4.0892","","-0.18%"
"07/31/2012","4.1115","4.1173","4.1320","4.0963","","-0.08%"
"07/30/2012","4.1146","4.1272","4.1501","4.1085","","-0.30%"
"07/27/2012","4.1268","4.1354","4.1602","4.1111","","-0.17%"
"07/26/2012","4.1339","4.1800","4.2000","4.1198","","-1.02%"
"07/25/2012","4.1763","4.2190","4.2357","4.1737","","-0.95%"
"07/24/2012","4.2162","4.2086","4.2338","4.1880","","0.39%"
"07/23/2012","4.1997","4.1628","4.2262","4.1543","","0.91%"
"07/20/2012","4.1618","4.1492","4.1827","4.1426","","0.39%"
"07/19/2012","4.1458","4.1658","4.1814","4.1433","","-0.28%"
"07/18/2012","4.1574","4.1640","4.1944","4.1572","","-0.12%"
"07/17/2012","4.1626","4.1896","4.2033","4.1568","","-0.58%"
"07/16/2012","4.1867","4.1986","4.2114","4.1726","","0.30%"
"07/13/2012","4.1742","4.2047","4.2273","4.1791","","-0.72%"
"07/12/2012","4.2043","4.1832","4.2266","4.1645","","0.60%"
"07/11/2012","4.1793","4.1848","4.2023","4.1617","","-0.13%"
"07/10/2012","4.1848","4.2215","4.2353","4.1747","","-0.74%"
"07/09/2012","4.2159","4.2504","4.2655","4.2104","","-0.54%"
"07/06/2012","4.2390","4.2118","4.2709","4.2036","","0.77%"
"07/05/2012","4.2067","4.2159","4.2386","4.1950","","-0.13%"
"07/04/2012","4.2123","4.1947","4.2320","4.1818","","0.45%"
"07/03/2012","4.1934","4.2167","4.2315","4.1854","","-0.46%"
"07/02/2012","4.2129","4.2251","4.2445","4.2054","","-0.51%"
"06/29/2012","4.2345","4.2899","4.3038","4.2060","","-1.25%"
"06/28/2012","4.2882","4.2576","4.3093","4.2443","","0.80%"
"06/27/2012","4.2540","4.2515","4.2688","4.2391","","0.06%"
"06/26/2012","4.2516","4.2635","4.2791","4.2370","","-0.09%"
"06/25/2012","4.2553","4.2640","4.2910","4.2479","","-0.13%"
"06/22/2012","4.2609","4.2919","4.3144","4.2387","","-0.50%"
"06/21/2012","4.2825","4.2451","4.3108","4.2233","","1.32%"
"06/20/2012","4.2267","4.2487","4.2677","4.2224","","-0.32%"
"06/19/2012","4.2404","4.2773","4.2954","4.2291","","-0.79%"
"06/18/2012","4.2741","4.2418","4.3002","4.2254","","0.72%"
"06/15/2012","4.2437","4.2842","4.3152","4.2378","","-0.91%"
"06/14/2012","4.2828","4.3047","4.3366","4.2817","","-0.48%"
"06/13/2012","4.3036","4.3227","4.3459","4.2938","","-0.32%"
"06/12/2012","4.3175","4.3495","4.3645","4.3084","","-0.61%"
"06/11/2012","4.3440","4.2769","4.3662","4.2525","","1.17%"
"06/08/2012","4.2937","4.2653","4.3249","4.2597","","0.70%"
