Date (dd/mm/yyyy),Time (JST),Time (UTC),Country Code,Event,Actual,Previous,Consensus
16/06/2026,08:30,23:30,JP,BoJ Interest Rate Decision,1%,0.75%,1.0%
28/04/2026,08:30,23:30,JP,BoJ Interest Rate Decision,0.75%,0.75%,0.75%
19/03/2026,08:30,23:30,JP,BoJ Interest Rate Decision,0.75%,0.75%,0.75%
23/01/2026,08:30,23:30,JP,BoJ Interest Rate Decision,0.75%,0.75%,0.75%
19/12/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.75%,0.50%,0.75%
19/12/2025,09:00,00:00,JP,BoJ Interest Rate Decision,0.75%,0.50%,0.75%
30/10/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
19/09/2025,09:20,00:20,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
19/09/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
31/07/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
17/06/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
01/05/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
19/03/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.50%,0.50%
24/01/2025,09:00,00:00,JP,BoJ Interest Rate Decision,0.50%,0.25%,0.50%
24/01/2025,08:30,23:30,JP,BoJ Interest Rate Decision,0.50%,0.25%,0.50%
19/12/2024,08:30,23:30,JP,BoJ Interest Rate Decision,0.25%,0.25%,0.25%
31/10/2024,08:30,23:30,JP,BoJ Interest Rate Decision,0.25%,0.25%,0.25%
20/09/2024,09:30,00:30,JP,BoJ Interest Rate Decision,0.25%,0.25%,0.25%
20/09/2024,08:30,23:30,JP,BoJ Interest Rate Decision,0.25%,0.25%,0.25%
31/07/2024,09:30,00:30,JP,BoJ Interest Rate Decision,0.25%,0.10%,0.10%
14/06/2024,08:55,23:55,JP,BoJ Interest Rate Decision,0.10%,0.10%,0.10%
14/06/2024,08:30,23:30,JP,BoJ Interest Rate Decision,-,0.10%,0.10%
26/04/2024,08:30,23:30,JP,BoJ Interest Rate Decision,0.10%,0.10%,0.10%
19/03/2024,08:30,23:30,JP,BoJ Interest Rate Decision,0.10%,-0.10%,0.10%
23/01/2024,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
19/12/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
31/10/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
22/09/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
28/07/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
16/06/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
28/04/2023,09:30,00:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
28/04/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-,-0.10%,-0.10%
10/03/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
18/01/2023,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
20/12/2022,08:30,23:30,JP,BoJ Interest Rate Decision,-0.10%,-0.10%,-0.10%
