Date Time,Country Code,Event,Actual,Prior
2021-01-21 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-03-19 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-04-27 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-06-18 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-07-16 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-09-22 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-10-28 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2021-12-17 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-01-18 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-03-18 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-04-28 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-06-17 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-07-21 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-09-22 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-10-28 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2022-12-20 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-01-18 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-03-10 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-04-28 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-06-16 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-07-28 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-09-22 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-10-31 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2023-12-19 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2024-01-23 12:00,JP,BoJ Interest Rate Decision,-0.10%,-0.10%
2024-03-19 12:00,JP,BoJ Interest Rate Decision,0.10%,-0.10%
2024-04-26 12:00,JP,BoJ Interest Rate Decision,0.10%,0.10%
2024-06-14 12:00,JP,BoJ Interest Rate Decision,0.10%,0.10%
2024-07-31 12:00,JP,BoJ Interest Rate Decision,0.25%,0.10%
2024-09-20 12:00,JP,BoJ Interest Rate Decision,0.25%,0.25%
2024-10-31 12:00,JP,BoJ Interest Rate Decision,0.25%,0.25%
2024-12-19 12:00,JP,BoJ Interest Rate Decision,0.25%,0.25%
2025-01-24 12:00,JP,BoJ Interest Rate Decision,0.50%,0.25%
2025-03-19 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-05-01 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-06-17 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-07-31 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-09-19 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-10-30 12:00,JP,BoJ Interest Rate Decision,0.50%,0.50%
2025-12-19 12:00,JP,BoJ Interest Rate Decision,0.75%,0.50%
2026-01-23 12:00,JP,BoJ Interest Rate Decision,0.75%,0.75%
2026-03-19 12:00,JP,BoJ Interest Rate Decision,0.75%,0.75%
2026-04-28 12:00,JP,BoJ Interest Rate Decision,0.75%,0.75%
2026-06-16 12:00,JP,BoJ Interest Rate Decision,1.00%,0.75%
