family,target,sample_split,raw_support,admissible_support,floor_activated,raw_median,admissible_median,support_recovered,median_change
BoJ,I,test,35,36,4,3.8061789090912237,3.8510536211331168,1,0.04487471204189308
BoJ,I,train,112,113,36,1.2470300512043775,1.2541464231295119,1,0.007116371925134368
BoJ,I,validation,38,38,11,2.1636353976373703,1.942006040355778,0,-0.2216293572815924
BoJ,R,test,37,37,0,0.9469639975606499,0.9469639975606499,0,0.0
BoJ,R,train,131,131,15,0.8537245717955394,0.8537245717955394,0,0.0
BoJ,R,validation,38,38,0,0.6187410163031684,0.6187410163031684,0,0.0
FOMC,I,test,34,34,4,1.1299770908976465,1.1299770908976465,0,0.0
FOMC,I,train,78,78,37,1.2988984981559306,1.2988984981559306,0,0.0
FOMC,I,validation,34,36,16,2.084731355762517,1.9448409033909875,2,-0.13989045237152942
FOMC,R,test,36,36,1,1.1787037460400616,1.1787037460400616,0,0.0
FOMC,R,train,96,96,18,0.9759535888766027,0.9759535888766027,0,0.0
FOMC,R,validation,38,38,0,0.6206608769893567,0.6206608769893567,0,0.0
JPY GDP,I,test,31,32,8,0.9219204307862412,0.9429795991465588,1,0.021059168360317626
JPY GDP,I,train,61,62,38,0.9431797319008803,0.9481101108676899,1,0.00493037896680959
JPY GDP,I,validation,33,33,9,1.3136137549669589,1.3136137549669589,0,0.0
JPY GDP,R,test,38,38,0,0.7388691060764789,0.7388691060764789,0,0.0
JPY GDP,R,train,84,84,15,0.783297412491335,0.783297412491335,0,0.0
JPY GDP,R,validation,37,37,0,0.5665396340229071,0.5665396340229071,0,0.0
JPY National CPI,I,test,51,52,5,0.8037208230628486,0.8107133292858878,1,0.006992506223039152
JPY National CPI,I,train,111,112,56,1.1081905001364807,1.1144117870436507,1,0.006221286907170054
JPY National CPI,I,validation,51,55,18,1.4883316902877526,1.3077265589618243,4,-0.18060513132592826
JPY National CPI,R,test,55,55,1,0.8741712343585759,0.8741712343585759,0,0.0
JPY National CPI,R,train,138,138,27,0.8626314942027488,0.8626314942027488,0,0.0
JPY National CPI,R,validation,55,55,1,0.5330926023409386,0.5330926023409386,0,0.0
US CPI,I,test,47,48,7,0.7215304444731913,0.7331854064734153,1,0.01165496200022409
US CPI,I,train,95,99,73,1.008125008641483,1.040406967992532,4,0.03228195935104905
US CPI,I,validation,46,47,22,1.1569144719657918,1.1612955567401682,1,0.004381084774376376
US CPI,R,test,54,54,0,0.9628437667943595,0.9628437667943595,0,0.0
US CPI,R,train,149,149,18,0.9009826509569205,0.9009826509569205,0,0.0
US CPI,R,validation,56,56,0,0.548250156325955,0.548250156325955,0,0.0
US Employment,I,test,44,48,10,1.8607479880001978,2.0178918017778824,4,0.1571438137776846
US Employment,I,train,91,99,77,1.6756465430649023,1.7360243594188491,8,0.06037781635394679
US Employment,I,validation,50,51,21,2.4115856106174647,1.959629962629271,1,-0.45195564798819365
US Employment,R,test,54,54,0,1.0587888150101517,1.0587888150101517,0,0.0
US Employment,R,train,137,137,29,0.9443604064203601,0.9443604064203601,0,0.0
US Employment,R,validation,55,55,1,0.6647536203428471,0.6647536203428471,0,0.0
