N,MAE,RMSE,mean_error,positive_fraction,positive_only_QLIKE,QLIKE_valid_N,sample_split,target,day_status,forecast_stage
1181,0.0031569555940518415,0.006500427773463491,-0.0013260876521168257,1.0,0.3112935807338127,1181,validation,R,ALL,validation_oos_background
919,0.0029923241535429143,0.005880630558304056,-0.0015266646434091116,1.0,0.30818372799299626,919,validation,R,ORDINARY,validation_oos_background
262,0.00373442236438659,0.008316985548225546,-0.0006225370605228922,1.0,0.3222018046605694,262,validation,R,TARGETED_EVENT_DAY,validation_oos_background
1087,0.0026356716169319374,0.005646937847461297,0.0013450940517617128,0.952161913523459,1.6346848227383126,1035,validation,I,ALL,validation_oos_background
843,0.0024823962059706524,0.005695794462145518,0.0009708905380849041,0.9525504151838672,1.7798719355951258,803,validation,I,ORDINARY,validation_oos_background
244,0.0031652255982449018,0.005474788010282617,0.0026379365190959334,0.9508196721311475,1.1321621864278786,232,validation,I,TARGETED_EVENT_DAY,validation_oos_background
1182,0.005486772791735591,0.015127757161886461,0.0014674595377176846,1.0,0.3313052389398167,1182,test,R,ALL,test_oos_background
922,0.004263451637270254,0.009233935131907605,0.00030009472777730467,1.0,0.2693342782539163,922,test,R,ORDINARY,test_oos_background
260,0.009824857808724214,0.02716648932208651,0.005607114748352416,1.0,0.5510637995259714,260,test,R,TARGETED_EVENT_DAY,test_oos_background
1071,0.007073779989304081,0.014963852864834775,0.001346795898235761,0.9505135387488328,0.44632619149602876,1018,test,I,ALL,test_oos_background
836,0.005649491820102223,0.010504922461387024,-0.0006325434362372521,0.9509569377990431,0.3073348475601682,795,test,I,ORDINARY,test_oos_background
235,0.012140609391230696,0.025058192098555022,0.008388190296616353,0.948936170212766,0.9418334490252177,223,test,I,TARGETED_EVENT_DAY,test_oos_background
