family,target,sample,n_occurrences,n_equation_eligible,n_canonical_weights_defined,median_event_weight,mean_event_weight,std_event_weight,variance_event_weight,q05_event_weight,q25_event_weight,q75_event_weight,iqr_event_weight,q95_event_weight,minimum_event_weight,maximum_event_weight,fraction_omega_gt_1,fraction_omega_lt_1,n_floor_activated,floor_activation_fraction
BoJ,I,PRIMARY_CLEAN_TEST,24,24,24,4.365181509825091,7.687264004166479,8.756169349999569,76.67050168587186,1.1860477480711207,2.6089066569816852,7.637475690760512,5.028569033778827,26.046047093230865,0.5240436973065417,33.03238137951848,0.9583333333333334,0.041666666666666664,3,0.125
BoJ,R,PRIMARY_CLEAN_TEST,27,27,27,0.8409949149068398,1.609327881597736,2.6959257978629236,7.268015907582842,0.42002718560976354,0.6235368432346287,1.2107194088274418,0.5871825655928131,7.573560076725599,0.08547841809075762,11.621736667855018,0.4074074074074074,0.5925925925925926,0,0.0
FOMC,I,PRIMARY_CLEAN_TEST,32,30,30,1.0335271761305853,1.24686244448059,0.68718445301569,0.4722224724664731,0.546230759726705,0.8578730029105824,1.5411364154721796,0.6832634125615972,2.6586492345222035,0.17196955028022481,3.3404435470259948,0.5,0.5,1,0.03333333333333333
FOMC,R,PRIMARY_CLEAN_TEST,34,33,33,1.096284123877112,1.7593544513999357,2.134790487261559,4.557330424502443,0.3245206869822289,0.5391779091265607,1.9913297107921062,1.4521518016655455,5.158783891795996,0.2583978663057983,11.064625568423844,0.5151515151515151,0.48484848484848486,0,0.0
JPY GDP,I,PRIMARY_CLEAN_TEST,35,30,30,0.9990157909210933,1.32817191584365,1.0908188476324752,1.1898857583502411,0.6018923099717501,0.7436671331222523,1.2412282573349445,0.49756112421269216,3.656831284100541,0.4733086708592971,5.366692869182258,0.5,0.5,3,0.1
JPY GDP,R,PRIMARY_CLEAN_TEST,36,36,36,0.7388691060764789,0.8437015377934253,0.5966100175580464,0.3559435130506125,0.19123734745899332,0.46044981702667864,1.0590430384257359,0.5985932213990572,1.9529649563179947,0.18882614437472028,3.149158072755945,0.2777777777777778,0.7222222222222222,0,0.0
JPY National CPI,I,PRIMARY_CLEAN_TEST,48,45,45,0.9734307929472263,1.3447376320485442,1.6465900680148642,2.7112588520851952,0.3279164548200474,0.6032558569060776,1.2921929371162344,0.6889370802101568,2.9200264497636077,0.19483408294949,8.545246192022082,0.4444444444444444,0.5555555555555556,4,0.08888888888888889
JPY National CPI,R,PRIMARY_CLEAN_TEST,48,47,47,0.8741712343585759,1.662732209657106,4.001015383680978,16.008124100451848,0.09234036927113805,0.45971926597164564,1.2765557069196933,0.8168364409480477,3.115553341861036,0.02433485467577677,27.252296098005775,0.44680851063829785,0.5531914893617021,0,0.0
US CPI,I,PRIMARY_CLEAN_TEST,52,45,45,1.9988641039619688,2.4298430664528383,2.0773675374171128,4.31545588551444,0.8086633282024691,1.245534775812747,2.8847726246463963,1.6392378488336492,4.8604277152864395,0.7722695978176847,13.051126028259873,0.8888888888888888,0.1111111111111111,2,0.044444444444444446
US CPI,R,PRIMARY_CLEAN_TEST,51,51,51,0.9727219061565167,1.4803464903263903,2.1076662749161432,4.442257126418891,0.257048465056703,0.5379858317113011,1.4033591338977227,0.8653733021864216,4.144598178113468,0.06509394347090286,13.655224479340019,0.49019607843137253,0.5098039215686274,0,0.0
US Employment,I,PRIMARY_CLEAN_TEST,52,46,46,1.9098730046009522,2.7830975944102048,2.8109004419853534,7.901161294753454,0.7279656851884605,1.3115682685393222,2.8140253176653167,1.5024570491259945,9.992877321812719,0.404874895371192,13.194244635092302,0.8913043478260869,0.10869565217391304,4,0.08695652173913043
US Employment,R,PRIMARY_CLEAN_TEST,52,52,52,1.0434254747544935,1.3898332032417402,1.1282666620645831,1.2729856607263563,0.23170010369809416,0.6771069037656805,1.726972094964872,1.0498651911991914,3.9125275694440296,0.09747840452322667,5.205058092377705,0.5384615384615384,0.46153846153846156,0,0.0
