target,model,information_set,functional_form,n_inputs,validation_N,validation_RMSE,validation_QLIKE,test_N,test_RMSE,test_MAE,test_QLIKE,test_positive_fraction,source,RUN_ID
R,TRANSFORMER,full,flexible,36,834,0.0033977499567662502,0.1876362008596976,825,0.00980029416578001,0.004247870635787388,0.2575723500775757,1.0,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
R,RANDOM_FOREST,full,flexible,36,834,0.0039020840622998963,0.21755707027581356,825,0.009854737511174477,0.004671562569062586,0.2751605208852671,1.0,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
R,GRADIENT_BOOSTING,full,flexible,36,834,0.003955988067689245,0.26208269657687183,825,0.01030300167208082,0.004926178107149925,0.3204506277395092,1.0,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
R,MLP,full,flexible,36,834,0.0039035118674299865,0.2075254828005775,825,0.010421449170615982,0.004902827397193268,0.3019621857182534,1.0,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
R,LINEAR_36,full,linear,36,834,0.004488758469824667,0.23653320250575283,825,0.010777795917127193,0.005267173270081404,0.40106793830263726,0.9842424242424243,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
R,HAR,har,linear,4,834,0.004044400265975056,0.22669953422566677,825,0.009869301464411165,0.004574751287415565,0.296147787653129,1.0,NOTEBOOK_19B_NEW,2026-08-17T17:05:39.364008+00:00
R,TRANSFORMER_SPARSE,sparse,flexible,2,834,0.0032871102167560304,0.18870156209583397,825,0.009532730397484182,0.004097428160376725,0.26429009533938025,1.0,NOTEBOOK_19B_NEW,2026-08-17T17:05:39.364008+00:00
R,MLP_SPARSE,sparse,flexible,2,834,0.0033556370330311744,0.1850282445243191,825,0.009617936347634195,0.004254431240331717,0.2637525549887318,1.0,NOTEBOOK_19B_NEW,2026-08-17T17:05:39.364008+00:00
R,GB_SPARSE,sparse,flexible,2,834,0.004111101908369743,0.2685502873046849,825,0.009749412128759375,0.004314835743413589,0.274630881288421,1.0,NOTEBOOK_19B_NEW,2026-08-17T17:05:39.364008+00:00
R,RF_SPARSE,sparse,flexible,2,834,0.003745983039200787,0.2113048433343757,825,0.009878942925752088,0.004393401481136801,0.2757204679369588,1.0,NOTEBOOK_19B_NEW,2026-08-17T17:05:39.364008+00:00
R,N18_SPARSE_LINEAR,sparse,linear,2,834,0.004012692719852078,0.291500951425532,825,0.009681784038834197,0.004433748587955645,0.2797957821015938,1.0,NOTEBOOK_19_EXPORT,2026-08-17T17:05:39.364008+00:00
