margin,holding_fixed,from_model,to_model,validation_delta_RMSE,test_delta_RMSE,RUN_ID
information_set,linear,N18_SPARSE_LINEAR,LINEAR_36,0.0004760657499725887,0.0010960118782929965,2026-08-17T17:05:39.364008+00:00
information_set,RANDOM_FOREST,RF_SPARSE,RANDOM_FOREST,0.00015610102309910907,-2.420541457761119e-05,2026-08-17T17:05:39.364008+00:00
functional_form,sparse,N18_SPARSE_LINEAR,RF_SPARSE,-0.00026670968065129093,0.00019715888691789092,2026-08-17T17:05:39.364008+00:00
functional_form,full,LINEAR_36,RANDOM_FOREST,-0.0005866744075247706,-0.0009230584059527168,2026-08-17T17:05:39.364008+00:00
information_set,GRADIENT_BOOSTING,GB_SPARSE,GRADIENT_BOOSTING,-0.00015511384068049756,0.0005535895433214453,2026-08-17T17:05:39.364008+00:00
functional_form,sparse,N18_SPARSE_LINEAR,GB_SPARSE,9.840918851766484e-05,6.762808992517855e-05,2026-08-17T17:05:39.364008+00:00
functional_form,full,LINEAR_36,GRADIENT_BOOSTING,-0.0005327704021354214,-0.0004747942450463727,2026-08-17T17:05:39.364008+00:00
information_set,MLP,MLP_SPARSE,MLP,0.000547874834398812,0.0008035128229817879,2026-08-17T17:05:39.364008+00:00
functional_form,sparse,N18_SPARSE_LINEAR,MLP_SPARSE,-0.0006570556868209037,-6.38476912000023e-05,2026-08-17T17:05:39.364008+00:00
functional_form,full,LINEAR_36,MLP,-0.0005852466023946803,-0.0003563467465112109,2026-08-17T17:05:39.364008+00:00
information_set,TRANSFORMER,TRANSFORMER_SPARSE,TRANSFORMER,0.00011063974001021982,0.0002675637682958282,2026-08-17T17:05:39.364008+00:00
functional_form,sparse,N18_SPARSE_LINEAR,TRANSFORMER_SPARSE,-0.0007255825030960477,-0.00014905364135001445,2026-08-17T17:05:39.364008+00:00
functional_form,full,LINEAR_36,TRANSFORMER,-0.0010910085130584166,-0.0009775017513471828,2026-08-17T17:05:39.364008+00:00
