family,target,occurrence_n,clean_test_occurrence_n,overlap_occurrence_n,effective_model_valid_support_min,effective_model_valid_support_max,effective_model_raw_support_min,effective_model_raw_support_max
BoJ,I,37,24,13,24,24,23,24
BoJ,R,37,27,10,26,27,26,27
FOMC,I,37,32,5,30,32,30,32
FOMC,R,37,34,3,33,33,33,33
JPY GDP,I,37,35,2,30,35,28,35
JPY GDP,R,38,36,2,36,36,36,36
JPY National CPI,I,56,48,8,45,48,42,48
JPY National CPI,R,56,48,8,47,47,47,47
US CPI,I,54,52,2,45,52,43,52
US CPI,R,54,51,3,51,51,51,51
US Employment,I,54,52,2,46,52,42,52
US Employment,R,54,52,2,52,52,52,52
