model,target,forecast_stage,calibration_splits,ordinary_eligible_n,removed_target_events_n,eventless_fit_n,prediction_n,structure_frozen,hyperparameters_frozen
RF,R,EVENTLESS_TRAIN_TO_VALIDATION,train,3005,684,2321,1181,True,True
RF,I,EVENTLESS_TRAIN_TO_VALIDATION,train,3015,703,2312,1209,True,True
GB,R,EVENTLESS_TRAIN_TO_VALIDATION,train,2782,641,2141,1168,True,True
GB,I,EVENTLESS_TRAIN_TO_VALIDATION,train,3015,703,2312,1209,True,True
MLP,R,EVENTLESS_TRAIN_TO_VALIDATION,train,3005,684,2321,1181,True,True
MLP,I,EVENTLESS_TRAIN_TO_VALIDATION,train,2554,586,1968,1155,True,True
TRANSFORMER,R,EVENTLESS_TRAIN_TO_VALIDATION,train,3005,684,2321,1181,True,True
TRANSFORMER,I,EVENTLESS_TRAIN_TO_VALIDATION,train,2497,576,1921,1143,True,True
RF,R,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,4186,946,3240,1182,True,True
RF,I,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,4224,967,3257,1208,True,True
GB,R,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,3950,902,3048,1169,True,True
GB,I,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,4224,967,3257,1208,True,True
MLP,R,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,4186,946,3240,1182,True,True
MLP,I,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,3709,843,2866,1156,True,True
TRANSFORMER,R,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,4186,946,3240,1182,True,True
TRANSFORMER,I,EVENTLESS_TRAIN_VALIDATION_TO_TEST,train|validation,3640,833,2807,1142,True,True
