model,model_family,target,source,selected_parent_set,selected_lag,parents_without_source,parents_with_source,rmse_without_source,rmse_with_source,delta_rmse,relative_delta_rmse_pct,source_selected_in_primary,predictive_direction,interpretation,N16_GC_retain,validation_only,diagnostic_role
GB,Gradient Boosting,I,Q,I,2,I,I|Q,0.005172004744803646,0.005274846940401125,-0.00010284219559747888,-1.988439699341058,False,NEGATIVE,Including the source raises matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
GB,Gradient Boosting,I,R,I,2,I,I|R,0.005172004744803646,0.005408367940067485,-0.0002363631952638388,-4.570049853517919,False,NEGATIVE,Including the source raises matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
MLP,MLP,I,Q,I|Q,4,I,I|Q,0.004568280653390377,0.004388008778577064,0.000180271874813313,3.946164618400211,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
MLP,MLP,I,R,I|Q,4,I|Q,I|Q|R,0.004388008778577064,0.004537782703213501,-0.00014977392463643747,-3.4132548997544605,False,NEGATIVE,Including the source raises matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
RF,Random Forest,I,Q,I,2,I,I|Q,0.004489600483013018,0.004485822981204587,3.7775018084315604e-06,0.08413893001669581,False,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
RF,Random Forest,I,R,I,2,I,I|R,0.004489600483013018,0.004483370164285996,6.230318727022503e-06,0.13877223041550615,False,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
TRANSFORMER,Transformer,I,Q,I|Q|R,5,I|R,I|Q|R,0.004403427687096531,0.0042899214683137735,0.00011350621878275773,2.577678727764003,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
TRANSFORMER,Transformer,I,R,I|Q|R,5,I|Q,I|Q|R,0.00436976037181434,0.0042899214683137735,7.983890350056651e-05,1.827077384278102,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
GB,Gradient Boosting,R,Q,R|I,2,R|I,R|Q|I,0.005134063195824898,0.005085612538528872,4.8450657296025997e-05,0.9437097956921692,False,POSITIVE,Including the source lowers matched VALIDATION RMSE.,False,True,matched flexible-model predictive relevance; not structure selection
GB,Gradient Boosting,R,I,R|I,2,R,R|I,0.006697183123304675,0.005134063195824898,0.001563119927479777,23.339960976137487,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
MLP,MLP,R,Q,R|I,1,R|I,R|Q|I,0.0049420351812045635,0.004963798178692538,-2.1762997487974854e-05,-0.4403650862451039,False,NEGATIVE,Including the source raises matched VALIDATION RMSE.,False,True,matched flexible-model predictive relevance; not structure selection
MLP,MLP,R,I,R|I,1,R,R|I,0.005976110310689914,0.0049420351812045635,0.0010340751294853501,17.30348129008969,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
RF,Random Forest,R,Q,R|I,1,R|I,R|Q|I,0.0050886004173874835,0.005196445296244895,-0.0001078448788574115,-2.1193426484994013,False,NEGATIVE,Including the source raises matched VALIDATION RMSE.,False,True,matched flexible-model predictive relevance; not structure selection
RF,Random Forest,R,I,R|I,1,R,R|I,0.007561451754917886,0.0050886004173874835,0.002472851337530403,32.70339370904651,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
TRANSFORMER,Transformer,R,Q,R|I,1,R|I,R|Q|I,0.004977955964531521,0.004973363018125299,4.592946406221932e-06,0.09226570984048826,False,POSITIVE,Including the source lowers matched VALIDATION RMSE.,False,True,matched flexible-model predictive relevance; not structure selection
TRANSFORMER,Transformer,R,I,R|I,1,R,R|I,0.005527048346228303,0.004977955964531521,0.000549092381696782,9.934640468116886,True,POSITIVE,Including the source lowers matched VALIDATION RMSE.,True,True,matched flexible-model predictive relevance; not structure selection
