sample_split,target,model,forecast_stage,n_rows,n_raw_ratio_defined,n_admissible_ratio_defined,n_floor_activated,median_raw_response_ratio,median_admissible_response_ratio,median_response_ratio
test,I,GB,TRAIN_VALIDATION_TO_TEST,1208,1208,1208,0,0.8475418767701821,0.8475418767701821,0.8475418767701821
test,I,MLP,TRAIN_VALIDATION_TO_TEST,1156,1156,1156,0,0.824713460390684,0.824713460390684,0.824713460390684
test,I,RF,TRAIN_VALIDATION_TO_TEST,1208,1208,1208,0,0.866451025299052,0.866451025299052,0.866451025299052
test,I,TRANSFORMER,TRAIN_VALIDATION_TO_TEST,1142,1142,1142,14,0.9856624045709312,0.9839292006275245,0.9839292006275245
test,R,GB,TRAIN_VALIDATION_TO_TEST,1169,1169,1169,0,0.8261587735527269,0.8261587735527269,0.8261587735527269
test,R,MLP,TRAIN_VALIDATION_TO_TEST,1182,1182,1182,0,0.7957839127897934,0.7957839127897934,0.7957839127897934
test,R,RF,TRAIN_VALIDATION_TO_TEST,1182,1182,1182,0,0.81995725898961,0.81995725898961,0.81995725898961
test,R,TRANSFORMER,TRAIN_VALIDATION_TO_TEST,1182,1182,1182,0,0.8021544893543908,0.8021544893543908,0.8021544893543908
validation,I,GB,TRAIN_TO_VALIDATION,1209,1209,1209,0,0.5084252536649727,0.5084252536649727,0.5084252536649727
validation,I,MLP,TRAIN_TO_VALIDATION,1155,1155,1155,0,0.7130279749242286,0.7130279749242286,0.7130279749242286
validation,I,RF,TRAIN_TO_VALIDATION,1209,1209,1209,0,0.7490999084446532,0.7490999084446532,0.7490999084446532
validation,I,TRANSFORMER,TRAIN_TO_VALIDATION,1143,1143,1143,30,0.9841149981569306,0.981946629883353,0.981946629883353
validation,R,GB,TRAIN_TO_VALIDATION,1168,1168,1168,0,0.6509775779142573,0.6509775779142573,0.6509775779142573
validation,R,MLP,TRAIN_TO_VALIDATION,1181,1181,1181,0,0.797770206881197,0.797770206881197,0.797770206881197
validation,R,RF,TRAIN_TO_VALIDATION,1181,1181,1181,0,0.7906458083961628,0.7906458083961628,0.7906458083961628
validation,R,TRANSFORMER,TRAIN_TO_VALIDATION,1181,1181,1181,0,0.8031001058549984,0.8031001058549984,0.8031001058549984
