episode_id,matched_calendar_event,matched_event_family,raw_event_labels,n_raw_component_rows,n_exact_coherent_families,event_timestamp,timing_relation,number_of_nearby_events,annotation_status
E21_001,Tokyo CPI Ex-Fresh Food YoY,JPY: Tokyo CPI Ex-Fresh Food YoY,Tokyo CPI Ex-Fresh Food YoY,1,1,2021-11-25 23:30:00+00:00,EXACT_MODEL_DAY,1,NONCANONICAL_SCHEDULED_EVENT
E21_002,Capital Spending YoY | ADP Employment Change | MBA Mortgage Applications,JPY: Capital Spending YoY | USD: ADP Employment Change | USD: MBA Mortgage Applications,Capital Spending YoY | ADP Employment Change | MBA Mortgage Applications,3,3,2022-03-01 23:50:00+00:00 | 2022-03-02 13:15:00+00:00 | 2022-03-02 12:00:00+00:00,EXACT_MODEL_DAY,11,MULTIPLE_EVENTS
E21_003,Industrial Production MoM | Tertiary Industry Index MoM | Empire Manufacturing,JPY: Industrial Production MoM | JPY: Tertiary Industry Index MoM | USD: Empire Manufacturing,Industrial Production MoM | Tertiary Industry Index MoM | Empire Manufacturing,3,3,2022-10-17 05:30:00+00:00 | 2022-10-17 05:30:00+00:00 | 2022-10-17 13:30:00+00:00,EXACT_MODEL_DAY,6,MULTIPLE_EVENTS
E21_004,,,,0,0,,PLUS_MINUS_ONE_MODEL_DAY,3,NEAR_PRIMARY_EVENT
E21_005,ADP Employment Change | Durable Goods Orders | Factory Orders | ISM Services Index | MBA Mortgage Applications,USD: ADP Employment Change | USD: Durable Goods Orders | USD: Factory Orders | USD: ISM Services Index | USD: MBA Mortgage Applications,ADP Employment Change | Durable Goods Orders | Factory Orders | ISM Services Index | MBA Mortgage Applications,5,5,2023-10-04 13:15:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 15:00:00+00:00 | 2023-10-04 12:00:00+00:00,EXACT_MODEL_DAY,7,MULTIPLE_EVENTS
E21_006,Initial Jobless Claims | Wholesale Inventories MoM,USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,Initial Jobless Claims | Wholesale Inventories MoM,2,2,2023-12-07 13:30:00+00:00 | 2023-12-07 15:00:00+00:00,EXACT_MODEL_DAY,9,MULTIPLE_EVENTS
E21_007,GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,USD: GDP Annualized QoQ | USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,3,3,2024-04-25 13:30:00+00:00 | 2024-04-25 13:30:00+00:00 | 2024-04-25 13:30:00+00:00,EXACT_MODEL_DAY,10,MULTIPLE_EVENTS
E21_008,Industrial Production MoM | Job-To-Applicant Ratio | Jobless Rate | Conf. Board Consumer Confidence | MNI Chicago PMI,JPY: Industrial Production MoM | JPY: Job-To-Applicant Ratio | JPY: Jobless Rate | USD: Conf. Board Consumer Confidence | USD: MNI Chicago PMI,Industrial Production MoM | Job-To-Applicant Ratio | Jobless Rate | Conf. Board Consumer Confidence | MNI Chicago PMI,5,5,2024-04-30 00:50:00+00:00 | 2024-04-30 00:30:00+00:00 | 2024-04-30 00:30:00+00:00 | 2024-04-30 15:00:00+00:00 | 2024-04-30 14:45:00+00:00,EXACT_MODEL_DAY,12,MULTIPLE_EVENTS
E21_009,Durable Goods Orders | GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,USD: Durable Goods Orders | USD: GDP Annualized QoQ | USD: Initial Jobless Claims | USD: Wholesale Inventories MoM,Durable Goods Orders | GDP Annualized QoQ | Initial Jobless Claims | Wholesale Inventories MoM,4,4,2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00 | 2024-06-27 13:30:00+00:00,EXACT_MODEL_DAY,14,MULTIPLE_EVENTS
E21_010,Housing Starts | Industrial Production MoM | MBA Mortgage Applications,USD: Housing Starts | USD: Industrial Production MoM | USD: MBA Mortgage Applications,Housing Starts | Industrial Production MoM | MBA Mortgage Applications,3,3,2024-07-17 13:30:00+00:00 | 2024-07-17 14:15:00+00:00 | 2024-07-17 12:00:00+00:00,EXACT_MODEL_DAY,7,MULTIPLE_EVENTS
E21_011,BoP Current Account Balance | PPI Final Demand MoM,JPY: BoP Current Account Balance | USD: PPI Final Demand MoM,BoP Current Account Balance | PPI Final Demand MoM,2,2,2025-01-13 23:50:00+00:00 | 2025-01-14 13:30:00+00:00,EXACT_MODEL_DAY,5,MULTIPLE_EVENTS
E21_012,Tertiary Industry Index MoM,JPY: Tertiary Industry Index MoM,Tertiary Industry Index MoM,1,1,2026-04-20 05:30:00+00:00,EXACT_MODEL_DAY,2,NONCANONICAL_SCHEDULED_EVENT
E21_013,ADP Employment Change | MBA Mortgage Applications,USD: ADP Employment Change | USD: MBA Mortgage Applications,ADP Employment Change | MBA Mortgage Applications,2,2,2026-05-06 13:15:00+00:00 | 2026-05-06 12:00:00+00:00,EXACT_MODEL_DAY,7,MULTIPLE_EVENTS
E21_014,S&P Global Japan PMI Mfg | Tankan Large All Industry Capex Estimate FY | Tankan Large Mfg Index | Tankan Large Mfg Outlook | Tankan Large Non-Mfg Index | Tankan Large Non-Mfg Outlook | ADP Employment Change | Construction Spending MoM | ISM Manufacturing | MBA Mortgage Applications | S&P Global US Manufacturing PMI,JPY: S&P Global Japan PMI Mfg | JPY: Tankan Large All Industry Capex Estimate FY | JPY: Tankan Large Mfg Index | JPY: Tankan Large Mfg Outlook | JPY: Tankan Large Non-Mfg Index | JPY: Tankan Large Non-Mfg Outlook | USD: ADP Employment Change | USD: Construction Spending MoM | USD: ISM Manufacturing | USD: MBA Mortgage Applications | USD: S&P Global US Manufacturing PMI,S&P Global Japan PMI Mfg | Tankan Large All Industry Capex Estimate FY | Tankan Large Mfg Index | Tankan Large Mfg Outlook | Tankan Large Non-Mfg Index | Tankan Large Non-Mfg Outlook | ADP Employment Change | Construction Spending MoM | ISM Manufacturing | MBA Mortgage Applications | S&P Global US Manufacturing PMI,11,11,2026-07-01 01:30:00+00:00 | 2026-07-01 00:50:00+00:00 | 2026-07-01 00:50:00+00:00 | 2026-07-01 00:50:00+00:00 | 2026-07-01 00:50:00+00:00 | 2026-07-01 00:50:00+00:00 | 2026-07-01 13:15:00+00:00 | 2026-07-01 15:00:00+00:00 | 2026-07-01 15:00:00+00:00 | 2026-07-01 12:00:00+00:00 | 2026-07-01 14:45:00+00:00,EXACT_MODEL_DAY,16,MULTIPLE_EVENTS
