realised_model_day,implied_reference_model_day,sample_split,previous_sample_split,canonical_index,sample_split_R,P_R,n_models_R,Z_R,sample_split_I_prev,P_I_prev,n_models_I_prev,Z_I_prev,D,is_known_primary_event_pair,candidate_type,new_episode,episode_number,episode_id,opposite_channel_active,strict_cross_channel_dislocation
2021-11-26,2021-11-25,test,test,4844,test,0.9978849407783418,4,2.860471296136791,test,0.17296712802768166,4,-0.942504797538652,3.802976093675443,False,REALISED_ONLY,True,1,E21_001,False,True
2022-03-02,2022-03-01,test,test,4912,test,0.04272419627749577,4,-1.7199122549297794,test,0.9642758586176328,4,1.8026176524996445,-3.5225299074294236,False,IMPLIED_ONLY,True,2,E21_002,False,True
2022-10-17,2022-10-14,test,test,5075,test,0.015651438240270727,4,-2.1532011100885393,test,0.9728298635934685,4,1.9241141819877672,-4.077315292076307,False,IMPLIED_ONLY,True,3,E21_003,False,True
2023-09-12,2023-09-11,test,test,5311,test,0.06598984771573604,4,-1.5063408546219308,test,0.9519191036236491,4,1.6637530360567419,-3.1700938906786726,False,IMPLIED_ONLY,True,4,E21_004,False,True
2023-10-04,2023-10-03,test,test,5327,test,0.1218274111675127,4,-1.1659001401262195,test,0.9881305584946667,4,2.26132914094279,-3.4272292810690095,False,IMPLIED_ONLY,True,5,E21_005,False,True
2023-12-07,2023-12-06,test,test,5373,test,0.9974619289340101,4,2.8021617159609327,test,0.2415621693499957,4,-0.701286336929062,3.5034480528899947,False,REALISED_ONLY,True,6,E21_006,False,True
2024-04-25,2024-04-24,test,test,5473,test,0.005499153976311337,4,-2.5427525755232856,test,0.9906587730451366,4,2.351807234891244,-4.894559810414529,False,IMPLIED_ONLY,True,7,E21_007,False,True
2024-04-30,2024-04-29,test,test,5476,test,0.018612521150592216,4,-2.083287314924646,test,0.9776648603048415,4,2.0077460974802666,-4.091033412404912,False,IMPLIED_ONLY,True,8,E21_008,False,True
2024-06-27,2024-06-26,test,test,5518,test,0.03637901861252115,4,-1.7943455172169198,test,0.9868682453909727,4,2.22229302505323,-4.016638542270149,False,IMPLIED_ONLY,True,9,E21_009,False,True
2024-07-17,2024-07-16,test,test,5532,test,0.9877326565143825,4,2.2486513452798578,test,0.07621185632549268,4,-1.4310226888174178,3.6796740340972756,False,REALISED_ONLY,True,10,E21_010,False,True
2025-01-14,2025-01-13,test,test,5661,test,0.07487309644670051,4,-1.440428543796715,test,0.9688215193897012,4,1.8637489966722443,-3.3041775404689595,False,IMPLIED_ONLY,True,11,E21_011,False,True
2026-04-20,2026-04-17,test,test,5990,test,0.16159052453468697,4,-0.9879420109295419,test,0.9776859504132231,4,2.0081429891182614,-2.9960850000478034,False,IMPLIED_ONLY,True,12,E21_012,False,True
2026-05-06,2026-05-05,test,test,6002,test,0.9970389170896785,4,2.752060061887893,test,0.034291443850267375,4,-1.8211577046049985,4.573217766492892,False,REALISED_ONLY,True,13,E21_013,False,True
2026-07-01,2026-06-30,test,test,6042,test,0.01692047377326565,4,-2.1219617819092527,test,0.990909090909091,4,2.361894446584974,-4.4838562284942265,False,IMPLIED_ONLY,True,14,E21_014,False,True
