shift,window,date_hit_count,campaign_hit_count
0,5,9,4
0,7,9,4
0,10,9,4
1,5,9,4
1,7,9,4
1,10,9,4
2,5,7,4
2,7,9,4
2,10,9,4
3,5,7,3
3,7,9,4
3,10,9,4
4,5,6,3
4,7,9,4
4,10,9,4
5,5,8,4
5,7,9,4
5,10,9,4
6,5,8,4
6,7,9,4
6,10,9,4
7,5,9,4
7,7,9,4
7,10,9,4
8,5,8,4
8,7,9,4
8,10,9,4
9,5,8,4
9,7,9,4
9,10,9,4
10,5,6,3
10,7,8,4
10,10,9,4
11,5,5,2
11,7,8,4
11,10,9,4
12,5,5,2
12,7,6,3
12,10,9,4
13,5,5,2
13,7,5,2
13,10,8,4
14,5,4,2
14,7,5,2
14,10,8,4
15,5,4,2
15,7,5,2
15,10,6,3
16,5,2,2
16,7,4,2
16,10,5,2
17,5,1,1
17,7,4,2
17,10,5,2
18,5,0,0
18,7,2,2
18,10,5,2
19,5,0,0
19,7,1,1
19,10,4,2
20,5,0,0
20,7,0,0
20,10,4,2
21,5,0,0
21,7,0,0
21,10,2,2
22,5,0,0
22,7,0,0
22,10,1,1
23,5,0,0
23,7,0,0
23,10,0,0
24,5,0,0
24,7,0,0
24,10,0,0
25,5,0,0
25,7,0,0
25,10,0,0
26,5,0,0
26,7,0,0
26,10,0,0
27,5,0,0
27,7,0,0
27,10,0,0
28,5,0,0
28,7,0,0
28,10,0,0
29,5,0,0
29,7,0,0
29,10,0,0
30,5,0,0
30,7,0,0
30,10,0,0
31,5,0,0
31,7,0,0
31,10,0,0
32,5,0,0
32,7,0,0
32,10,0,0
33,5,0,0
33,7,0,0
33,10,0,0
34,5,0,0
34,7,0,0
34,10,0,0
35,5,0,0
35,7,0,0
35,10,0,0
36,5,0,0
36,7,0,0
36,10,0,0
37,5,0,0
37,7,0,0
37,10,0,0
38,5,0,0
38,7,0,0
38,10,0,0
39,5,0,0
39,7,0,0
39,10,0,0
40,5,0,0
40,7,0,0
40,10,0,0
41,5,0,0
41,7,0,0
41,10,0,0
42,5,0,0
42,7,0,0
42,10,1,1
43,5,0,0
43,7,0,0
43,10,2,1
44,5,0,0
44,7,0,0
44,10,2,1
45,5,0,0
45,7,1,1
45,10,2,1
46,5,0,0
46,7,2,1
46,10,2,1
47,5,1,1
47,7,2,1
47,10,2,1
48,5,2,1
48,7,2,1
48,10,2,1
49,5,2,1
49,7,2,1
49,10,2,1
50,5,2,1
50,7,2,1
50,10,2,1
51,5,2,1
51,7,2,1
51,10,2,1
52,5,2,1
52,7,2,1
52,10,2,1
53,5,2,1
53,7,2,1
53,10,2,1
54,5,2,1
54,7,2,1
54,10,2,1
55,5,2,1
55,7,2,1
55,10,2,1
56,5,2,1
56,7,2,1
56,10,2,1
57,5,2,1
57,7,2,1
57,10,2,1
58,5,2,1
58,7,2,1
58,10,2,1
59,5,2,1
59,7,2,1
59,10,2,1
60,5,2,1
60,7,2,1
60,10,2,1
61,5,1,1
61,7,2,1
61,10,2,1
62,5,0,0
62,7,2,1
62,10,2,1
63,5,0,0
63,7,1,1
63,10,2,1
64,5,0,0
64,7,0,0
64,10,2,1
65,5,0,0
65,7,0,0
65,10,2,1
66,5,0,0
66,7,0,0
66,10,1,1
67,5,0,0
67,7,0,0
67,10,0,0
68,5,0,0
68,7,0,0
68,10,0,0
69,5,0,0
69,7,0,0
69,10,0,0
70,5,0,0
70,7,0,0
70,10,0,0
71,5,0,0
71,7,0,0
71,10,0,0
72,5,0,0
72,7,0,0
72,10,0,0
73,5,0,0
73,7,0,0
73,10,0,0
74,5,0,0
74,7,0,0
74,10,0,0
75,5,0,0
75,7,0,0
75,10,0,0
76,5,0,0
76,7,0,0
76,10,0,0
77,5,0,0
77,7,0,0
77,10,0,0
78,5,0,0
78,7,0,0
78,10,0,0
79,5,0,0
79,7,0,0
79,10,0,0
80,5,0,0
80,7,0,0
80,10,0,0
81,5,0,0
81,7,0,0
81,10,0,0
82,5,0,0
82,7,0,0
82,10,0,0
83,5,0,0
83,7,0,0
83,10,0,0
84,5,0,0
84,7,0,0
84,10,0,0
85,5,0,0
85,7,0,0
85,10,0,0
86,5,0,0
86,7,0,0
86,10,0,0
87,5,0,0
87,7,0,0
87,10,0,0
88,5,0,0
88,7,0,0
88,10,0,0
89,5,0,0
89,7,0,0
89,10,0,0
90,5,0,0
90,7,0,0
90,10,0,0
91,5,0,0
91,7,0,0
91,10,0,0
92,5,0,0
92,7,0,0
92,10,1,1
93,5,0,0
93,7,0,0
93,10,1,1
94,5,0,0
94,7,0,0
94,10,2,1
95,5,0,0
95,7,1,1
95,10,2,1
96,5,0,0
96,7,1,1
96,10,2,1
97,5,1,1
97,7,2,1
97,10,2,1
98,5,1,1
98,7,2,1
98,10,2,1
99,5,2,1
99,7,2,1
99,10,2,1
100,5,2,1
100,7,2,1
100,10,2,1
101,5,2,1
101,7,2,1
101,10,2,1
102,5,2,1
102,7,2,1
102,10,2,1
103,5,2,1
103,7,2,1
103,10,2,1
104,5,2,1
104,7,2,1
104,10,2,1
105,5,2,1
105,7,2,1
105,10,2,1
106,5,2,1
106,7,2,1
106,10,2,1
107,5,2,1
107,7,2,1
107,10,2,1
108,5,1,1
108,7,2,1
108,10,2,1
109,5,1,1
109,7,2,1
109,10,2,1
110,5,0,0
110,7,1,1
110,10,2,1
111,5,0,0
111,7,1,1
111,10,2,1
112,5,0,0
112,7,0,0
112,10,2,1
113,5,0,0
113,7,0,0
113,10,1,1
114,5,0,0
114,7,0,0
114,10,1,1
115,5,0,0
115,7,0,0
115,10,0,0
116,5,0,0
116,7,0,0
116,10,0,0
117,5,0,0
117,7,0,0
117,10,0,0
118,5,0,0
118,7,0,0
118,10,0,0
119,5,0,0
119,7,0,0
119,10,0,0
120,5,0,0
120,7,0,0
120,10,0,0
121,5,0,0
121,7,0,0
121,10,0,0
122,5,0,0
122,7,0,0
122,10,0,0
123,5,0,0
123,7,0,0
123,10,0,0
124,5,0,0
124,7,0,0
124,10,0,0
125,5,0,0
125,7,0,0
125,10,0,0
126,5,0,0
126,7,0,0
126,10,0,0
127,5,0,0
127,7,0,0
127,10,0,0
128,5,0,0
128,7,0,0
128,10,0,0
129,5,0,0
129,7,0,0
129,10,0,0
130,5,0,0
130,7,0,0
130,10,0,0
131,5,0,0
131,7,0,0
131,10,0,0
132,5,0,0
132,7,0,0
132,10,0,0
133,5,0,0
133,7,0,0
133,10,0,0
134,5,0,0
134,7,0,0
134,10,0,0
135,5,0,0
135,7,0,0
135,10,0,0
136,5,0,0
136,7,0,0
136,10,1,1
137,5,0,0
137,7,0,0
137,10,1,1
138,5,0,0
138,7,0,0
138,10,2,2
139,5,0,0
139,7,1,1
139,10,2,2
140,5,0,0
140,7,1,1
140,10,3,2
141,5,1,1
141,7,2,2
141,10,3,2
142,5,1,1
142,7,2,2
