population,stage,s_sigma_label,s_sigma_vol_points,n,mean_c_opt_L,median_c_opt_L,mean_c_opt_S,median_c_opt_S,mean_c_initial_hedge_L,median_c_initial_hedge_L,mean_c_initial_hedge_S,median_c_initial_hedge_S,mean_c_spot_total_L,median_c_spot_total_L,mean_c_spot_total_S,median_c_spot_total_S,median_spot_over_option_L,median_spot_over_option_S,ex_post_friction_materiality_long,ex_post_friction_materiality_short,diagnostic_label
ALL_ADMISSIBLE,C,BASE,0.2,961,0.009862724861127383,0.009289338757491192,0.009862725542908058,0.009289339442359244,2.6730466408433454e-05,2.3071534340950664e-05,2.6730466408433454e-05,2.3071534340950664e-05,0.03678862873194607,0.02598961833923448,0.03678862873194607,0.02598961833923448,2.8197075800230076,2.819707362749034,0.34027055150884494,0.6285119667013528,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
ALL_ADMISSIBLE,C,HIGH,0.4,961,0.019725449033743965,0.018578676823662012,0.019725451760871836,0.0185786795633346,2.6730466408433454e-05,2.3071534340950664e-05,2.6730466408433454e-05,2.3071534340950664e-05,0.03678862873194607,0.02598961833923448,0.03678862873194607,0.02598961833923448,1.409853844813105,1.4098536275431914,0.32049947970863685,0.6118626430801248,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
ALL_ADMISSIBLE,C,LOW,0.1,961,0.004931362516205324,0.00464466946472982,0.0049313626866516,0.004644669635976891,2.6730466408433454e-05,2.3071534340950664e-05,2.6730466408433454e-05,2.3071534340950664e-05,0.03678862873194607,0.02598961833923448,0.03678862873194607,0.02598961833923448,5.639415050921861,5.639414833647887,0.34963579604578565,0.6399583766909469,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
ALL_ADMISSIBLE,VALIDATION,BASE,0.2,961,0.015377402492974968,0.015243887117657158,0.015377403170689325,0.015243887802512285,2.7367733329236224e-05,2.1219908990168676e-05,2.7367733329236224e-05,2.1219908990168676e-05,0.04975811267121601,0.03492362856899942,0.04975811267121601,0.03492362856899942,2.2601592420532612,2.260159146026648,0.4432882414151925,0.49739854318418314,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
ALL_ADMISSIBLE,VALIDATION,HIGH,0.4,961,0.030754804297806297,0.030487773539935408,0.03075480700866183,0.030487776279641634,2.7367733329236224e-05,2.1219908990168676e-05,2.7367733329236224e-05,2.1219908990168676e-05,0.04975811267121601,0.03492362856899942,0.04975811267121601,0.03492362856899942,1.1300796454131379,1.1300795493932767,0.41519250780437045,0.46618106139438087,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
ALL_ADMISSIBLE,VALIDATION,LOW,0.1,961,0.0076887013318534345,0.007621943645114039,0.007688701501280426,0.007621943816351631,2.7367733329236224e-05,2.1219908990168676e-05,2.7367733329236224e-05,2.1219908990168676e-05,0.04975811267121601,0.03492362856899942,0.04975811267121601,0.03492362856899942,4.52031843571505,4.520318339661425,0.46097814776274715,0.5088449531737773,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,C,BASE,0.2,69,0.013039747452678125,0.01268228983390776,0.013039748135127163,0.012682290518869477,2.4648408565618053e-05,1.9194594802127192e-05,2.4648408565618053e-05,1.9194594802127192e-05,0.043696785781393424,0.02681006280736147,0.043696785781393424,0.02681006280736147,2.1955576269956296,2.1955574047138495,0.4057971014492754,0.5797101449275363,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,C,HIGH,0.4,69,0.02607949421399826,0.025364578974187594,0.026079496943796014,0.025364581713924066,2.4648408565618053e-05,1.9194594802127192e-05,2.4648408565618053e-05,1.9194594802127192e-05,0.043696785781393424,0.02681006280736147,0.043696785781393424,0.02681006280736147,1.0977788694349495,1.0977786471722175,0.36231884057971014,0.5507246376811594,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,C,LOW,0.1,69,0.006519873812191339,0.006341145003119183,0.006519873982807252,0.006341145174345812,2.4648408565618053e-05,1.9194594802127192e-05,2.4648408565618053e-05,1.9194594802127192e-05,0.043696785781393424,0.02681006280736147,0.043696785781393424,0.02681006280736147,4.3911151424566945,4.391114920200312,0.42028985507246375,0.5797101449275363,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,VALIDATION,BASE,0.2,34,0.015611491119824801,0.014565133524803783,0.015611491800556498,0.014565134209821261,2.3308484929146935e-05,2.1104171613555848e-05,2.3308484929146935e-05,2.1104171613555848e-05,0.041254436604960164,0.033983299582873036,0.041254436604960164,0.033983299582873036,2.1202742279028897,2.120274154895311,0.5,0.4117647058823529,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,VALIDATION,HIGH,0.4,34,0.03122298154827666,0.02913026635478816,0.031222984271232823,0.029130269094519465,2.3308484929146935e-05,2.1104171613555848e-05,2.3308484929146935e-05,2.1104171613555848e-05,0.041254436604960164,0.033983299582873036,0.041254436604960164,0.033983299582873036,1.0601371325693956,1.0601370595553683,0.47058823529411764,0.38235294117647056,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
HIDDEN_EPISODE_ENTRY_ADMISSIBLE,VALIDATION,LOW,0.1,34,0.007805745645672164,0.007282566848630238,0.007805745815841053,0.007282567019929884,2.3308484929146935e-05,2.1104171613555848e-05,2.3308484929146935e-05,2.1104171613555848e-05,0.041254436604960164,0.033983299582873036,0.041254436604960164,0.033983299582873036,4.2405484189386184,4.240548345927572,0.5588235294117647,0.4117647058823529,EX_POST_FRICTION_MATERIALITY_DIAGNOSTIC_ONLY
