stage,model,MSE,RMSE,MAE,correlation
C,BASE,0.10097023852116256,0.31775814469681585,0.22680311242260792,0.44589085731089495
C,HIDDEN_AWARE,0.09379114796633031,0.3062534048240612,0.22024959570898672,0.5334568174281444
C,BASE_NOISE_19,0.09462874695682758,0.3076178586441749,0.2206323403841457,0.5319861707702581
C,BASE_NOISE_119,0.0946247451787886,0.30761135411227686,0.2221758907863264,0.541945003172661
C,BASE_NOISE_219,0.09541425298704191,0.3088919762425724,0.22069381472131863,0.5356789753729884
VALIDATION,BASE,0.2348560885998679,0.48461952973427297,0.2717140804113916,0.029458372580956214
VALIDATION,HIDDEN_AWARE,0.23452957986489742,0.48428254135875826,0.27490262300753543,0.05440051019968136
VALIDATION,BASE_NOISE_19,0.23948235211427532,0.48936934120792175,0.27461429083196387,0.017840567446882265
VALIDATION,BASE_NOISE_119,0.24020274072887882,0.4901048262656458,0.27541894456108557,-0.013529357538230515
VALIDATION,BASE_NOISE_219,0.23722812102170815,0.48706069541865943,0.27097576776326426,0.020243480170224936
