candidate_id,n_estimators,learning_rate,max_depth,min_samples_leaf,C_training_MSE,VALIDATION_MSE,VALIDATION_RMSE,VALIDATION_MAE,VALIDATION_prediction_target_correlation,VALIDATION_n_days,VALIDATION_n_long,VALIDATION_n_flat,VALIDATION_n_short,VALIDATION_n_trade,VALIDATION_long_share_conditional_trade,VALIDATION_short_share_conditional_trade,VALIDATION_mean_daily_net_pnl,VALIDATION_median_daily_net_pnl,VALIDATION_std_daily_net_pnl,VALIDATION_best_day,VALIDATION_worst_day,VALIDATION_mean_net_pnl_conditional_trade,VALIDATION_median_net_pnl_conditional_trade,VALIDATION_trade_hit_rate,VALIDATION_cumulative_net_pnl,VALIDATION_maximum_drawdown,VALIDATION_J,eligible_for_selection,MSE_rank,J_rank,winner,J_winner_also_MSE_winner
1,100.0,0.03,1.0,20.0,0.1157352155124959,0.24054675384552268,0.4904556594081902,0.2714327694102781,0.005801691072103695,902,0,0,902,902,0.0,1.0,-0.1136732345087838,-0.04728869459296265,0.47881721064544114,0.842011707755408,-6.605743371962286,-0.1136732345087838,-0.04728869459296265,0.4146341463414634,-102.53325752692297,-102.5998106772487,-0.23740423690191367,True,16,14,False,False
2,100.0,0.03,1.0,40.0,0.11594186113403807,0.24013088904128918,0.4900315184162027,0.271028758357214,0.0207197435432851,902,0,0,902,902,0.0,1.0,-0.1136732345087838,-0.04728869459296265,0.47881721064544114,0.842011707755408,-6.605743371962286,-0.1136732345087838,-0.04728869459296265,0.4146341463414634,-102.53325752692297,-102.5998106772487,-0.23740423690191367,True,14,14,False,False
3,100.0,0.03,2.0,20.0,0.1086770516395765,0.23741890591622622,0.48725650936260073,0.2697302614548278,0.0087907902077113,902,93,21,788,881,0.10556186152099886,0.8944381384790011,-0.1002021425452655,-0.0389894149550605,0.4776871144509499,1.2871531286234297,-6.605743371962286,-0.10259061586359756,-0.044028034074634,0.4199772985244041,-90.3823325758294,-90.77663865076802,-0.2097652197724385,True,7,7,False,False
4,100.0,0.03,2.0,40.0,0.11089535788799858,0.23559430255009586,0.4853805749616437,0.2676679596415143,0.02672722652150679,902,52,55,795,847,0.06139315230224321,0.9386068476977568,-0.10175849437900028,-0.0269285900018813,0.4728343560752818,0.842011707755408,-6.605743371962286,-0.1083661888191951,-0.044028034074634,0.4203069657615112,-91.78616192985821,-91.85271508018394,-0.21520960368370295,True,4,8,False,False
5,100.0,0.05,1.0,20.0,0.11481817573123944,0.2402918005690351,0.4901956757959367,0.2712607012366598,0.009961943579723022,902,3,3,896,899,0.0033370411568409346,0.996662958843159,-0.11454716074137654,-0.04674622513389705,0.4785427367304027,0.842011707755408,-6.605743371962286,-0.1149294093311698,-0.0473558414904537,0.41379310344827586,-103.32153898872161,-103.38809213904734,-0.23936662694748856,True,15,16,False,False
6,100.0,0.05,1.0,40.0,0.11511135041921763,0.23989247461283503,0.48978819362336107,0.27077546958571347,0.020226841079488873,902,0,32,870,870,0.0,1.0,-0.10760135135450215,-0.0337194769310261,0.4760063307047843,0.842011707755408,-6.605743371962286,-0.1115591022089206,-0.045124648523521146,0.41954022988505746,-97.0564189217609,-97.12297207208663,-0.22605025272497,True,12,12,False,False
7,100.0,0.05,2.0,20.0,0.10448847933361473,0.2371246301578966,0.4869544436165426,0.2705669965885242,0.0036392823551013617,902,109,45,748,857,0.12718786464410736,0.8728121353558926,-0.09793004673657388,-0.0303230576929208,0.4743817234063048,1.2871531286234297,-6.605743371962286,-0.10307223122099139,-0.0445431877694338,0.41423570595099185,-88.33290215638957,-89.16820724470566,-0.20643722534963144,True,5,6,False,False
8,100.0,0.05,2.0,40.0,0.10787800818154666,0.2341313068180492,0.48387116758291066,0.26755602930682815,0.03119661758068235,902,79,141,682,761,0.1038107752956636,0.8961892247043364,-0.08949709738447985,0.0,0.45585126732565384,1.2871531286234297,-6.605743371962286,-0.10607934538870016,-0.0472215476954716,0.4244415243101183,-80.72638184080088,-80.79293499112661,-0.1963296009014808,True,2,5,False,False
9,250.0,0.03,1.0,20.0,0.11391879988411596,0.2392352327856857,0.4891167884929791,0.2704782620539294,0.014637654178617641,902,3,49,850,853,0.0035169988276670576,0.9964830011723329,-0.1099830777428677,-0.031383812685686296,0.4745650065540251,0.842011707755408,-6.605743371962286,-0.11630098021578743,-0.0472215476954716,0.4138335287221571,-99.20473612406661,-99.27128927439234,-0.2317555576663596,True,11,13,False,False
10,250.0,0.03,1.0,40.0,0.11429270856393972,0.2388252630915115,0.4886975169688419,0.2698469484234142,0.02046465076324266,902,3,56,843,846,0.0035460992907801418,0.9964539007092199,-0.10650284628499798,-0.0284036675262134,0.4739137553393317,0.842011707755408,-6.605743371962286,-0.11355268008164086,-0.0458398532878406,0.4148936170212766,-96.06556734906809,-96.13212049939382,-0.22473043899884235,True,10,11,False,False
