stage,policy,n_days,n_long,n_flat,n_short,n_trade,long_share_conditional_trade,short_share_conditional_trade,mean_daily_net_pnl,median_daily_net_pnl,std_daily_net_pnl,best_day,worst_day,mean_net_pnl_conditional_trade,median_net_pnl_conditional_trade,trade_hit_rate,cumulative_net_pnl,maximum_drawdown,J
C,FLAT,805,0,805,0,0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,
C,ALWAYS_LONG,805,805,0,0,805,1.0,0.0,-0.12014825138012426,-0.1333411810640159,0.34398061558858223,2.212555196389403,-0.9228305152907426,-0.12014825138012426,-0.1333411810640159,0.28322981366459626,-96.71934236099986,-97.04968990869241,-0.3492878549988628
C,ALWAYS_SHORT,805,0,0,805,805,0.0,1.0,0.02725002627306059,0.046231581667427,0.347543397816676,0.8486600968413252,-2.3763111754967845,0.02725002627306059,0.046231581667427,0.5826086956521739,21.936271149813763,-14.51977978814272,0.07840754980313158
C,BASE,805,67,33,705,772,0.08678756476683938,0.9132124352331606,0.07251738199757105,0.0498625578489384,0.3226487124881333,2.212555196389403,-2.179184350445533,0.07561721827466929,0.062354425474410155,0.6113989637305699,58.376492508044635,-3.4014417681677713,0.22475645862135019
C,GATE_ONLY,805,3,742,60,63,0.047619047619047616,0.9523809523809523,0.005112560260043115,0.0,0.08502512575107533,1.0883760551040151,-0.6271879462876822,0.06532715887832867,0.0208119526019917,0.5396825396825397,4.115611009334706,-1.1955978097799767,0.06012999351522224
C,HIDDEN_AWARE,805,5,741,59,64,0.078125,0.921875,0.00413622116113428,0.0,0.09184457862667933,1.0883760551040151,-0.8752291393748164,0.05202590679239212,0.0232255864127778,0.546875,3.3296580347130957,-1.2471345735254429,0.04503500612645608
C,GATED_ALWAYS_LONG,805,68,737,0,68,1.0,0.0,-0.009731866901356308,0.0,0.09966751430734305,1.0883760551040151,-0.7264262045471439,-0.1152081302292916,-0.10898519487585176,0.29411764705882354,-7.834152855591831,-9.369150923565869,-0.09764331907933725
C,GATED_ALWAYS_SHORT,805,0,737,68,68,0.0,1.0,9.541314822402672e-05,0.0,0.09459375914888837,0.6748887618395968,-1.1571291989443246,0.001129523298828551,-0.00185991163459995,0.5,0.07680758432034236,-2.583552423228127,0.001008662189583233
VALIDATION,FLAT,902,0,902,0,0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,
VALIDATION,ALWAYS_LONG,902,902,0,0,902,1.0,0.0,-0.015630561325595895,-0.07729636227604506,0.47453287383723347,6.470851230095372,-0.9548523480943636,-0.015630561325595895,-0.07729636227604506,0.3647450110864745,-14.098766315687502,-29.327063530429548,-0.03293883772308941
VALIDATION,ALWAYS_SHORT,902,0,0,902,902,0.0,1.0,-0.1136732345087838,-0.04728869459296265,0.47881721064544114,0.842011707755408,-6.605743371962286,-0.1136732345087838,-0.04728869459296265,0.4146341463414634,-102.53325752692297,-102.5998106772487,-0.23740423690191367
VALIDATION,BASE,902,172,106,624,796,0.21608040201005024,0.7839195979899497,-0.0858563699387178,-0.011675381955137551,0.4547394756563852,2.1017324897851224,-6.605743371962286,-0.09728950462904956,-0.0500143189249373,0.4082914572864322,-77.44244568472345,-78.14715948340938,-0.18880342379510826
VALIDATION,GATE_ONLY,902,7,870,25,32,0.21875,0.78125,-0.005034039871870908,0.0,0.07201848080873753,0.5560850977377229,-0.9779399401484464,-0.14189699888836121,-0.038238277578980254,0.4375,-4.540703964427558,-4.6516213651113105,-0.06989927884260731
VALIDATION,HIDDEN_AWARE,902,4,868,30,34,0.11764705882352941,0.8823529411764706,-0.005598708157602973,0.0,0.07227991399802511,0.5560850977377229,-0.9779399401484464,-0.14853043406346708,-0.0533371257095953,0.38235294117647056,-5.05003475815788,-5.100255310459534,-0.07745869976762763
VALIDATION,GATED_ALWAYS_LONG,902,34,868,0,34,1.0,0.0,0.0016070187696017187,0.0,0.06696726723438126,0.9003630835391975,-0.6734770593405475,0.042633262652375006,-0.019349243540571,0.47058823529411764,1.4495309301807513,-1.993135687112129,0.023997078512659822
VALIDATION,GATED_ALWAYS_SHORT,902,0,868,34,34,0.0,1.0,-0.005894028867639696,0.0,0.07244484966846633,0.5560850977377229,-0.9779399401484464,-0.15636511878267662,-0.053147711936411254,0.35294117647058826,-5.316414038611005,-5.36663459091266,-0.08135883909778115
