model,feature,importance
BASE,Q_t,0.15921594491393182
BASE,R_t,0.2164202352220409
BASE,I_t,0.1547604798965486
BASE,Fhat_R_adm_t1,0.13835390706308312
BASE,Fhat_I_adm_t1,0.14088001941945683
BASE,S_t1_given_t,0.19036941348493866
HIDDEN_AWARE,Q_t,0.1068797603202868
HIDDEN_AWARE,R_t,0.10121712489208173
HIDDEN_AWARE,I_t,0.06173455975345
HIDDEN_AWARE,Fhat_R_adm_t1,0.09873615197407623
HIDDEN_AWARE,Fhat_I_adm_t1,0.04682411397754135
HIDDEN_AWARE,S_t1_given_t,0.10550173238788754
HIDDEN_AWARE,Delta_L_t,0.12791748122188662
HIDDEN_AWARE,common_log_response_t,0.08151345435005405
HIDDEN_AWARE,P_R_t,0.08539859374498823
HIDDEN_AWARE,P_I_prev_t,0.18427702737774745
