candidate_id,n_estimators,learning_rate,max_depth,min_samples_leaf,C_training_MSE,VALIDATION_MSE,VALIDATION_RMSE,VALIDATION_MAE,VALIDATION_prediction_target_correlation,winner
1,100.0,0.03,1.0,20.0,0.1157352155124959,0.24054675384552268,0.4904556594081902,0.2714327694102781,0.005801691072103695,False
2,100.0,0.03,1.0,40.0,0.11594186113403807,0.24013088904128918,0.4900315184162027,0.271028758357214,0.0207197435432851,False
3,100.0,0.03,2.0,20.0,0.1086770516395765,0.23741890591622622,0.48725650936260073,0.2697302614548278,0.0087907902077113,False
4,100.0,0.03,2.0,40.0,0.11089535788799858,0.23559430255009586,0.4853805749616437,0.2676679596415143,0.02672722652150679,False
5,100.0,0.05,1.0,20.0,0.11481817573123944,0.2402918005690351,0.4901956757959367,0.2712607012366598,0.009961943579723022,False
6,100.0,0.05,1.0,40.0,0.11511135041921763,0.23989247461283503,0.48978819362336107,0.27077546958571347,0.020226841079488873,False
7,100.0,0.05,2.0,20.0,0.10448847933361473,0.2371246301578966,0.4869544436165426,0.2705669965885242,0.0036392823551013617,False
8,100.0,0.05,2.0,40.0,0.10787800818154666,0.2341313068180492,0.48387116758291066,0.26755602930682815,0.03119661758068235,False
9,250.0,0.03,1.0,20.0,0.11391879988411596,0.2392352327856857,0.4891167884929791,0.2704782620539294,0.014637654178617641,False
10,250.0,0.03,1.0,40.0,0.11429270856393972,0.2388252630915115,0.4886975169688419,0.2698469484234142,0.02046465076324266,False
11,250.0,0.03,2.0,20.0,0.10067031519057644,0.23813706413048252,0.4879928935245702,0.27258388460922217,0.006206377739220576,False
12,250.0,0.03,2.0,40.0,0.10530211517840773,0.2338657069467221,0.4835966366164286,0.2684097580420296,0.03355856217152867,True
13,250.0,0.05,1.0,20.0,0.11236469308492456,0.23777291510725976,0.48761964183906675,0.2694012010888646,0.018244220589306945,False
14,250.0,0.05,1.0,40.0,0.11290141411171073,0.23723696861030416,0.4870697779685208,0.2684251640422782,0.02445713343920928,False
15,250.0,0.05,2.0,20.0,0.09462907773332116,0.24002045931740223,0.48991882931502256,0.27526516491772884,0.0037954533419070355,False
16,250.0,0.05,2.0,40.0,0.10097023852116256,0.2348560885998679,0.48461952973427297,0.2717140804113916,0.029458372580956214,False
