decision_model_day,stage,G_t,c_entry_L,c_entry_S,z_FLAT,z_ALWAYS_LONG,z_ALWAYS_SHORT,z_BASE,z_GATE_ONLY,z_HIDDEN_AWARE,z_GATED_ALWAYS_LONG,z_GATED_ALWAYS_SHORT
2012-08-29,C,0,0.0143963863506424,0.0143963870355837,0,1,-1,-1,0,0,0,0
2012-08-30,C,0,0.0119192050022803,0.0119192056871412,0,1,-1,-1,0,0,0,0
2012-09-03,C,1,0.0145594359819514,0.0145594366668422,0,1,-1,-1,-1,-1,1,-1
2012-09-04,C,0,0.0173799556444724,0.0173799563294727,0,1,-1,-1,0,0,0,0
2012-09-05,C,0,0.0156353921468132,0.0156353928318336,0,1,-1,-1,0,0,0,0
2012-09-06,C,0,0.0093210356841571,0.0093210363690252,0,1,-1,1,0,0,0,0
2012-09-10,C,0,0.0158608508862514,0.0158608515711765,0,1,-1,-1,0,0,0,0
2012-09-11,C,0,0.0116397730676332,0.011639773752563,0,1,-1,-1,0,0,0,0
2012-09-12,C,0,0.0113410997017291,0.0113411003866621,0,1,-1,-1,0,0,0,0
2012-09-13,C,0,0.0097971666123421,0.009797167297284,0,1,-1,-1,0,0,0,0
2012-09-17,C,0,0.0093145182920975,0.009314518976914,0,1,-1,-1,0,0,0,0
2012-09-18,C,0,0.0068688077831257,0.0068688084680784,0,1,-1,-1,0,0,0,0
2012-09-19,C,0,0.0112835349065813,0.0112835355914921,0,1,-1,-1,0,0,0,0
2012-09-20,C,1,0.0121078816774175,0.0121078823624129,0,1,-1,-1,-1,-1,1,-1
2012-09-24,C,0,0.0133102936392479,0.013310294324242,0,1,-1,-1,0,0,0,0
2012-09-25,C,0,0.0135260524040656,0.0135260530889373,0,1,-1,-1,0,0,0,0
2012-09-26,C,0,0.0124416746783857,0.0124416753632324,0,1,-1,-1,0,0,0,0
2012-09-27,C,1,0.0128591400199538,0.0128591407048751,0,1,-1,-1,-1,-1,1,-1
2012-10-01,C,0,0.0120725502922402,0.0120725509772163,0,1,-1,-1,0,0,0,0
2012-10-02,C,1,0.012720662819326,0.0127206635042877,0,1,-1,-1,-1,-1,1,-1
