stage,model,MSE,RMSE,MAE,correlation
C,BASE,0.10530211517840773,0.324502873913942,0.23197946834860483,0.3991295045302058
C,HIDDEN_AWARE,0.10024675872243734,0.316617685422715,0.226362564248057,0.4779202691276131
C,BASE+NOISE_19,0.10090670001109245,0.3176581496059757,0.22724953143578522,0.47113628832737514
C,BASE+NOISE_119,0.1014766778079157,0.31855404220934896,0.22958244464228791,0.47703635022046253
C,BASE+NOISE_219,0.10236410766769126,0.3199439133155861,0.22799310524268526,0.4748936662353857
VALIDATION,BASE,0.2338657069467221,0.4835966366164286,0.2684097580420296,0.03355856217152867
VALIDATION,HIDDEN_AWARE,0.23595284045105455,0.4857497714369555,0.27123210786293117,0.06654749788524097
VALIDATION,BASE+NOISE_19,0.24047613722821737,0.4903836632966247,0.2739502961880171,0.012930734818615144
VALIDATION,BASE+NOISE_119,0.24013644153769373,0.4900371838316902,0.2723997064278228,-0.015284489650474676
VALIDATION,BASE+NOISE_219,0.23702340882847805,0.48685049946413533,0.2685485691080045,0.01834628043521022
