event_family,offset,version,raw_shifted_count,valid_IV_count,other_primary_contaminated_count,clean_shifted_count,median_response_ratio,ordinary_null,median_to_null
BoJ,-2,UNFILTERED,221,184,67,184,0.9482413677416837,1.0714667266508204,0.8849937605675229
FOMC,-2,UNFILTERED,189,135,26,151,1.1007977410153913,1.0714667266508204,1.027374638553876
JPY GDP,-2,UNFILTERED,174,133,23,137,1.049221509455598,1.0714667266508204,0.979238536632158
JPY National CPI,-2,UNFILTERED,277,204,52,221,0.9967230505998975,1.0714667266508204,0.9302417198856413
US CPI,-2,UNFILTERED,277,207,55,223,0.9758222274775246,1.0714667266508204,0.9107349796365022
US Employment,-2,UNFILTERED,276,213,38,222,0.9892089924779075,1.0714667266508204,0.9232288487109317
BoJ,-2,CLEAN_NO_OTHER_PRIMARY,221,129,67,129,0.9437826148288988,1.0714667266508204,0.8808324060411701
FOMC,-2,CLEAN_NO_OTHER_PRIMARY,189,117,26,127,1.1133149804726532,1.0714667266508204,1.0390569793544981
JPY GDP,-2,CLEAN_NO_OTHER_PRIMARY,174,114,23,118,1.066977985740901,1.0714667266508204,0.9958106576730102
JPY National CPI,-2,CLEAN_NO_OTHER_PRIMARY,277,166,52,182,0.9862382032402034,1.0714667266508204,0.9204562108269816
US CPI,-2,CLEAN_NO_OTHER_PRIMARY,277,168,55,182,0.9355003577900725,1.0714667266508204,0.8731025747428012
US Employment,-2,CLEAN_NO_OTHER_PRIMARY,276,186,38,193,0.9454796289120048,1.0714667266508204,0.882416229449677
BoJ,-1,UNFILTERED,221,184,40,184,1.2553083659654036,1.0714667266508204,1.171579419819441
FOMC,-1,UNFILTERED,189,144,32,152,0.9688944360670898,1.0714667266508204,0.9042692712406012
JPY GDP,-1,UNFILTERED,174,131,41,137,1.010929025882462,1.0714667266508204,0.9435001579959589
JPY National CPI,-1,UNFILTERED,277,208,21,221,0.9511330657725732,1.0714667266508204,0.8876925826204749
US CPI,-1,UNFILTERED,277,215,28,223,1.0059344836233821,1.0714667266508204,0.938838751220695
US Employment,-1,UNFILTERED,276,207,13,222,1.5598672299866028,1.0714667266508204,1.4558242371766592
BoJ,-1,CLEAN_NO_OTHER_PRIMARY,221,151,40,151,1.2586044017593983,1.0714667266508204,1.1746556103459516
FOMC,-1,CLEAN_NO_OTHER_PRIMARY,189,121,32,129,0.9944429206249817,1.0714667266508204,0.9281136743587
JPY GDP,-1,CLEAN_NO_OTHER_PRIMARY,174,102,41,107,1.0198673565256324,1.0714667266508204,0.951842302852953
JPY National CPI,-1,CLEAN_NO_OTHER_PRIMARY,277,191,21,204,0.9615432750316679,1.0714667266508204,0.8974084319325994
US CPI,-1,CLEAN_NO_OTHER_PRIMARY,277,192,28,199,0.9800334919389475,1.0714667266508204,0.914665353167173
US Employment,-1,CLEAN_NO_OTHER_PRIMARY,276,198,13,213,1.5545607457221058,1.0714667266508204,1.4508716948974567
BoJ,0,UNFILTERED,221,184,56,184,0.8275071180059073,1.0714667266508204,0.7723124735683771
FOMC,0,UNFILTERED,189,141,26,152,1.2199753965243398,1.0714667266508204,1.138603156010011
JPY GDP,0,UNFILTERED,174,130,17,136,0.9150472674227981,1.0714667266508204,0.8540137035174609
JPY National CPI,0,UNFILTERED,277,194,24,221,0.9622072237959503,1.0714667266508204,0.8980280953787595
US CPI,0,UNFILTERED,277,208,33,223,0.8692684057322406,1.0714667266508204,0.811288287457503
US Employment,0,UNFILTERED,276,200,13,222,0.808412710398122,1.0714667266508204,0.7544916610943674
BoJ,0,CLEAN_NO_OTHER_PRIMARY,221,138,56,138,0.8698712737645011,1.0714667266508204,0.8118509442505375
FOMC,0,CLEAN_NO_OTHER_PRIMARY,189,119,26,129,1.2138272458230845,1.0714667266508204,1.1328650863636738
JPY GDP,0,CLEAN_NO_OTHER_PRIMARY,174,115,17,121,0.9150472674227981,1.0714667266508204,0.8540137035174609
JPY National CPI,0,CLEAN_NO_OTHER_PRIMARY,277,178,24,205,0.9839193810212079,1.0714667266508204,0.9182920538248844
US CPI,0,CLEAN_NO_OTHER_PRIMARY,277,179,33,193,0.8594691106974071,1.0714667266508204,0.8021426044501883
US Employment,0,CLEAN_NO_OTHER_PRIMARY,276,189,13,211,0.808412710398122,1.0714667266508204,0.7544916610943674
BoJ,1,UNFILTERED,221,183,53,184,0.8565862375235509,1.0714667266508204,0.7994520186371622
FOMC,1,UNFILTERED,189,145,30,152,0.9536640032046355,1.0714667266508204,0.8900547067715192
JPY GDP,1,UNFILTERED,174,133,20,136,1.0018889615760327,1.0714667266508204,0.9350630651011691
JPY National CPI,1,UNFILTERED,277,204,4,221,1.0209056102191072,1.0714667266508204,0.9528113051258655
US CPI,1,UNFILTERED,277,210,31,223,0.8668661886544323,1.0714667266508204,0.80904629802558
US Employment,1,UNFILTERED,276,209,30,222,0.8568398760226814,1.0714667266508204,0.7996887394730237
BoJ,1,CLEAN_NO_OTHER_PRIMARY,221,140,53,141,0.8275594130378381,1.0714667266508204,0.7723612805267549
FOMC,1,CLEAN_NO_OTHER_PRIMARY,189,122,30,127,0.963678137919587,1.0714667266508204,0.8994008996731444
JPY GDP,1,CLEAN_NO_OTHER_PRIMARY,174,119,20,121,1.0285049801480037,1.0714667266508204,0.959903797818243
JPY National CPI,1,CLEAN_NO_OTHER_PRIMARY,277,201,4,218,1.0306399411182212,1.0714667266508204,0.9618963570990066
US CPI,1,CLEAN_NO_OTHER_PRIMARY,277,187,31,200,0.868538187912145,1.0714667266508204,0.810606775095119
US Employment,1,CLEAN_NO_OTHER_PRIMARY,276,188,30,200,0.8502082989408213,1.0714667266508204,0.7934994879387376
