model,target,split,regime,n,share,RMSE,MAE,mean_error,nonpositive_rate
GB,R,test,LE_P50,668,0.14167550371155885,0.00383074370887405,0.0027323923749578783,-0.002409240894102801,0.0
GB,R,test,P50_P90,398,0.08441145281018028,0.0053817882212146215,0.0038653580386911815,0.0008963698644131761,0.0
GB,R,test,P90_P95,51,0.010816542948038176,0.01650502518722756,0.013476118650833632,0.007291036454282563,0.0
GB,R,test,P95_P99,41,0.008695652173913044,0.032567997868594954,0.030256515478234807,0.025449521539498244,0.0
GB,R,test,GT_P99,11,0.0023329798515376457,0.1322277603443565,0.11544935511834105,0.11544935511834105,0.0
GB,R,validation,LE_P50,999,0.2120568881341541,0.0024583879320849798,0.001877409468707597,-0.0016039399907474754,0.0
GB,R,validation,P50_P90,151,0.032052642751008276,0.005545696209301015,0.004476640442439127,0.0035084561172328242,0.0
GB,R,validation,P90_P95,7,0.0014858841010401188,0.017584188556580654,0.0170724564368248,0.014443503369542882,0.0
GB,R,validation,P95_P99,8,0.0016981532583315645,0.019494041610553143,0.01696811496554455,0.011154568900578124,0.0
GB,R,validation,GT_P99,3,0.0006368074718743367,0.06528203502422991,0.051794078608301826,0.051794078608301826,0.0
MLP,R,test,LE_P50,677,0.14358430540827147,0.003660625973240117,0.002752104178615001,-0.0025056725332867993,0.0
MLP,R,test,P50_P90,401,0.08504772004241781,0.005073693257775683,0.0036779489102402776,0.0006440550092693776,0.0
MLP,R,test,P90_P95,51,0.010816542948038176,0.013001833668319356,0.011507136996891819,0.008580933011431563,0.0
MLP,R,test,P95_P99,42,0.008907741251325556,0.030347303411625014,0.027596315810842414,0.026553579902186198,0.0
MLP,R,test,GT_P99,11,0.0023329798515376457,0.1315275071070649,0.11609168955200476,0.11609168955200476,0.0
MLP,R,validation,LE_P50,1008,0.2139673105497771,0.0018881980695522515,0.0013108122891777002,-0.0007670160699746429,0.0
MLP,R,validation,P50_P90,154,0.03268945022288262,0.005932348227538054,0.004751283152839108,0.003709728612159557,0.0
MLP,R,validation,P90_P95,7,0.0014858841010401188,0.01886557024420887,0.018693801237963027,0.013729108781464855,0.0
MLP,R,validation,P95_P99,8,0.0016981532583315645,0.018918690308971517,0.014617802412187776,0.002776181623483201,0.0
MLP,R,validation,GT_P99,4,0.0008490766291657822,0.08692405317278491,0.07539742052087504,0.07539742052087504,0.0
RF,R,test,LE_P50,677,0.14358430540827147,0.00374336289559406,0.002687092602825011,-0.0023054112907576903,0.0
RF,R,test,P50_P90,401,0.08504772004241781,0.0054180367118221075,0.003970535481833583,0.0007107291955346671,0.0
RF,R,test,P90_P95,51,0.010816542948038176,0.01363830188239825,0.011399312147668862,0.008102627032603869,0.0
RF,R,test,P95_P99,42,0.008907741251325556,0.030785938455012936,0.027811468773409103,0.025211712302198562,0.0
RF,R,test,GT_P99,11,0.0023329798515376457,0.133927196434802,0.11931959541505961,0.11931959541505961,0.0
RF,R,validation,LE_P50,1008,0.2139673105497771,0.002087218135234517,0.0014930653004047202,-0.0009376475766240122,0.0
RF,R,validation,P50_P90,154,0.03268945022288262,0.0059407568346603904,0.004700559502564354,0.0034599549749059887,0.0
RF,R,validation,P90_P95,7,0.0014858841010401188,0.017440346911816125,0.01699861673273509,0.013717757980258717,0.0
RF,R,validation,P95_P99,8,0.0016981532583315645,0.02185349955307169,0.016303085883396372,-0.0010805537982574494,0.0
RF,R,validation,GT_P99,4,0.0008490766291657822,0.0869311859702346,0.07275998974303882,0.07275998974303882,0.0
TRANSFORMER,R,test,LE_P50,677,0.14358430540827147,0.003378173359235769,0.002461941019706115,-0.0021046124105736177,0.0
TRANSFORMER,R,test,P50_P90,401,0.08504772004241781,0.005043855848424353,0.0037823682661288723,0.0009776972926681747,0.0
TRANSFORMER,R,test,P90_P95,51,0.010816542948038176,0.013228444018084748,0.011590116675586381,0.009019736256799811,0.0
TRANSFORMER,R,test,P95_P99,42,0.008907741251325556,0.031168938298360836,0.028572102821491766,0.02663656445224397,0.0
TRANSFORMER,R,test,GT_P99,11,0.0023329798515376457,0.13311044566402735,0.11743425318792843,0.11743425318792843,0.0
TRANSFORMER,R,validation,LE_P50,1008,0.2139673105497771,0.0019740340920137,0.0014064752775037937,-0.0009424969397424061,0.0
TRANSFORMER,R,validation,P50_P90,154,0.03268945022288262,0.005650416910469005,0.0044789379424982545,0.003456299078608683,0.0
TRANSFORMER,R,validation,P90_P95,7,0.0014858841010401188,0.018144739099369256,0.017898267956078972,0.013682066148191058,0.0
TRANSFORMER,R,validation,P95_P99,8,0.0016981532583315645,0.02050255935479947,0.01631437238284896,0.0024988966250364866,0.0
TRANSFORMER,R,validation,GT_P99,4,0.0008490766291657822,0.0874694333693437,0.07554922842884378,0.07554922842884378,0.0
GB,I,test,LE_P50,806,0.17098005939753924,0.0036599446356950713,0.0024547429086970735,-0.0019185240365555238,0.0
GB,I,test,P50_P90,342,0.07254985150615188,0.009347276842981905,0.005768673702537092,-0.00034096445630392094,0.0
GB,I,test,P90_P95,36,0.007636826474331778,0.015477277261341677,0.013173462176472271,0.01045086915681822,0.0
GB,I,test,P95_P99,18,0.003818413237165889,0.036444514193710746,0.03411239139532894,0.031298950669265344,0.0
GB,I,test,GT_P99,6,0.0012728044123886295,0.12422365953960855,0.11801889749271342,0.11801889749271342,0.0
GB,I,validation,LE_P50,1155,0.24491094147582698,0.0035204389046544176,0.0031042622334768234,-0.0029832233836575733,0.0
GB,I,validation,P50_P90,37,0.007845631891433419,0.007340803778900977,0.005801308725151205,0.0037704032399244482,0.0
GB,I,validation,P90_P95,4,0.0008481764206955047,0.015463341160887158,0.014295289135041,0.003912298411941201,0.0
GB,I,validation,P95_P99,11,0.002332485156912638,0.021598054886945783,0.014691655009254416,0.010347815239116822,0.0
GB,I,validation,GT_P99,2,0.00042408821034775233,0.07099275310500829,0.06530838979034734,0.06530838979034734,0.0
MLP,I,test,LE_P50,766,0.16249469664828173,0.003089146513153107,0.0023098544689995845,-0.001551846789135554,0.0
MLP,I,test,P50_P90,334,0.07085277895630038,0.009127684403459293,0.006107387821192271,-0.00019725987427520733,0.0029940119760479044
MLP,I,test,P90_P95,33,0.007000424268137463,0.01588055055246475,0.013561193415016503,0.009416953821983294,0.0
MLP,I,test,P95_P99,18,0.003818413237165889,0.0361631311963349,0.033134496178991654,0.03074702440595924,0.0
MLP,I,test,GT_P99,5,0.0010606703436571913,0.1299547761348712,0.12285400723191273,0.12285400723191273,0.0
MLP,I,validation,LE_P50,1104,0.2340966921119593,0.002076573494870769,0.0016076949740784533,-0.0011962883028585635,0.0009057971014492754
MLP,I,validation,P50_P90,35,0.007421543681085666,0.007846875540129673,0.006001338812150598,0.0028713266171788037,0.0
MLP,I,validation,P90_P95,4,0.0008481764206955047,0.01033427324708756,0.01015449218106,0.0013602265289252525,0.0
MLP,I,validation,P95_P99,10,0.0021204410517387615,0.018158704050858933,0.01030757610586037,0.002018202120652472,0.0
MLP,I,validation,GT_P99,2,0.00042408821034775233,0.06949918808237437,0.0592751255125158,0.0592751255125158,0.0
RF,I,test,LE_P50,806,0.17098005939753924,0.0032520438204724747,0.00228072803563304,-0.0016732304269855198,0.0
RF,I,test,P50_P90,342,0.07254985150615188,0.010453688464180752,0.006129867123770671,-0.0006669501419659674,0.0
RF,I,test,P90_P95,36,0.007636826474331778,0.015878829970075677,0.014144509506175866,0.010699851098225055,0.0
RF,I,test,P95_P99,18,0.003818413237165889,0.03570112118058561,0.03301339774657325,0.030092609290013166,0.0
RF,I,test,GT_P99,6,0.0012728044123886295,0.12394950187636045,0.11770268087587064,0.11770268087587064,0.0
RF,I,validation,LE_P50,1155,0.24491094147582698,0.0021309811165777215,0.001616976015090644,-0.001274323563065379,0.0
RF,I,validation,P50_P90,37,0.007845631891433419,0.00787208322570981,0.006220771501694524,0.003955030792144444,0.0
RF,I,validation,P90_P95,4,0.0008481764206955047,0.016959650698723898,0.01484003028004558,0.004199143886107124,0.0
RF,I,validation,P95_P99,11,0.002332485156912638,0.021962504826088868,0.014916646386012445,0.008767664095180356,0.0
RF,I,validation,GT_P99,2,0.00042408821034775233,0.07243828715294226,0.0657507602255866,0.0657507602255866,0.0
TRANSFORMER,I,test,LE_P50,753,0.159736953754773,0.0028611679560797396,0.002028522750396592,-0.0011583361121069728,0.0
TRANSFORMER,I,test,P50_P90,334,0.07085277895630038,0.007214605531720848,0.0051723793516303814,0.0007216526084933799,0.0
TRANSFORMER,I,test,P90_P95,32,0.0067882901994060245,0.01578464429715639,0.013220004090820444,0.011098128093989386,0.0
TRANSFORMER,I,test,P95_P99,18,0.003818413237165889,0.036907617030770376,0.03399694189574619,0.03399694189574619,0.0
TRANSFORMER,I,test,GT_P99,5,0.0010606703436571913,0.1306352458624024,0.12370283120395915,0.12370283120395915,0.0
TRANSFORMER,I,validation,LE_P50,1092,0.23155216284987276,0.0016818105459790976,0.0011845967400147639,-0.0005336993372004381,0.0
TRANSFORMER,I,validation,P50_P90,35,0.007421543681085666,0.00792899885220901,0.006100632039335066,0.003230481269450758,0.0
TRANSFORMER,I,validation,P90_P95,4,0.0008481764206955047,0.012550031898976504,0.011516032234099801,0.0016129823534017,0.0
TRANSFORMER,I,validation,P95_P99,10,0.0021204410517387615,0.01959534737086498,0.011263236740600447,0.0060626544302609525,0.0
TRANSFORMER,I,validation,GT_P99,2,0.00042408821034775233,0.06861451563076401,0.05712171773019955,0.05712171773019955,0.0
