seed,case_name,parameter,setting,parameter_value,metric,case_value,benchmark_value,paired_difference
20260721,amplitude_extreme,amplitude,extreme,0.05,conditional_partial_r_squared,0.8202796232835461,0.1138283984766424,0.7064512248069037
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_profile_RMSE,0.0002782333125054,0.0004696308781739,-0.0001913975656685
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_profile_RMSE,0.0006195600118545,0.0009570648767825,-0.00033750486492799996
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_active_MAE_gain_pct,93.9518384693294,26.858509605035696,67.09332886429371
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_active_MAE_gain_pct,93.29901939990984,28.56376748788269,64.73525191202715
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_active_RMSE_gain_pct,93.47154126565052,26.55185443966479,66.91968682598572
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_active_RMSE_gain_pct,92.57539430404502,25.35806910397333,67.21732520007168
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_95_state_coverage_error,0.01593406593406599,0.0049450549450549275,0.010989010989011061
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_95_state_coverage_error,0.037912087912088,0.01593406593406599,0.02197802197802201
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_active_95_state_interval_score,0.0041215473897643,0.0040715106417693,5.003674799500084e-05
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_active_95_state_interval_score,0.0049716170006813,0.0042391382979572,0.0007324787027241002
20260721,amplitude_extreme,amplitude,extreme,0.05,parametric_known_dgp_active_RMSE_gap,9.196788674269997e-05,6.880356553270008e-05,2.3164321209999893e-05
20260721,amplitude_extreme,amplitude,extreme,0.05,nonparametric_known_dgp_active_RMSE_gap,0.00021994127799170005,8.345942388050006e-05,0.0001364818541112
20260721,amplitude_moderate,amplitude,moderate,0.02,conditional_partial_r_squared,0.4193498845417869,0.1138283984766424,0.3055214860651445
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_profile_RMSE,0.0004129767775884,0.0004696308781739,-5.66541005855e-05
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_profile_RMSE,0.0008525558981508,0.0009570648767825,-0.00010450897863169999
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_active_MAE_gain_pct,59.8547866696413,26.858509605035696,32.99627706460561
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_active_MAE_gain_pct,60.80719961433627,28.56376748788269,32.243432126453584
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_active_RMSE_gain_pct,58.78108981039421,26.55185443966479,32.22923537072941
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_active_RMSE_gain_pct,57.82247359463821,25.35806910397333,32.464404490664876
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_95_state_coverage_error,0.0049450549450549275,0.0049450549450549275,0.0
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_95_state_coverage_error,0.01593406593406599,0.01593406593406599,0.0
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_active_95_state_interval_score,0.0039702001258529,0.0040715106417693,-0.0001013105159163993
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_active_95_state_interval_score,0.0042120188774599,0.0042391382979572,-2.7119420497299235e-05
20260721,amplitude_moderate,amplitude,moderate,0.02,parametric_known_dgp_active_RMSE_gap,5.7989286740499986e-05,6.880356553270008e-05,-1.0814278792200096e-05
20260721,amplitude_moderate,amplitude,moderate,0.02,nonparametric_known_dgp_active_RMSE_gap,7.875181304389995e-05,8.345942388050006e-05,-4.707610836600113e-06
20260721,amplitude_strong,amplitude,strong,0.03,conditional_partial_r_squared,0.6841344360816062,0.1138283984766424,0.5703060376049638
20260721,amplitude_strong,amplitude,strong,0.03,parametric_profile_RMSE,0.0003610637243849,0.0004696308781739,-0.00010856715378899999
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_profile_RMSE,0.0007611969395432,0.0009570648767825,-0.00019586793723930002
20260721,amplitude_strong,amplitude,strong,0.03,parametric_active_MAE_gain_pct,79.11676771366938,26.858509605035696,52.25825810863368
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_active_MAE_gain_pct,79.24750519549059,28.56376748788269,50.683737707607904
20260721,amplitude_strong,amplitude,strong,0.03,parametric_active_RMSE_gain_pct,77.93620590889181,26.55185443966479,51.38435146922701
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_active_RMSE_gain_pct,77.09417369219393,25.35806910397333,51.7361045882206
20260721,amplitude_strong,amplitude,strong,0.03,parametric_95_state_coverage_error,0.01593406593406599,0.0049450549450549275,0.010989010989011061
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_95_state_coverage_error,0.01593406593406599,0.01593406593406599,0.0
20260721,amplitude_strong,amplitude,strong,0.03,parametric_active_95_state_interval_score,0.0039819888590198,0.0040715106417693,-8.952178274949929e-05
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_active_95_state_interval_score,0.0042987300885071,0.0042391382979572,5.959179054990018e-05
20260721,amplitude_strong,amplitude,strong,0.03,parametric_known_dgp_active_RMSE_gap,6.102452310840004e-05,6.880356553270008e-05,-7.779042424300043e-06
20260721,amplitude_strong,amplitude,strong,0.03,nonparametric_known_dgp_active_RMSE_gap,9.528186232910007e-05,8.345942388050006e-05,1.18224384486e-05
20260721,decay_fast,decay_rate,fast,70.0,conditional_partial_r_squared,0.0809372710419734,0.1138283984766424,-0.032891127434669
20260721,decay_fast,decay_rate,fast,70.0,parametric_profile_RMSE,0.0004691884102374,0.0004696308781739,-4.424679365000071e-07
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_profile_RMSE,0.0009922938470688,0.0009570648767825,3.5228970286300086e-05
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_MAE_gain_pct,17.637277988196796,26.858509605035696,-9.2212316168389
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_active_MAE_gain_pct,18.83345982601532,28.56376748788269,-9.730307661867368
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_RMSE_gain_pct,17.133647851221223,26.55185443966479,-9.418206588443567
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_active_RMSE_gain_pct,15.485433100084425,25.35806910397333,-9.872636003888907
20260721,decay_fast,decay_rate,fast,70.0,parametric_95_state_coverage_error,0.0049450549450549275,0.0049450549450549275,0.0
20260721,decay_fast,decay_rate,fast,70.0,nonparametric_95_state_coverage_error,0.0049450549450549275,0.01593406593406599,-0.010989010989011061
20260721,decay_fast,decay_rate,fast,70.0,parametric_active_95_state_interval_score,0.0042480995326612,0.0040715106417693,0.00017658889089190027
