case_name,parameter,setting,parameter_value,profile_method,event_age,profile_quantity,count,mean,median,q05,q25,q75,q95
amplitude_extreme,amplitude,extreme,0.05,nonparametric,0,event_weight,50,1.0499633817030212,1.0500879056393124,1.0480439525750442,1.0488174608706187,1.050934679963536,1.0522441669327482
amplitude_extreme,amplitude,extreme,0.05,nonparametric,0,volatility_multiplier,50,1.0246769774770998,1.024737969250976,1.0237401777766515,1.024117894015058,1.0251510520664338,1.0257895331033746
amplitude_extreme,amplitude,extreme,0.05,nonparametric,1,event_weight,50,1.0436315335845818,1.0435475667120233,1.0416401717470782,1.0427139857022247,1.0443185827861552,1.046326723235949
amplitude_extreme,amplitude,extreme,0.05,nonparametric,1,volatility_multiplier,50,1.0215826537456696,1.021541759648814,1.0206077423686462,1.0211336766889922,1.0219190670132399,1.0229011255072915
amplitude_extreme,amplitude,extreme,0.05,nonparametric,2,event_weight,50,1.0381217737990887,1.037907396394174,1.0359063317114792,1.0372389080365858,1.038996352894593,1.0400339192637849
amplitude_extreme,amplitude,extreme,0.05,nonparametric,2,volatility_multiplier,50,1.0188824111489185,1.0187774027580099,1.0177948220170674,1.0184492662261435,1.0193117053616292,1.0198205328666274
amplitude_extreme,amplitude,extreme,0.05,nonparametric,3,event_weight,50,1.0331263268800428,1.0331674388142502,1.0307305033520786,1.032356368942858,1.0338058054022459,1.0352684286940828
amplitude_extreme,amplitude,extreme,0.05,nonparametric,3,volatility_multiplier,50,1.0164280482937804,1.0164484435250771,1.0152489806136162,1.0160493929638659,1.0167624117803002,1.0174814134296815
amplitude_extreme,amplitude,extreme,0.05,nonparametric,4,event_weight,50,1.028825110502697,1.0287189954206037,1.0264704281791834,1.027621992784227,1.029916589511989,1.0313873030178002
amplitude_extreme,amplitude,extreme,0.05,nonparametric,4,volatility_multiplier,50,1.0143098772458214,1.0142578543241392,1.013148767304166,1.013716919054537,1.0148480617197153,1.0155723804316317
amplitude_extreme,amplitude,extreme,0.05,nonparametric,5,event_weight,50,1.0249579975245173,1.0248707597293207,1.0234842647573261,1.0240294811420818,1.0255520182719684,1.0269334605756126
amplitude_extreme,amplitude,extreme,0.05,nonparametric,5,volatility_multiplier,50,1.012401926562776,1.012359007284831,1.0116739908665486,1.0119434177118127,1.0126954222602123,1.0133772534478676
amplitude_extreme,amplitude,extreme,0.05,nonparametric,6,event_weight,50,1.0219285420762012,1.0219819621206572,1.0196854946535003,1.0208935468121039,1.0229856720878483,1.023945718743715
