case_name,n,state_interpretation,profile_method,event_age,quantity,count,mean,median,q05,q25,q75,q95
n1_reference,1,volatility,nonparametric,0,event_weight,50,1.010050357624491,1.0101466136921469,1.0069683620378442,1.0086772342851291,1.0113129478594631,1.013291809151181
n1_reference,1,volatility,nonparametric,0,state_multiplier,50,1.0050121041891045,1.0050605010328209,1.0034781103811818,1.0043292459316586,1.00564056481654,1.0066239660945624
n1_reference,1,volatility,nonparametric,0,volatility_multiplier,50,1.0050121041891045,1.0050605010328209,1.0034781103811818,1.0043292459316586,1.00564056481654,1.0066239660945624
n1_reference,1,volatility,nonparametric,1,event_weight,50,1.008921065295413,1.0088513985342482,1.0058336362765192,1.0075708547512425,1.0101616149543242,1.012281096609387
n1_reference,1,volatility,nonparametric,1,state_multiplier,50,1.0044501450589576,1.0044159487183237,1.0029125607973053,1.0037782875932113,1.0050679652202137,1.006121789288848
n1_reference,1,volatility,nonparametric,1,volatility_multiplier,50,1.0044501450589576,1.0044159487183237,1.0029125607973053,1.0037782875932113,1.0050679652202137,1.006121789288848
n1_reference,1,volatility,nonparametric,2,event_weight,50,1.0079909798127442,1.0076748253384307,1.0044467465543172,1.0066434854603876,1.009611489706367,1.0113366567813535
n1_reference,1,volatility,nonparametric,2,state_multiplier,50,1.0039870129863744,1.0038300778971285,1.0022208716778231,1.0033162439929604,1.0047942524080464,1.0056523536101285
n1_reference,1,volatility,nonparametric,2,volatility_multiplier,50,1.0039870129863744,1.0038300778971285,1.0022208716778231,1.0033162439929604,1.0047942524080464,1.0056523536101285
n1_reference,1,volatility,nonparametric,3,event_weight,50,1.0067188578354933,1.00673877741563,1.0036745558514228,1.0055338748218758,1.0077647751398953,1.0101133014230816
n1_reference,1,volatility,nonparametric,3,state_multiplier,50,1.0033533635782437,1.0033637311231494,1.0018355914734811,1.0027631199707192,1.003874879323197,1.005043917763835
n1_reference,1,volatility,nonparametric,3,volatility_multiplier,50,1.0033533635782437,1.0033637311231494,1.0018355914734811,1.0027631199707192,1.003874879323197,1.005043917763835
n1_reference,1,volatility,nonparametric,4,event_weight,50,1.0058656625642666,1.0055475555351951,1.0017833668785452,1.0044380759761766,1.00749953219984,1.010272058690165
n1_reference,1,volatility,nonparametric,4,state_multiplier,50,1.0029277349657806,1.0027699395269951,1.000891252429951,1.002216581365781,1.003742760700961,1.0051228911374708
n1_reference,1,volatility,nonparametric,4,volatility_multiplier,50,1.0029277349657806,1.0027699395269951,1.000891252429951,1.002216581365781,1.003742760700961,1.0051228911374708
n1_reference,1,volatility,nonparametric,5,event_weight,50,1.0050261121461,1.0048751117526318,1.0025418838832334,1.0034948375115131,1.0061154352917554,1.008461026130632
n1_reference,1,volatility,nonparametric,5,state_multiplier,50,1.0025093578105297,1.0024345904978076,1.0012701352904514,1.0017458940138122,1.003053056805903,1.0042216015516916
n1_reference,1,volatility,nonparametric,5,volatility_multiplier,50,1.0025093578105297,1.0024345904978076,1.0012701352904514,1.0017458940138122,1.003053056805903,1.0042216015516916
n1_reference,1,volatility,nonparametric,6,event_weight,50,1.0046112977953419,1.0045378321070872,1.000987422112528,1.0032715902193516,1.006285253559684,1.007993985290741
n1_reference,1,volatility,nonparametric,6,state_multiplier,50,1.002302418797849,1.0022663454797238,1.0004935892107365,1.0016344581850496,1.0031377041860305,1.003989033866478
n1_reference,1,volatility,nonparametric,6,volatility_multiplier,50,1.002302418797849,1.0022663454797238,1.0004935892107365,1.0016344581850496,1.0031377041860305,1.003989033866478
n1_reference,1,volatility,nonparametric,7,event_weight,50,1.0038982459896635,1.0041968721167658,1.0007003966685861,1.002194997641353,1.005431013990375,1.0079120178083965
n1_reference,1,volatility,nonparametric,7,state_multiplier,50,1.0019465376493653,1.0020962366366164,1.000350136349367,1.0010968972260132,1.0027118296380115,1.0039482126242092
n1_reference,1,volatility,nonparametric,7,volatility_multiplier,50,1.0019465376493653,1.0020962366366164,1.000350136349367,1.0010968972260132,1.0027118296380115,1.0039482126242092
n1_reference,1,volatility,nonparametric,8,event_weight,50,1.003298170388649,1.0034714201430524,1.0006207685223627,1.0017832312263208,1.004438416962216,1.0064131938544545
n1_reference,1,volatility,nonparametric,8,state_multiplier,50,1.001647274959121,1.0017342056484528,1.000310335081145,1.0008912181800178,1.0022167514872138,1.003201441467868
n1_reference,1,volatility,nonparametric,8,volatility_multiplier,50,1.001647274959121,1.0017342056484528,1.000310335081145,1.0008912181800178,1.0022167514872138,1.003201441467868
n1_reference,1,volatility,nonparametric,9,event_weight,50,1.002909427526997,1.0029118707578901,1.0005867218565825,1.0017033961450212,1.003998381658979,1.0056273730685144
