seed,case_name,n,state_interpretation,event_age,profile_method,event_weight,state_multiplier,volatility_multiplier,parameter_family,parameter_level,varied_parameter,parameter_value,benchmark_value
20260721,n2_amplitude_high,2,variance,0,nonparametric,1.0294971249283018,1.0294971249283018,1.0146413774966512,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,1,nonparametric,1.0252723739090768,1.0252723739090768,1.0125573435164434,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,2,nonparametric,1.0226667836040846,1.0226667836040846,1.011269886629719,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,3,nonparametric,1.0203662168120655,1.0203662168120655,1.01013178190376,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,4,nonparametric,1.0172529374632586,1.0172529374632586,1.0085895783039098,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,5,nonparametric,1.0148507713799697,1.0148507713799697,1.0073980203375277,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,6,nonparametric,1.0130449942793052,1.0130449942793052,1.00650136327742,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,7,nonparametric,1.0109649039068762,1.0109649039068762,1.0054675051471709,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,8,nonparametric,1.009943043149948,1.009943043149948,1.0049592246205554,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,9,nonparametric,1.0089380888772688,1.0089380888772688,1.0044591026404552,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,10,nonparametric,1.0071167876713998,1.0071167876713998,1.0035520851811328,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,11,nonparametric,1.006050825018383,1.006050825018383,1.003020849742608,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,12,nonparametric,1.0055409567137208,1.0055409567137208,1.0027666511774915,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,0,parametric,1.0296163405812029,1.0296163405812029,1.0147001234755038,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,1,parametric,1.025805248444973,1.025805248444973,1.012820442351443,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,2,parametric,1.022484575549804,1.022484575549804,1.01117979387931,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,3,parametric,1.019591213730528,1.019591213730528,1.0097480941950463,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,4,parametric,1.0170701757115703,1.0170701757115703,1.0084989715966846,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,5,parametric,1.0148735500940316,1.0148735500940316,1.0074093259911938,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,6,parametric,1.0129595908172004,1.0129595908172004,1.0064589364783842,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,7,parametric,1.011291923790048,1.011291923790048,1.005630112809898,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,8,parametric,1.009838855615026,1.009838855615026,1.004907386585961,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,9,parametric,1.0085727712667212,1.0085727712667212,1.0042772382498375,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,10,parametric,1.0074696092784694,1.0074696092784694,1.003727856183373,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,11,parametric,1.0065084044630457,1.0065084044630457,1.0032489244763962,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,12,parametric,1.0056708894770026,1.0056708894770026,1.002831436222959,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,0,truth,1.0299999999999998,1.0299999999999998,1.014889156509222,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,1,truth,1.0261097417750016,1.0261097417750016,1.0129707507006318,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,2,truth,1.0227239538519088,1.0227239538519088,1.011298152797635,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,3,truth,1.0197772189060132,1.0197772189060132,1.0098401947367777,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,4,truth,1.0172126026221229,1.0172126026221229,1.008569582439468,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,5,truth,1.014980553657978,1.014980553657978,1.007462432876769,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,6,truth,1.0130379462552124,1.0130379462552124,1.0064978620221765,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,7,truth,1.011347246999998,1.011347246999998,1.0056576191726476,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,8,truth,1.009875789634237,1.009875789634237,1.004925763245344,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,9,truth,1.0085951439058056,1.0085951439058056,1.0042883768648354,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,10,truth,1.0074805662633188,1.0074805662633188,1.0037333143137768,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,11,truth,1.0065105217822017,1.0065105217822017,1.0032499797070529,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_high,2,variance,12,truth,1.005666268085127,1.005666268085127,1.0028291320484897,amplitude,high,events.amplitude,0.03,0.01
20260721,n2_amplitude_low,2,variance,0,nonparametric,1.0043332240446852,1.0043332240446852,1.0021642699900477,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,1,nonparametric,1.0032051246880074,1.0032051246880074,1.0016012802947123,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,2,nonparametric,1.003427955986708,1.003427955986708,1.0017125116452863,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,3,nonparametric,1.0043738844999743,1.0043738844999743,1.0021845561072942,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,4,nonparametric,1.0025430334000442,1.0025430334000442,1.0012707093488975,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,5,nonparametric,1.00195172289042,1.00195172289042,1.000975385756523,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,6,nonparametric,1.001922467731266,1.001922467731266,1.0009607723239038,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,7,nonparametric,1.0010880528324833,1.0010880528324833,1.0005438785143224,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,8,nonparametric,1.001732022771177,1.001732022771177,1.0008656367221211,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,9,nonparametric,1.0019495706627146,1.0019495706627146,1.0009743106906963,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,10,nonparametric,1.0004467884079646,1.0004467884079646,1.00022336925707,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,11,nonparametric,1.000427217391222,1.000427217391222,1.0002135858861456,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,12,nonparametric,1.0006779849322602,1.0006779849322602,1.0003389350276537,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,0,parametric,1.0044619215849695,1.0044619215849695,1.002228477735975,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,1,parametric,1.0038710323894828,1.0038710323894828,1.001933646699961,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,2,parametric,1.0033583942422708,1.0033583942422708,1.0016777896321103,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,3,parametric,1.002913644411026,1.002913644411026,1.0014557625831635,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,4,parametric,1.0025277924929277,1.0025277924929277,1.0012630985375062,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,5,parametric,1.002193038677994,1.002193038677994,1.001095918819967,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,6,parametric,1.0019026160796956,1.0019026160796956,1.0009508559763038,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,7,parametric,1.0016506539456145,1.0016506539456145,1.0008249866713033,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,8,parametric,1.0014320589830232,1.0014320589830232,1.0007157733257848,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,9,parametric,1.0012424124004349,1.0012424124004349,1.0006210133714135,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,10,parametric,1.0010778805838674,1.0010778805838674,1.0005387951418312,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,11,parametric,1.0009351376021938,1.0009351376021938,1.0004674595418852,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,12,parametric,1.0008112979750496,1.0008112979750496,1.0004055667453324,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,0,truth,1.005,1.005,1.002496882788171,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,1,truth,1.004351623629167,1.004351623629167,1.0021734498724095,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,2,truth,1.0037873256419847,1.0037873256419847,1.001891873228835,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,3,truth,1.0032962031510022,1.0032962031510022,1.0016467456898177,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,4,truth,1.002868767103687,1.002868767103687,1.0014333562967068,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,5,truth,1.0024967589429965,1.0024967589429965,1.0012476012170997,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,6,truth,1.0021729910425354,1.0021729910425354,1.0010859059254282,amplitude,low,events.amplitude,0.005,0.01
20260721,n2_amplitude_low,2,variance,7,truth,1.001891207833333,1.001891207833333,1.0009451572555477,amplitude,low,events.amplitude,0.005,0.01
