market_seed,shock_bank_created,preflight_success_count,pipeline_success_count,successful_case_names,failed_case_names,paired_triplet_complete,common_epsilon_across_successful_cases,common_eta_across_successful_cases
20261001,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261002,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261003,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261004,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261005,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261006,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261007,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261008,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261009,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261010,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261011,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261012,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261013,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261014,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261015,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261016,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261017,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261018,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261019,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261020,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261021,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261022,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261023,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261024,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261025,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261026,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261027,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261028,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261029,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261030,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261031,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261032,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261033,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261034,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261035,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261036,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261037,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261038,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261039,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261040,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261041,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261042,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261043,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261044,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261045,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261046,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261047,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261048,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261049,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
20261050,True,3,3,dense_periodic;sparse_periodic;sparse_irregular,,True,True,True
