case_name,seed,method,transformation,direction,lag,statistic
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-30,0.00216719037562122
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-29,-0.003782214300601449
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-28,-0.004795163366520634
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-27,-0.012620845906035287
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-26,-0.01720523201406484
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-25,-0.021433008334124603
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-24,-0.02159391021872191
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-23,-0.025957604515175953
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-22,-0.03282806288944442
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-21,-0.033564524236484525
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-20,-0.02292324415781589
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-19,-0.009985236661764802
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-18,-0.0014462762756191736
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-17,0.009416178113694258
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-16,0.0153912325888726
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-15,0.023117710430959306
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-14,0.02645850371509553
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-13,0.026251584829039772
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-12,0.02426334369636248
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-11,0.024447007175669035
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-10,0.02692525843423102
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-9,0.0037850712750120076
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-8,-0.0028813894014829635
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-7,-0.004714477525820788
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-6,-0.012721759689922025
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-5,-0.01697912374831679
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-4,-0.020452859878319605
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-3,-0.021791003684870743
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-2,-0.02655615303717664
Dense periodic (n=1),20260726,Lagged correlation,levels,signed,-1,-0.03269795607082489
