case_name,seed,method,transformation,forward_statistic,reverse_statistic,forward_threshold_or_pvalue,reverse_threshold_or_pvalue,forward_detected,reverse_detected,directional_classification,direct_window_peak_lag,global_peak_lag,exact_plus_1_recovery,direct_window_recovery,outside_direct_window_peak,runtime_seconds,warning_status,null_partition
No effect (n=1),20310000,Lagged correlation,levels,0.03239103400874717,0.025971277566205105,,,,,,13.0,13.0,False,True,False,0.0032337000011466444,,calibration
No effect (n=1),20310000,TDMI,levels,0.018659843765848696,0.016238794886957543,,,,,,13.0,13.0,False,True,False,0.10911830002442002,,calibration
No effect (n=1),20310000,Granger causality p=1,levels,1.3476291906689746,0.0635813857562208,0.2462605603907702,0.8010285841679494,False,False,,1.0,1.0,False,False,False,0.001893599983304739,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310000,Granger causality p=13,levels,0.7667597250860676,0.65116940749379,0.6956521170612274,0.8103833084901523,False,False,,,,,False,,0.005942300020251423,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310000,Transfer entropy,levels,0.011789701508341329,0.004686914162875692,,,,,,4.0,25.0,False,False,True,0.004246000025887042,,calibration
No effect (n=1),20310000,Lagged correlation,changes,0.08418101683985743,0.09086454963583623,,,,,,13.0,16.0,False,False,True,0.002528299984987825,,calibration
No effect (n=1),20310000,TDMI,changes,0.025531908561310955,0.03029224158989468,,,,,,11.0,11.0,False,True,False,0.1058694000239484,,calibration
No effect (n=1),20310000,Granger causality p=1,changes,1.4709187503499932,0.10535315350968426,0.22578876531626987,0.7456371993162023,False,False,,1.0,1.0,False,False,False,0.0015974999987520278,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310000,Granger causality p=13,changes,0.7046917503267748,0.6754382821827871,0.7592706780010227,0.7877346876053413,False,False,,,,,False,,0.005940500006545335,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310000,Transfer entropy,changes,0.02281574886737417,0.00815175438393895,,,,,,13.0,20.0,False,False,True,0.0035654999664984643,,calibration
No effect (n=1),20310001,Lagged correlation,levels,0.021166563520556476,0.03047261699509487,,,,,,9.0,30.0,False,False,True,0.0030862000421620905,,calibration
No effect (n=1),20310001,TDMI,levels,0.01881686019101634,0.01933026156927628,,,,,,5.0,5.0,False,True,False,0.1041440999833867,,calibration
No effect (n=1),20310001,Granger causality p=1,levels,2.2360966911335383,0.000805845733646488,0.135467311931817,0.9773647609829703,False,False,,1.0,1.0,False,False,False,0.0016772999661043286,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310001,Granger causality p=13,levels,1.8798378870090169,1.5948589522952017,0.030332969549987366,0.08305242602060348,True,False,,,,,True,,0.006065300025511533,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310001,Transfer entropy,levels,0.019034416718388097,0.0017233361756645261,,,,,,3.0,24.0,False,False,True,0.0044015999883413315,,calibration
No effect (n=1),20310001,Lagged correlation,changes,0.11242105431135987,0.11451001441086603,,,,,,9.0,30.0,False,False,True,0.0025994000025093555,,calibration
No effect (n=1),20310001,TDMI,changes,0.026157119912096034,0.02517047693582186,,,,,,13.0,16.0,False,False,True,0.1018472999567166,,calibration
No effect (n=1),20310001,Granger causality p=1,changes,2.1476905684158254,0.2577530452749698,0.14342983677777005,0.6118979091217776,False,False,,1.0,1.0,False,False,False,0.00165789999300614,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310001,Granger causality p=13,changes,1.86290430554208,1.6043212920671495,0.03229425805580681,0.08046165282599123,True,False,,,,,True,,0.00539160001790151,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310001,Transfer entropy,changes,0.028692192071702642,0.009917686993626074,,,,,,7.0,19.0,False,False,True,0.004203899996355176,,calibration
No effect (n=1),20310002,Lagged correlation,levels,0.02120817139661826,0.02273097717908724,,,,,,11.0,17.0,False,False,True,0.0024627000093460083,,calibration
No effect (n=1),20310002,TDMI,levels,0.022584374121875056,0.02425570456602894,,,,,,5.0,16.0,False,False,True,0.12269369995919988,,calibration
No effect (n=1),20310002,Granger causality p=1,levels,0.28880685418440816,0.010384928074154764,0.5912311026589194,0.9188727748294485,False,False,,1.0,1.0,False,False,False,0.0019288999610580504,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310002,Granger causality p=13,levels,0.8145279374595384,0.7967646773990257,0.6448294164182418,0.6638424485031446,False,False,,,,,False,,0.010280299989972264,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310002,Transfer entropy,levels,0.00757255967907399,0.002802739343367478,,,,,,10.0,17.0,False,False,True,0.0047701000003144145,,calibration
No effect (n=1),20310002,Lagged correlation,changes,0.10823450126363776,0.11541933643576771,,,,,,8.0,8.0,False,True,False,0.003104600007645786,,calibration
No effect (n=1),20310002,TDMI,changes,0.034707480427072106,0.032487454783177376,,,,,,4.0,25.0,False,False,True,0.11169549997430295,,calibration
No effect (n=1),20310002,Granger causality p=1,changes,0.30150520090575594,0.33549748234556354,0.5831919985643019,0.5627075790560608,False,False,,1.0,1.0,False,False,False,0.0016110999858938158,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310002,Granger causality p=13,changes,0.8294406741183041,1.2020713134319974,0.6288078264272439,0.27436695240535924,False,False,,,,,False,,0.0055899000144563615,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310002,Transfer entropy,changes,0.02596861238454996,0.010428265250304214,,,,,,8.0,8.0,False,True,False,0.003528199973516166,,calibration
No effect (n=1),20310003,Lagged correlation,levels,0.03953222175206503,0.03462380621803764,,,,,,12.0,19.0,False,False,True,0.002356399956624955,,calibration
No effect (n=1),20310003,TDMI,levels,0.025577374008437407,0.03178888945861481,,,,,,7.0,19.0,False,False,True,0.10751709999749437,,calibration
No effect (n=1),20310003,Granger causality p=1,levels,0.07382076908289298,0.19813664285352273,0.7859677759542236,0.6564264920170916,False,False,,1.0,1.0,False,False,False,0.0018686999683268368,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310003,Granger causality p=13,levels,0.8690905054543634,0.8904612012269333,0.5861679817040799,0.5632907311764548,False,False,,,,,False,,0.007322799996472895,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310003,Transfer entropy,levels,0.013434054452155727,0.0033770081090217776,,,,,,10.0,19.0,False,False,True,0.004551400023046881,,calibration
No effect (n=1),20310003,Lagged correlation,changes,0.07790048627521107,0.08297560105986525,,,,,,9.0,30.0,False,False,True,0.003000799973960966,,calibration
No effect (n=1),20310003,TDMI,changes,0.032670521370510686,0.02931657348497028,,,,,,8.0,8.0,False,True,False,0.12035119999200106,,calibration
No effect (n=1),20310003,Granger causality p=1,changes,0.10049295746842275,0.006816344332438164,0.7513747171538924,0.9342344117692234,False,False,,1.0,1.0,False,False,False,0.0015866999747231603,exact +1 Granger-predictive evidence only,calibration
No effect (n=1),20310003,Granger causality p=13,changes,0.8889270937158598,0.9296736277395562,0.5649295493245879,0.5217990426298094,False,False,,,,,False,,0.005818600009661168,joint direct-window test; unique lag not identified,calibration
No effect (n=1),20310003,Transfer entropy,changes,0.02622570398980704,0.01146163250657507,,,,,,12.0,19.0,False,False,True,0.0036752999876625836,,calibration
No effect (n=1),20310004,Lagged correlation,levels,0.032745841832803595,0.030472082345773265,,,,,,10.0,23.0,False,False,True,0.004799899994395673,,calibration
No effect (n=1),20310004,TDMI,levels,0.02207495690438225,0.020980860999825057,,,,,,11.0,22.0,False,False,True,0.11726889997953549,,calibration
