case_name,seed,method,transformation,forward_statistic,reverse_statistic,forward_threshold_or_pvalue,reverse_threshold_or_pvalue,forward_detected,reverse_detected,directional_classification,direct_window_peak_lag,global_peak_lag,exact_plus_1_recovery,direct_window_recovery,outside_direct_window_peak,runtime_seconds,warning_status,null_partition
No effect (n=1),20320000,Lagged correlation,levels,0.0204679020189684,0.03239334639029555,,,,,,8.0,29.0,False,False,True,0.002374699979554862,,evaluation
No effect (n=1),20320000,TDMI,levels,0.018029563167809865,0.02360767299648143,,,,,,13.0,14.0,False,False,True,0.1350211999961175,,evaluation
No effect (n=1),20320000,Granger causality p=1,levels,1.581924020476829,0.039405420331956195,0.20908528891513864,0.8427303082135877,False,False,,1.0,1.0,False,False,False,0.0019680000259540975,exact +1 Granger-predictive evidence only,evaluation
No effect (n=1),20320000,Granger causality p=13,levels,1.2740821203058512,0.9044833513044226,0.22499799720242047,0.5483665233684085,False,False,,,,,False,,0.008501400006935,joint direct-window test; unique lag not identified,evaluation
No effect (n=1),20320000,Transfer entropy,levels,0.012150283265405862,0.005978268246705897,,,,,,3.0,24.0,False,False,True,0.004399500030558556,,evaluation
No effect (n=1),20320000,Lagged correlation,changes,0.0745144851517517,0.09207877225455488,,,,,,12.0,12.0,False,True,False,0.003429999982472509,,evaluation
No effect (n=1),20320000,TDMI,changes,0.03231559402273691,0.030225583911223458,,,,,,1.0,18.0,True,False,True,0.12600449996534735,,evaluation
No effect (n=1),20320000,Granger causality p=1,changes,1.3799198788556803,0.15060784115781353,0.2406888521661292,0.6981247379600619,False,False,,1.0,1.0,False,False,False,0.0021923999884165823,exact +1 Granger-predictive evidence only,evaluation
No effect (n=1),20320000,Granger causality p=13,changes,1.3394146140021403,1.1188920810859833,0.18630625830148329,0.34028868980199445,False,False,,,,,False,,0.007809199974872172,joint direct-window test; unique lag not identified,evaluation
No effect (n=1),20320000,Transfer entropy,changes,0.024616398145941146,0.008263831771463481,,,,,,1.0,20.0,True,False,True,0.00462999998126179,,evaluation
No effect (n=1),20320001,Lagged correlation,levels,0.017201801398230694,0.020160269272420824,,,,,,7.0,7.0,False,True,False,0.002827899996191263,,evaluation
No effect (n=1),20320001,TDMI,levels,0.02623278898582461,0.02176673795787757,,,,,,12.0,18.0,False,False,True,0.12140469998121262,,evaluation
No effect (n=1),20320001,Granger causality p=1,levels,1.7441880251742612,0.014374113427145566,0.18722805470329423,0.9046179717412138,False,False,,1.0,1.0,False,False,False,0.0018606000230647624,exact +1 Granger-predictive evidence only,evaluation
