case_name,seed,method,transformation,forward_statistic,reverse_statistic,forward_threshold_or_pvalue,reverse_threshold_or_pvalue,forward_detected,reverse_detected,directional_classification,direct_window_peak_lag,global_peak_lag,exact_plus_1_recovery,direct_window_recovery,outside_direct_window_peak,runtime_seconds,warning_status,null_partition,is_held_out_null
Dense periodic (n=1),20260726,Lagged correlation,levels,0.0392432684599492,0.0335645242364845,0.039427652594911884,0.04133709103284189,False,False,neither,1.0,21.0,False,False,True,0.0031286999983421,,,False
Dense periodic (n=1),20260726,TDMI,levels,0.0209721590144901,0.0199929598596921,0.030905706199581124,0.03173357652437972,False,False,neither,1.0,19.0,False,False,True,0.1645483000029344,,,False
Dense periodic (n=1),20260726,Granger causality p=1,levels,6.806446039894697,0.5787007322650602,0.0093616324824014,0.4471894473913528,True,False,forward only,1.0,1.0,True,True,False,0.0022553999988303,exact +1 Granger-predictive evidence only,,False
Dense periodic (n=1),20260726,Granger causality p=13,levels,4.457165352600354,1.3077939789516944,3.76674463736871e-07,0.2043219739731731,True,False,forward only,,,,True,,0.0080899999993562,joint direct-window test; unique lag not identified,,False
Dense periodic (n=1),20260726,Transfer entropy,levels,0.01613094447715,0.0045127461177488,0.018606549522364808,0.008801734121768668,False,False,neither,3.0,24.0,False,False,True,0.0050621999980648,,,False
Dense periodic (n=1),20260726,Lagged correlation,changes,0.1677787251438174,0.152866811513628,0.13970926562140762,0.13954648008876652,True,True,bidirectional,2.0,23.0,False,False,True,0.0036542000016197,,,False
Dense periodic (n=1),20260726,TDMI,changes,0.0348936736619043,0.0336501855220732,0.039788816318598035,0.03968823026693731,False,False,neither,1.0,1.0,True,True,False,0.1458053999995172,,,False
Dense periodic (n=1),20260726,Granger causality p=1,changes,7.236695866597389,4.386928353284843,0.0073881440773817,0.0367316871810361,True,True,bidirectional,1.0,1.0,True,True,False,0.0024005000013858,exact +1 Granger-predictive evidence only,,False
Dense periodic (n=1),20260726,Granger causality p=13,changes,4.553859321994038,1.6613659952153164,2.392192721180818e-07,0.0662497199447203,True,False,forward only,,,,True,,0.0078767999984847,joint direct-window test; unique lag not identified,,False
Dense periodic (n=1),20260726,Transfer entropy,changes,0.0284509775608673,0.0203528096550819,0.03250562015440718,0.016597015597043137,False,True,reverse only,1.0,22.0,False,False,True,0.0046402999978454,,,False
Sparse irregular (n=1),20260726,Lagged correlation,levels,0.0672584316196382,0.0910466495128592,0.039427652594911884,0.04133709103284189,True,True,bidirectional,1.0,1.0,True,True,False,0.0037783999978273,,,False
Sparse irregular (n=1),20260726,TDMI,levels,0.0243835585184368,0.0291434711766418,0.030905706199581124,0.03173357652437972,False,False,neither,5.0,26.0,False,False,True,0.1413719000011042,,,False
Sparse irregular (n=1),20260726,Granger causality p=1,levels,10.605896594198349,4.332127772240653,0.0012057170198437,0.0379201910158269,True,True,bidirectional,1.0,1.0,True,True,False,0.0028684999997494,exact +1 Granger-predictive evidence only,,False
Sparse irregular (n=1),20260726,Granger causality p=13,levels,3.949806691700209,0.5642692756882562,4.055821564513187e-06,0.8823867757907469,True,False,forward only,,,,True,,0.007669500002521,joint direct-window test; unique lag not identified,,False
Sparse irregular (n=1),20260726,Transfer entropy,levels,0.0132794007756842,0.0083220961604748,0.018606549522364808,0.008801734121768668,False,False,neither,1.0,26.0,False,False,True,0.0046554999971704,,,False
Sparse irregular (n=1),20260726,Lagged correlation,changes,0.1526096560913817,0.1177891590852511,0.13970926562140762,0.13954648008876652,True,False,forward only,1.0,1.0,True,True,False,0.0032413000008091,,,False
Sparse irregular (n=1),20260726,TDMI,changes,0.0351188002070497,0.0318291026860478,0.039788816318598035,0.03968823026693731,False,False,neither,11.0,11.0,False,True,False,0.1885972999989462,,,False
Sparse irregular (n=1),20260726,Granger causality p=1,changes,11.593717804219343,0.588857174834684,0.0007164294863514,0.4432332522062125,True,False,forward only,1.0,1.0,True,True,False,0.0025638000006438,exact +1 Granger-predictive evidence only,,False
Sparse irregular (n=1),20260726,Granger causality p=13,changes,4.2252035228802205,0.452678489541257,1.12342311560482e-06,0.9490938733665056,True,False,forward only,,,,True,,0.0088292000000365,joint direct-window test; unique lag not identified,,False
Sparse irregular (n=1),20260726,Transfer entropy,changes,0.0237202201980928,0.0108953932828677,0.03250562015440718,0.016597015597043137,False,False,neither,4.0,4.0,False,True,False,0.004830400001083,,,False
State-dependent nu (n=1),20260726,Lagged correlation,levels,0.0416758249277279,0.0321364911363875,0.039427652594911884,0.04133709103284189,True,False,forward only,7.0,20.0,False,False,True,0.0059863999995286,,,False
State-dependent nu (n=1),20260726,TDMI,levels,0.0182702982365415,0.0175620010427313,0.030905706199581124,0.03173357652437972,False,False,neither,6.0,27.0,False,False,True,0.1750241999980062,,,False
State-dependent nu (n=1),20260726,Granger causality p=1,levels,3.640709826567244,0.5498024689410455,0.0569694491157538,0.4587550936827955,False,False,neither,1.0,1.0,False,False,False,0.0016481000020576,exact +1 Granger-predictive evidence only,,False
State-dependent nu (n=1),20260726,Granger causality p=13,levels,3.155188688023192,0.960386568574308,0.0001524966211945,0.4899460886128065,True,False,forward only,,,,True,,0.0083130999992135,joint direct-window test; unique lag not identified,,False
State-dependent nu (n=1),20260726,Transfer entropy,levels,0.0100913118587141,0.0025820144486254,0.018606549522364808,0.008801734121768668,False,False,neither,6.0,16.0,False,False,True,0.0044498999995994,,,False
State-dependent nu (n=1),20260726,Lagged correlation,changes,0.1351745132122219,0.1225684294289617,0.13970926562140762,0.13954648008876652,False,False,neither,2.0,23.0,False,False,True,0.0043065999998361,,,False
State-dependent nu (n=1),20260726,TDMI,changes,0.0462350793000255,0.0440286765165372,0.039788816318598035,0.03968823026693731,True,True,bidirectional,1.0,1.0,True,True,False,0.1616954999990412,,,False
